Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,627219,537911,21356151,8857414,34.05,2880
2,China,Asiatic Region,389649,384753,6037101,3309875,15.49,1210
3,United Kingdom,Western Europe,179868,146837,5997182,1289329,33.34,1815
4,Germany,Western Europe,157611,143083,4944976,1129851,31.37,1584
5,Japan,Asiatic Region,132366,125680,2861455,659792,21.62,1236
6,France,Western Europe,111676,102569,3375151,635529,30.22,1420
7,India,Asiatic Region,98943,92510,1683408,570508,17.01,795
8,Canada,Northern America,94979,83308,3357985,530685,35.36,1460
9,Italy,Western Europe,90434,81587,2676834,599619,29.6,1255
10,Spain,Western Europe,79802,72819,2319837,460137,29.07,1127
11,Australia,Pacific Region,76219,66160,2545311,499391,33.39,1276
12,South Korea,Asiatic Region,66713,64683,1548261,272585,23.21,863
13,Brazil,Latin America,55579,52468,1049227,346746,18.88,729
14,Netherlands,Western Europe,52792,46262,2239010,308368,42.41,1284
15,Russian Federation,Eastern Europe,44071,42613,530447,185584,12.04,702
16,Taiwan,Asiatic Region,43379,41839,892091,142774,20.57,648
17,Iran,Middle East,39912,38956,649384,201458,16.27,445
18,Switzerland,Western Europe,38350,34630,1710574,193116,44.6,1212
19,Turkey,Middle East,34994,33029,581200,119683,16.61,562
20,Poland,Eastern Europe,33435,31788,568255,134130,17.0,687
21,Sweden,Western Europe,32790,29676,1277052,169057,38.95,1087
22,Belgium,Western Europe,29123,26227,1074185,123529,36.88,995
23,Austria,Western Europe,21436,19338,729809,81778,34.05,822
24,Malaysia,Asiatic Region,20826,20116,358423,84826,17.21,450
25,Denmark,Western Europe,20751,18546,900263,121227,43.38,949
26,Israel,Middle East,18682,16539,658710,74521,35.26,865
27,Portugal,Western Europe,18660,17134,511561,80034,27.41,636
28,Greece,Western Europe,18586,16652,462034,60750,24.86,639
29,Czech Republic,Eastern Europe,18566,17663,355518,69655,19.15,580
30,Norway,Western Europe,17466,15390,652532,81063,37.36,785
31,Mexico,Latin America,17304,16189,348901,63155,20.16,563
32,Finland,Western Europe,17299,15807,583104,77635,33.71,793
33,Singapore,Asiatic Region,16892,15207,617935,56062,36.58,746
34,Hong Kong,Asiatic Region,16296,14901,564953,59438,34.67,737
35,South Africa,Africa,14614,13112,362940,75529,24.84,597
36,New Zealand,Pacific Region,13823,12084,427272,53747,30.91,671
37,Romania,Eastern Europe,13744,13310,158193,33018,11.51,384
38,Ireland,Western Europe,13035,11189,435558,41166,33.41,665
39,Argentina,Latin America,11812,10888,278725,51261,23.6,534
40,Egypt,Africa/Middle East,11258,10876,230945,42070,20.51,369
41,Thailand,Asiatic Region,10901,10266,231310,33368,21.22,418
42,Hungary,Eastern Europe,10185,9403,223907,31984,21.98,567
43,Saudi Arabia,Middle East,9590,9195,251589,34565,26.23,517
44,Pakistan,Asiatic Region,9299,8960,157492,37890,16.94,381
45,Ukraine,Eastern Europe,8391,8110,108671,25137,12.95,336
46,Chile,Latin America,7884,7506,201762,37787,25.59,478
47,Croatia,Eastern Europe,6656,6384,110851,16856,16.65,356
48,Serbia,Eastern Europe,6542,6256,102849,21165,15.72,321
49,Nigeria,Africa,6106,5850,77735,14772,12.73,270
50,Slovenia,Eastern Europe,5791,5496,118486,17468,20.46,382
51,Colombia,Latin America,5744,5430,112764,17770,19.63,372
52,Slovakia,Eastern Europe,5665,5417,86590,16167,15.29,337
53,Tunisia,Africa,5350,5124,85891,14909,16.05,244
54,Bulgaria,Eastern Europe,3860,3637,65616,8937,17.0,322
55,Algeria,Africa,3652,3595,45621,9822,12.49,222
56,Indonesia,Asiatic Region,3566,3375,63461,11458,17.8,288
57,Lithuania,Eastern Europe,3206,3121,48565,9217,15.15,280
58,Morocco,Africa,3047,2898,42834,8488,14.06,242
59,United Arab Emirates,Middle East,2840,2637,58296,5017,20.53,295
60,Bangladesh,Asiatic Region,2615,2491,46058,8124,17.61,269
61,Jordan,Middle East,2509,2435,38223,4824,15.23,228
62,Viet Nam,Asiatic Region,2414,2291,52625,7907,21.8,282
63,Estonia,Eastern Europe,2366,2204,68472,10039,28.94,360
64,Cuba,Latin America,2324,2217,27494,3883,11.83,208
65,Kenya,Africa,2045,1824,72323,9562,35.37,319
66,Venezuela,Latin America,2004,1891,27885,2557,13.91,265
67,Latvia,Eastern Europe,1731,1664,18940,3142,10.94,208
68,Belarus,Eastern Europe,1730,1689,23847,5207,13.78,220
69,Philippines,Asiatic Region,1663,1531,47040,4658,28.29,302
70,Cyprus,Western Europe,1642,1491,40747,5094,24.82,276
71,Lebanon,Middle East,1612,1510,36025,3113,22.35,272
72,Peru,Latin America,1315,1182,43408,4221,33.01,293
73,Kuwait,Middle East,1293,1205,22436,1637,17.35,206
74,Luxembourg,Western Europe,1275,1159,34724,3025,27.23,250
75,Iceland,Western Europe,1254,1121,58705,4898,46.81,371
76,Iraq,Middle East,1136,1070,13415,2573,11.81,168
77,Oman,Middle East,1118,1032,19939,2109,17.83,194
78,Uruguay,Latin America,1093,1018,30334,3661,27.75,228
79,Ethiopia,Africa,1086,1024,25249,6676,23.25,202
80,Uganda,Africa,1082,977,35057,5254,32.4,217
81,Armenia,Eastern Europe,1040,995,22154,4640,21.3,221
82,Georgia,Eastern Europe,1034,887,20466,3647,19.79,228
83,Ghana,Africa,1029,934,24134,3749,23.45,200
84,Tanzania,Africa,993,910,32968,4348,33.2,213
85,Sri Lanka,Asiatic Region,993,901,18047,2114,18.17,231
86,Puerto Rico,Latin America,981,945,30791,1248,31.39,265
87,Qatar,Middle East,966,921,22953,2237,23.76,259
88,Azerbaijan,Eastern Europe,925,891,9625,1846,10.41,141
89,Cameroon,Africa,881,826,18274,3388,20.74,170
90,Bosnia and Herzegovina,Eastern Europe,844,798,7479,750,8.86,132
91,Nepal,Asiatic Region,796,726,14627,2032,18.38,179
92,Macedonia,Eastern Europe,755,716,8443,899,11.18,156
93,Macao,Asiatic Region,734,654,14056,1882,19.15,202
94,Costa Rica,Latin America,645,589,20051,1751,31.09,221
95,Uzbekistan,Asiatic Region,596,572,6153,1472,10.32,116
96,Sudan,Africa,590,558,9389,943,15.91,129
97,Kazakhstan,Asiatic Region,575,552,5524,1279,9.61,143
98,Senegal,Africa,574,537,11050,1199,19.25,150
99,Syrian Arab Republic,Middle East,504,481,8972,604,17.8,136
100,Ecuador,Latin America,499,463,14356,1743,28.77,204
101,Botswana,Africa,446,366,14351,920,32.18,132
102,Trinidad and Tobago,Latin America,440,388,6935,410,15.76,123
103,Malawi,Africa,421,383,18527,1829,44.01,177
104,Palestine,Middle East,400,380,6400,611,16.0,131
105,Burkina Faso,Africa,394,376,10658,1568,27.05,135
106,Panama,Latin America,391,361,21602,1900,55.25,246
107,Zimbabwe,Africa,380,352,16319,1647,42.94,175
108,Jamaica,Latin America,379,301,10006,581,26.4,125
109,Moldova,Eastern Europe,379,365,4791,923,12.64,135
110,Côte d’Ivoire,Africa,371,347,6068,571,16.36,134
111,Malta,Western Europe,365,327,9303,627,25.49,169
112,Bahrain,Middle East,359,329,4791,387,13.35,114
113,Benin,Africa,314,297,6879,1182,21.91,114
114,Zambia,Africa,307,282,12325,1128,40.15,152
115,Albania,Eastern Europe,290,273,2435,203,8.4,95
116,Libya,Africa,282,271,3317,130,11.76,99
117,Yemen,Middle East,273,266,4897,464,17.94,103
118,Bolivia,Latin America,261,245,7998,557,30.64,159
