Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,23979,23541,1219663,530172,50.86,965
2,United Kingdom,Western Europe,7754,7550,387488,79836,49.97,654
3,Germany,Western Europe,5448,5404,237782,53475,43.65,561
4,Japan,Asiatic Region,5405,5394,154299,39680,28.55,407
5,France,Western Europe,4543,4505,198401,40467,43.67,520
6,Canada,Northern America,4475,4411,211581,44431,47.28,526
7,Australia,Pacific Region,3838,3790,166050,44213,43.26,524
8,Spain,Western Europe,3279,3259,130383,34651,39.76,447
9,India,Asiatic Region,3088,3078,44184,16003,14.31,341
10,Italy,Western Europe,2439,2418,84258,19177,34.55,389
11,Netherlands,Western Europe,2067,2048,109732,14161,53.09,460
12,Brazil,Latin America,2001,1985,51677,22326,25.83,327
13,China,Asiatic Region,1784,1782,43456,18782,24.36,403
14,Sweden,Western Europe,1679,1652,79512,12402,47.36,389
15,Russian Federation,Eastern Europe,1642,1640,23992,5216,14.61,230
16,New Zealand,Pacific Region,1436,1424,50887,10559,35.44,341
17,Denmark,Western Europe,1233,1228,60838,8330,49.34,344
18,South Africa,Africa,1219,1205,29529,9345,24.22,281
19,Switzerland,Western Europe,1168,1154,71554,8098,61.26,417
20,Belgium,Western Europe,1129,1115,47917,7342,42.44,351
21,Poland,Eastern Europe,1080,1078,18710,5138,17.32,224
22,Finland,Western Europe,1004,996,44277,8318,44.1,310
23,Mexico,Latin America,948,937,27618,7231,29.13,265
24,Argentina,Latin America,947,943,27453,8023,28.99,256
25,Norway,Western Europe,937,929,44996,8987,48.02,305
26,Israel,Middle East,860,853,43015,5445,50.02,298
27,Turkey,Middle East,836,835,13394,4664,16.02,230
28,Czech Republic,Eastern Europe,618,616,14304,3235,23.15,229
29,Taiwan,Asiatic Region,618,616,19582,2929,31.69,221
30,Austria,Western Europe,604,595,26973,3274,44.66,300
31,South Korea,Asiatic Region,575,574,19431,2971,33.79,281
32,Greece,Western Europe,535,532,15421,2761,28.82,235
33,Hungary,Eastern Europe,499,495,13233,2102,26.52,204
34,Portugal,Western Europe,472,470,17843,3738,37.8,269
35,Ireland,Western Europe,407,401,14835,2087,36.45,252
36,Chile,Latin America,379,376,11684,3004,30.83,202
37,Nigeria,Africa,350,350,6686,1563,19.1,127
38,Egypt,Africa/Middle East,324,324,6884,937,21.25,172
