Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4174,3989,139075,60318,33.32,510
2,China,Asiatic Region,4115,4096,51731,35589,12.57,189
3,Brazil,Latin America,1938,1918,18942,11642,9.77,144
4,United Kingdom,Western Europe,1415,1288,61963,14895,43.79,376
5,India,Asiatic Region,1154,1133,12754,4389,11.05,150
6,Germany,Western Europe,1100,1055,41078,9089,37.34,286
7,France,Western Europe,897,846,30564,5889,34.07,245
8,Iran,Middle East,841,837,5732,1845,6.82,86
9,Canada,Northern America,751,729,25881,5035,34.46,285
10,Italy,Western Europe,655,583,19602,4572,29.93,209
11,Australia,Pacific Region,645,614,24941,5563,38.67,239
12,Japan,Asiatic Region,597,590,16705,3403,27.98,206
13,Spain,Western Europe,583,566,19074,4123,32.72,217
14,Czech Republic,Eastern Europe,581,576,5269,1633,9.07,97
15,Russian Federation,Eastern Europe,527,525,4021,1711,7.63,100
16,Turkey,Middle East,476,474,4610,1117,9.68,97
17,Malaysia,Asiatic Region,337,335,3035,850,9.01,91
18,Netherlands,Western Europe,318,309,17837,2487,56.09,235
19,Poland,Eastern Europe,315,314,5411,1676,17.18,112
20,Switzerland,Western Europe,285,274,13150,1851,46.14,213
21,Pakistan,Asiatic Region,285,284,3600,1596,12.63,74
22,Mexico,Latin America,270,268,4301,1206,15.93,116
23,South Africa,Africa,267,245,6536,1917,24.48,141
24,Serbia,Eastern Europe,247,246,1769,527,7.16,46
25,Sweden,Western Europe,230,224,12249,1447,53.26,198
26,South Korea,Asiatic Region,215,212,5837,962,27.15,133
27,Bulgaria,Eastern Europe,208,203,1810,316,8.7,44
28,Chile,Latin America,204,198,2945,811,14.44,93
29,Finland,Western Europe,192,172,6002,929,31.26,150
30,Thailand,Asiatic Region,191,191,2367,453,12.39,89
31,Belgium,Western Europe,189,183,7117,944,37.66,156
32,Austria,Western Europe,181,175,8162,834,45.09,157
33,Saudi Arabia,Middle East,176,175,3670,664,20.85,89
34,Taiwan,Asiatic Region,173,171,4463,667,25.8,125
35,New Zealand,Pacific Region,169,165,5040,808,29.82,147
36,Colombia,Latin America,158,156,1486,525,9.41,64
37,Argentina,Latin America,155,152,2682,641,17.3,105
38,Denmark,Western Europe,147,142,5762,818,39.2,162
39,Croatia,Eastern Europe,137,132,730,207,5.33,50
40,Slovakia,Eastern Europe,132,132,853,273,6.46,51
41,Norway,Western Europe,123,121,5781,937,47.0,139
42,Latvia,Eastern Europe,120,117,334,113,2.78,27
43,Portugal,Western Europe,119,110,4873,831,40.95,123
44,Egypt,Africa/Middle East,116,116,1211,263,10.44,73
45,Romania,Eastern Europe,116,116,810,238,6.98,49
46,Hungary,Eastern Europe,110,109,2211,290,20.1,110
47,Indonesia,Asiatic Region,106,106,1799,483,16.97,67
48,Israel,Middle East,105,98,3937,414,37.5,140
49,Ireland,Western Europe,79,79,2418,286,30.61,99
50,Nigeria,Africa,78,78,808,87,10.36,56
51,Slovenia,Eastern Europe,74,72,1300,196,17.57,70
52,Greece,Western Europe,72,71,1794,320,24.92,103
53,Lithuania,Eastern Europe,71,71,441,65,6.21,39
54,Ukraine,Eastern Europe,61,61,347,82,5.69,41
55,Hong Kong,Asiatic Region,60,59,1699,182,28.32,94
56,Bangladesh,Asiatic Region,57,57,481,132,8.44,47
57,Singapore,Asiatic Region,51,49,2272,141,44.55,106
58,Tunisia,Africa,45,45,643,126,14.29,59
59,Venezuela,Latin America,43,41,245,47,5.7,50
60,Algeria,Africa,40,40,514,136,12.85,36
61,Ethiopia,Africa,40,40,1029,437,25.73,58
62,Peru,Latin America,38,37,486,147,12.79,47
63,Costa Rica,Latin America,36,35,368,49,10.22,48
64,Jordan,Middle East,34,34,312,39,9.18,37
65,Viet Nam,Asiatic Region,30,29,337,68,11.23,46
66,Iraq,Middle East,29,29,231,68,7.97,35
67,Estonia,Eastern Europe,27,26,603,63,22.33,60
68,Kenya,Africa,25,25,2347,173,93.88,73
69,Cuba,Latin America,25,25,294,50,11.76,41
70,Philippines,Asiatic Region,25,25,761,134,30.44,50
71,Morocco,Africa,24,23,464,105,19.33,54
72,Ghana,Africa,22,22,636,86,28.91,36
73,Panama,Latin America,21,21,1062,128,50.57,81
74,Macedonia,Eastern Europe,19,19,153,19,8.05,19
75,Uruguay,Latin America,19,18,352,64,18.53,46
76,Albania,Eastern Europe,19,19,37,6,1.95,15
77,Montenegro,Eastern Europe,17,17,120,45,7.06,15
78,Ecuador,Latin America,16,15,626,61,39.13,54
79,Cameroon,Africa,16,16,864,104,54.0,40
80,Bosnia and Herzegovina,Eastern Europe,14,14,63,20,4.5,17
81,Uganda,Africa,14,14,696,41,49.71,37
82,Kazakhstan,Asiatic Region,14,14,34,9,2.43,23
83,Benin,Africa,13,13,182,32,14.0,26
84,United Arab Emirates,Middle East,13,13,147,18,11.31,36
85,Senegal,Africa,12,12,95,25,7.92,32
86,Tanzania,Africa,12,12,220,12,18.33,43
87,Zimbabwe,Africa,11,11,108,18,9.82,31
88,Luxembourg,Western Europe,11,11,106,9,9.64,30
89,Madagascar,Africa,11,11,222,42,20.18,26
90,Oman,Middle East,11,11,141,11,12.82,30
91,Sudan,Africa,11,11,58,7,5.27,23
92,Greenland,Western Europe,9,9,1422,54,158.0,29
93,Sri Lanka,Asiatic Region,9,9,428,18,47.56,36
94,Puerto Rico,Latin America,9,8,125,3,13.89,47
95,Kuwait,Middle East,8,8,90,8,11.25,20
96,Macao,Asiatic Region,7,7,122,13,17.43,33
97,Burkina Faso,Africa,7,7,109,8,15.57,24
98,Mongolia,Asiatic Region,7,7,106,11,15.14,17
99,Libya,Africa,7,7,85,6,12.14,15
100,Cyprus,Western Europe,7,7,152,11,21.71,32
101,Syrian Arab Republic,Middle East,7,7,43,3,6.14,19
102,Nepal,Asiatic Region,6,6,172,71,28.67,40
103,Palestine,Middle East,6,6,148,3,24.67,20
104,Botswana,Africa,6,6,17,3,2.83,23
105,Belarus,Eastern Europe,6,6,72,19,12.0,19
106,Iceland,Western Europe,6,6,329,34,54.83,40
107,Namibia,Africa,6,6,141,9,23.5,22
108,Guam,Pacific Region,6,6,43,6,7.17,11
109,Zambia,Africa,5,5,139,10,27.8,20
110,New Caledonia,Pacific Region,5,5,165,7,33.0,22
111,Falkland Islands (Malvinas),Latin America,5,5,70,13,14.0,23
112,Gabon,Africa,4,4,475,53,118.75,23
113,Trinidad and Tobago,Latin America,4,4,259,10,64.75,22
114,Bolivia,Latin America,4,4,53,15,13.25,27
115,Yemen,Middle East,4,4,80,4,20.0,21
116,Laos,Asiatic Region,3,3,68,9,22.67,19
117,Moldova,Eastern Europe,3,3,24,0,8.0,10
118,Malawi,Africa,3,3,105,14,35.0,23
119,Mozambique,Africa,3,1,5,1,1.67,17
120,French Polynesia,Pacific Region,3,3,121,5,40.33,24
121,Georgia,Eastern Europe,3,3,31,0,10.33,22
122,Qatar,Middle East,3,3,39,2,13.0,26
123,Côte d’Ivoire,Africa,3,3,25,12,8.33,27
124,Congo,Africa,3,3,302,37,100.67,22
125,Bahrain,Middle East,3,3,34,5,11.33,15
126,Lebanon,Middle East,3,3,21,6,7.0,26
127,Honduras,Latin America,2,2,17,4,8.5,8
128,Nicaragua,Latin America,2,2,12,0,6.0,12
129,Jamaica,Latin America,2,2,16,2,8.0,15
130,Rwanda,Africa,2,2,4,1,2.0,12
131,Mauritius,Africa,2,2,192,0,96.0,21
132,Armenia,Eastern Europe,2,2,2,0,1.0,13
133,Malta,Western Europe,2,2,106,9,53.0,12
134,Cape Verde,Africa,2,2,54,7,27.0,5
135,Mauritania,Africa,2,2,4,0,2.0,4
136,Togo,Africa,2,2,23,0,11.5,12
137,Tajikistan,Asiatic Region,2,2,11,0,5.5,6
138,Bhutan,Asiatic Region,2,2,97,8,48.5,12
139,Azerbaijan,Eastern Europe,2,2,12,0,6.0,17
140,Bermuda,Latin America,2,2,17,1,8.5,15
141,Guinea-Bissau,Africa,2,2,20,1,10.0,1
142,Guadeloupe,Latin America,2,2,30,5,15.0,9
143,Papua New Guinea,Pacific Region,2,2,185,4,92.5,19
144,French Guiana,Latin America,2,2,607,7,303.5,18
145,Gambia,Africa,1,1,22,0,22.0,12
146,Liechtenstein,Western Europe,1,1,11,0,11.0,6
147,Comoros,Africa,1,1,19,2,19.0,6
148,Haïti,Latin America,1,1,5,0,5.0,2
149,Cambodia,Asiatic Region,1,1,103,17,103.0,15
150,Paraguay,Latin America,1,1,3,0,3.0,10
151,Barbados,Latin America,1,1,8,0,8.0,8
152,Central African Republic,Africa,1,1,103,5,103.0,10
153,Faroe Islands,Western Europe,1,1,99,1,99.0,6
