Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4169,4134,184086,90847,44.16,421
2,Japan,Asiatic Region,1063,1053,27379,7403,25.76,181
3,United Kingdom,Western Europe,1053,1032,53868,12411,51.16,280
4,Canada,Northern America,995,986,43100,11300,43.32,264
5,Australia,Pacific Region,890,884,42395,14578,47.63,248
6,Germany,Western Europe,775,762,37466,8893,48.34,243
7,Spain,Western Europe,739,735,34233,9855,46.32,203
8,France,Western Europe,708,702,37446,9365,52.89,232
9,Italy,Western Europe,448,443,19870,5051,44.35,191
10,China,Asiatic Region,445,445,16954,9448,38.1,196
11,Norway,Western Europe,375,371,18049,4377,48.13,200
12,Brazil,Latin America,309,307,12409,5071,40.16,151
13,Netherlands,Western Europe,291,290,15443,2377,53.07,193
14,New Zealand,Pacific Region,271,267,9950,1948,36.72,152
15,Mexico,Latin America,263,261,7484,2137,28.46,119
16,Denmark,Western Europe,260,259,15044,2453,57.86,177
17,Sweden,Western Europe,246,245,10960,1673,44.55,169
18,India,Asiatic Region,233,233,10336,3986,44.36,143
19,Portugal,Western Europe,221,221,8514,2839,38.52,142
20,Belgium,Western Europe,206,205,9478,1910,46.01,150
21,Russian Federation,Eastern Europe,204,203,4537,1010,22.24,113
22,South Korea,Asiatic Region,201,198,5465,1387,27.19,121
23,South Africa,Africa,175,173,5706,1812,32.61,129
24,Poland,Eastern Europe,173,171,4814,1314,27.83,96
25,Argentina,Latin America,173,171,5459,2076,31.55,94
26,Finland,Western Europe,166,166,6443,1359,38.81,131
27,Greece,Western Europe,161,161,6849,1442,42.54,129
28,Chile,Latin America,137,137,5061,1616,36.94,106
29,Taiwan,Asiatic Region,123,123,4991,938,40.58,118
30,Switzerland,Western Europe,119,117,6496,815,54.59,165
31,Israel,Middle East,109,105,4944,703,45.36,129
32,Turkey,Middle East,108,108,3555,728,32.92,91
33,Hong Kong,Asiatic Region,102,100,4734,702,46.41,116
