Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,7432,7380,375786,184653,50.56,732
2,United Kingdom,Western Europe,2178,2161,103079,24022,47.33,485
3,Canada,Northern America,1750,1739,83226,20568,47.56,409
4,Australia,Pacific Region,1236,1229,56471,18333,45.69,397
5,Germany,Western Europe,1235,1232,50828,12739,41.16,388
6,France,Western Europe,952,945,43302,9868,45.49,368
7,Japan,Asiatic Region,834,834,21210,6115,25.43,231
8,Italy,Western Europe,737,523,13759,4146,18.67,233
9,Spain,Western Europe,683,679,22840,7099,33.44,302
10,Netherlands,Western Europe,564,563,25770,3933,45.69,309
11,Sweden,Western Europe,562,560,28883,5133,51.39,304
12,Russian Federation,Eastern Europe,546,545,5938,1363,10.88,170
13,South Africa,Africa,394,393,13277,3504,33.7,217
14,New Zealand,Pacific Region,376,375,16329,3910,43.43,261
15,India,Asiatic Region,312,311,5053,1654,16.2,177
16,Brazil,Latin America,301,301,10140,4378,33.69,235
17,Switzerland,Western Europe,282,281,14144,2218,50.16,299
18,Finland,Western Europe,279,279,11647,2748,41.75,225
19,Denmark,Western Europe,275,274,14358,2046,52.21,242
20,Norway,Western Europe,269,268,13595,3067,50.54,225
21,Argentina,Latin America,260,260,6633,2316,25.51,185
22,Belgium,Western Europe,239,237,9069,1396,37.95,220
23,Mexico,Latin America,219,219,6379,1734,29.13,177
24,Czech Republic,Eastern Europe,217,215,3027,744,13.95,165
25,Israel,Middle East,205,204,6652,1224,32.45,179
26,Poland,Eastern Europe,199,199,3583,941,18.01,152
27,China,Asiatic Region,198,196,5324,1723,26.89,263
28,Slovakia,Eastern Europe,193,193,677,301,3.51,82
29,Austria,Western Europe,187,186,4875,613,26.07,204
30,Greece,Western Europe,80,80,2758,462,34.48,139
31,Taiwan,Asiatic Region,71,71,2477,474,34.89,132
32,Portugal,Western Europe,70,69,2316,562,33.09,177
33,Hong Kong,Asiatic Region,69,69,2022,351,29.3,123
34,Kenya,Africa,65,65,2410,434,37.08,122
35,Chile,Latin America,62,62,2781,676,44.85,138
36,Ireland,Western Europe,60,60,1970,170,32.83,149
37,Hungary,Eastern Europe,59,59,1100,241,18.64,134
38,Egypt,Africa/Middle East,52,52,800,231,15.38,94
39,Saudi Arabia,Middle East,48,48,510,117,10.63,112
40,Ukraine,Eastern Europe,48,48,942,123,19.63,71
