Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3611,3560,169860,58615,47.04,417
2,Japan,Asiatic Region,921,917,24418,4692,26.51,193
3,United Kingdom,Western Europe,881,861,41067,4887,46.61,275
4,Spain,Western Europe,807,805,40274,9469,49.91,263
5,Germany,Western Europe,787,779,28426,4951,36.12,252
6,France,Western Europe,704,698,33557,6164,47.67,241
7,Italy,Western Europe,668,657,27326,5530,40.91,231
8,Canada,Northern America,526,520,29577,3941,56.23,258
9,India,Asiatic Region,515,512,16222,4543,31.5,218
10,Australia,Pacific Region,501,492,21360,3534,42.63,226
11,Turkey,Middle East,450,449,22308,4541,49.57,183
12,Netherlands,Western Europe,371,359,30421,2461,82.0,231
13,South Korea,Asiatic Region,296,295,11015,1911,37.21,181
14,China,Asiatic Region,292,292,14784,4560,50.63,234
15,Denmark,Western Europe,273,271,16652,1619,61.0,191
16,Belgium,Western Europe,232,231,18722,1821,80.7,193
17,Brazil,Latin America,220,220,8542,1917,38.83,182
18,Taiwan,Asiatic Region,213,212,6328,854,29.71,142
19,Ireland,Western Europe,212,193,14022,2405,66.14,196
20,Mexico,Latin America,204,204,6816,1176,33.41,146
21,Sweden,Western Europe,193,190,10630,1009,55.08,160
22,New Zealand,Pacific Region,182,181,9701,1232,53.3,169
23,Poland,Eastern Europe,173,171,5995,1030,34.65,138
24,Finland,Western Europe,164,162,8686,909,52.96,164
25,Switzerland,Western Europe,164,161,9554,755,58.26,170
26,Argentina,Latin America,150,150,6395,859,42.63,137
27,Greece,Western Europe,138,138,9196,829,66.64,167
28,Norway,Western Europe,137,134,8467,1140,61.8,142
29,Israel,Middle East,110,109,4443,510,40.39,134
30,Thailand,Asiatic Region,110,110,6743,992,61.3,145
31,Portugal,Western Europe,108,108,6076,783,56.26,163
32,Nigeria,Africa,100,100,2918,693,29.18,97
33,South Africa,Africa,91,90,4541,451,49.9,123
34,Austria,Western Europe,91,90,5945,571,65.33,139
35,Malaysia,Asiatic Region,79,79,3301,754,41.78,147
36,Iran,Middle East,70,70,3238,779,46.26,157
37,Egypt,Africa/Middle East,69,69,3211,347,46.54,114
38,Chile,Latin America,59,59,3207,425,54.36,109
39,Czech Republic,Eastern Europe,52,52,2026,213,38.96,104
40,Hungary,Eastern Europe,48,47,1593,147,33.19,85
41,Croatia,Eastern Europe,45,45,2338,196,51.96,102
42,Venezuela,Latin America,33,33,691,64,20.94,65
43,Russian Federation,Eastern Europe,31,31,1009,193,32.55,77
44,Singapore,Asiatic Region,31,31,1721,98,55.52,100
45,Pakistan,Asiatic Region,30,30,931,164,31.03,110
46,Hong Kong,Asiatic Region,28,28,1447,70,51.68,99
47,Morocco,Africa,27,27,967,83,35.81,66
48,Jordan,Middle East,27,27,617,33,22.85,62
49,Bangladesh,Asiatic Region,26,24,631,45,24.27,84
50,Ghana,Africa,26,26,920,150,35.38,65
51,Slovakia,Eastern Europe,25,24,620,85,24.8,68
52,Philippines,Asiatic Region,24,24,401,34,16.71,54
53,Indonesia,Asiatic Region,24,24,451,83,18.79,73
54,Kenya,Africa,22,22,783,55,35.59,87
55,Slovenia,Eastern Europe,21,21,684,85,32.57,92
56,Cameroon,Africa,20,20,559,49,27.95,49
57,Sri Lanka,Asiatic Region,19,19,472,10,24.84,55
58,Saudi Arabia,Middle East,17,17,420,36,24.71,105
59,Uganda,Africa,17,17,1854,38,109.06,47
60,Tunisia,Africa,17,17,708,189,41.65,97
61,Uruguay,Latin America,16,16,659,57,41.19,75
62,Viet Nam,Asiatic Region,16,16,429,45,26.81,70
63,United Arab Emirates,Middle East,15,15,435,42,29.0,58
64,Oman,Middle East,15,15,600,83,40.0,55
65,Tanzania,Africa,13,13,262,9,20.15,52
66,Ethiopia,Africa,13,13,341,68,26.23,66
67,Algeria,Africa,12,12,901,75,75.08,66
68,Benin,Africa,12,12,672,94,56.0,46
69,Bulgaria,Eastern Europe,12,12,500,33,41.67,67
70,Iceland,Western Europe,11,11,893,50,81.18,58
71,Sudan,Africa,10,10,289,47,28.9,50
72,Serbia,Eastern Europe,10,10,558,47,55.8,91
73,Colombia,Latin America,10,10,215,33,21.5,84
74,Lithuania,Eastern Europe,10,10,1731,60,173.1,55
75,Syrian Arab Republic,Middle East,9,9,246,40,27.33,35
76,Cuba,Latin America,9,9,261,16,29.0,45
77,Lebanon,Middle East,9,9,83,12,9.22,57
78,Peru,Latin America,8,8,238,24,29.75,57
79,Romania,Eastern Europe,8,8,381,66,47.63,80
80,Trinidad and Tobago,Latin America,8,8,430,4,53.75,30
81,Kuwait,Middle East,8,8,198,10,24.75,42
82,Botswana,Africa,7,7,240,4,34.29,35
83,Costa Rica,Latin America,7,7,212,14,30.29,48
84,Mauritius,Africa,7,7,315,12,45.0,31
85,Ukraine,Eastern Europe,7,7,370,73,52.86,52
86,Zimbabwe,Africa,6,6,156,9,26.0,48
87,Burkina Faso,Africa,6,6,259,43,43.17,34
88,Uzbekistan,Asiatic Region,5,5,18,4,3.6,18
89,Barbados,Latin America,5,5,49,0,9.8,11
90,Guatemala,Latin America,5,5,17,1,3.4,24
91,Mali,Africa,5,5,73,9,14.6,30
92,Ecuador,Latin America,4,4,162,14,40.5,53
93,Armenia,Eastern Europe,4,4,18,0,4.5,11
94,Jamaica,Latin America,4,4,165,15,41.25,28
95,Palestine,Middle East,3,3,77,1,25.67,25
96,Nepal,Asiatic Region,3,3,72,11,24.0,38
97,Guinea,Africa,3,3,29,5,9.67,11
98,Latvia,Eastern Europe,3,3,106,5,35.33,38
99,Estonia,Eastern Europe,3,3,241,15,80.33,44
100,Bolivia,Latin America,3,3,59,3,19.67,24
101,Senegal,Africa,2,2,50,3,25.0,40
102,Gabon,Africa,2,2,59,2,29.5,11
103,Mozambique,Africa,2,2,47,5,23.5,30
104,Cyprus,Western Europe,2,2,35,5,17.5,47
105,Côte d’Ivoire,Africa,2,2,139,5,69.5,35
106,Congo,Africa,2,2,21,4,10.5,24
107,Bahrain,Middle East,2,2,28,0,14.0,20
108,Bosnia and Herzegovina,Eastern Europe,2,2,8,0,4.0,29
109,Malawi,Africa,2,2,88,3,44.0,40
110,Honduras,Latin America,2,2,14,1,7.0,14
111,Guyana,Latin America,2,2,1,0,0.5,9
112,Qatar,Middle East,2,2,109,8,54.5,41
113,Timor-Leste,Asiatic Region,1,1,0,0,0.0,8
114,Myanmar,Asiatic Region,1,1,69,0,69.0,19
115,Macedonia,Eastern Europe,1,1,4,0,4.0,31
116,Papua New Guinea,Pacific Region,1,1,4,1,4.0,12
117,Luxembourg,Western Europe,1,1,37,0,37.0,55
118,Kazakhstan,Asiatic Region,1,1,23,2,23.0,26
119,Puerto Rico,Latin America,1,1,37,1,37.0,29
120,Cambodia,Asiatic Region,1,1,15,3,15.0,25
121,Reunion,Africa,1,1,22,1,22.0,10
122,Kyrgyzstan,Asiatic Region,1,1,81,0,81.0,14
123,Iraq,Middle East,1,1,0,0,0.0,38
124,Guam,Pacific Region,1,1,79,1,79.0,6
125,Grenada,Latin America,1,1,65,0,65.0,4
126,El Salvador,Latin America,1,1,1,0,1.0,8
127,Faroe Islands,Western Europe,1,1,151,0,151.0,10
128,Belize,Latin America,1,1,13,0,13.0,2
129,Brunei Darussalam,Asiatic Region,1,1,2,0,2.0,15
130,Vanuatu,Pacific Region,1,1,6,2,6.0,10
131,Samoa,Pacific Region,1,1,1,0,1.0,10
132,Zambia,Africa,1,1,23,0,23.0,28
133,Albania,Eastern Europe,1,1,7,0,7.0,19
