Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1685,1683,77870,40660,46.21,356
2,Canada,Northern America,417,417,14807,4710,35.51,200
3,United Kingdom,Western Europe,266,264,10627,2528,39.95,213
4,Germany,Western Europe,202,202,9758,2683,48.31,208
5,Japan,Asiatic Region,190,190,4005,1305,21.08,150
6,Australia,Pacific Region,164,164,9060,2150,55.24,157
7,France,Western Europe,158,158,6917,1503,43.78,189
8,Sweden,Western Europe,157,156,6039,1411,38.46,146
9,Finland,Western Europe,137,137,4654,1653,33.97,137
10,Turkey,Middle East,102,102,547,227,5.36,78
11,India,Asiatic Region,69,68,1942,1021,28.14,118
12,Italy,Western Europe,60,60,2693,473,44.88,153
13,South Africa,Africa,54,54,2537,590,46.98,78
14,New Zealand,Pacific Region,54,54,1472,308,27.26,100
15,Netherlands,Western Europe,53,53,3522,389,66.45,160
16,Spain,Western Europe,51,51,1753,649,34.37,147
17,China,Asiatic Region,50,50,723,306,14.46,183
18,Brazil,Latin America,43,43,2594,839,60.33,129
19,Indonesia,Asiatic Region,40,40,1459,337,36.48,74
20,Switzerland,Western Europe,34,34,1142,179,33.59,147
21,Russian Federation,Eastern Europe,30,30,1581,182,52.7,84
22,Greece,Western Europe,27,27,862,158,31.93,88
23,Austria,Western Europe,26,26,1315,218,50.58,122
24,Denmark,Western Europe,26,26,985,124,37.88,115
25,Belgium,Western Europe,23,23,1560,175,67.83,121
26,Norway,Western Europe,23,23,1183,200,51.43,112
27,Poland,Eastern Europe,23,23,421,95,18.3,77
28,Malaysia,Asiatic Region,20,20,265,58,13.25,74
29,Portugal,Western Europe,17,17,647,150,38.06,95
30,Kenya,Africa,16,16,546,90,34.13,67
31,Chile,Latin America,15,15,183,24,12.2,64
32,South Korea,Asiatic Region,13,13,265,42,20.38,93
33,Argentina,Latin America,13,13,275,95,21.15,67
34,Taiwan,Asiatic Region,13,13,541,72,41.62,62
35,Israel,Middle East,12,12,379,74,31.58,80
36,Thailand,Asiatic Region,10,10,281,59,28.1,61
37,Nigeria,Africa,9,9,122,29,13.56,39
38,Mexico,Latin America,9,9,224,62,24.89,77
39,Congo,Africa,7,7,358,7,51.14,35
40,Ireland,Western Europe,7,7,732,21,104.57,76
41,Estonia,Eastern Europe,7,7,289,46,41.29,58
42,Philippines,Asiatic Region,7,7,195,20,27.86,39
43,Costa Rica,Latin America,6,6,58,11,9.67,61
44,Zimbabwe,Africa,6,6,151,35,25.17,31
45,Tanzania,Africa,6,6,50,6,8.33,35
46,Bangladesh,Asiatic Region,6,6,76,32,12.67,42
47,Ethiopia,Africa,5,5,186,20,37.2,51
48,Slovakia,Eastern Europe,5,5,29,10,5.8,56
49,Slovenia,Eastern Europe,5,5,33,6,6.6,63
50,Hungary,Eastern Europe,5,5,235,21,47.0,64
51,Croatia,Eastern Europe,5,5,145,27,29.0,40
52,Sri Lanka,Asiatic Region,4,4,141,6,35.25,29
53,Malawi,Africa,4,4,35,10,8.75,26
54,Botswana,Africa,4,4,77,21,19.25,20
55,Czech Republic,Eastern Europe,4,4,110,29,27.5,75
56,Cameroon,Africa,3,3,80,26,26.67,42
57,Côte d’Ivoire,Africa,3,3,23,0,7.67,23
58,Lithuania,Eastern Europe,3,3,63,13,21.0,38
59,Oman,Middle East,3,3,74,2,24.67,15
60,Colombia,Latin America,3,3,42,1,14.0,48
61,Venezuela,Latin America,3,3,68,12,22.67,27
62,Senegal,Africa,2,2,22,10,11.0,24
63,Puerto Rico,Latin America,2,2,48,2,24.0,36
64,Nicaragua,Latin America,2,2,2,1,1.0,20
65,Brunei Darussalam,Asiatic Region,2,2,78,31,39.0,14
66,Morocco,Africa,2,2,10,1,5.0,30
67,Egypt,Africa/Middle East,2,2,26,3,13.0,41
68,Rwanda,Africa,2,2,23,5,11.5,21
69,Viet Nam,Asiatic Region,2,2,141,2,70.5,43
70,Lebanon,Middle East,2,2,16,4,8.0,18
71,Zambia,Africa,2,2,52,7,26.0,29
72,French Guiana,Latin America,2,2,333,10,166.5,22
73,Sudan,Africa,2,2,24,2,12.0,19
74,Ghana,Africa,1,1,73,5,73.0,41
75,Guam,Pacific Region,1,1,1,0,1.0,3
76,Guyana,Latin America,1,1,50,8,50.0,12
77,Hong Kong,Asiatic Region,1,1,30,3,30.0,77
78,Iran,Middle East,1,1,45,2,45.0,64
79,Iceland,Western Europe,1,1,24,4,24.0,31
80,Cuba,Latin America,1,1,8,0,8.0,24
81,Kazakhstan,Asiatic Region,1,1,2,0,2.0,16
82,Laos,Asiatic Region,1,1,7,0,7.0,21
83,Latvia,Eastern Europe,1,1,10,2,10.0,33
84,Mali,Africa,1,1,9,1,9.0,26
85,Mauritius,Africa,1,1,30,6,30.0,9
86,Namibia,Africa,1,1,48,3,48.0,16
87,New Caledonia,Pacific Region,1,1,7,0,7.0,9
88,Nepal,Asiatic Region,1,1,13,0,13.0,33
89,Papua New Guinea,Pacific Region,1,1,6,0,6.0,12
90,Pakistan,Asiatic Region,1,1,2,0,2.0,46
91,Belarus,Eastern Europe,1,1,8,0,8.0,15
92,Bhutan,Asiatic Region,1,1,3,0,3.0,15
93,Singapore,Asiatic Region,1,1,31,0,31.0,44
94,Sierra Leone,Africa,1,1,10,0,10.0,10
95,Syrian Arab Republic,Middle East,1,1,16,0,16.0,22
96,Burundi,Africa,1,1,7,0,7.0,5
97,Ukraine,Eastern Europe,1,1,10,1,10.0,35
98,Uganda,Africa,1,1,7,0,7.0,34
99,Burkina Faso,Africa,1,1,22,5,22.0,32
100,Samoa,Pacific Region,1,1,2,0,2.0,3
101,Guadeloupe,Latin America,1,1,23,3,23.0,12
