Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1015,999,29591,8817,29.15,206
2,Japan,Asiatic Region,446,446,9833,2118,22.05,108
3,Italy,Western Europe,330,327,5183,1393,15.71,117
4,Germany,Western Europe,316,315,6510,1059,20.6,126
5,Canada,Northern America,270,267,6412,1602,23.75,115
6,United Kingdom,Western Europe,269,269,9376,1011,34.86,132
7,France,Western Europe,250,248,4532,999,18.13,123
8,India,Asiatic Region,214,213,5871,2413,27.43,113
9,Spain,Western Europe,204,204,5957,1538,29.2,131
10,Brazil,Latin America,182,180,5305,2247,29.15,93
11,Australia,Pacific Region,169,169,6176,1009,36.54,121
12,Israel,Middle East,152,152,4086,592,26.88,102
13,Netherlands,Western Europe,152,151,3140,363,20.66,98
14,New Zealand,Pacific Region,106,105,3939,448,37.16,90
15,Belgium,Western Europe,94,94,1555,262,16.54,84
16,South Africa,Africa,89,89,1988,422,22.34,76
17,China,Asiatic Region,85,85,1850,663,21.76,124
18,Greece,Western Europe,77,76,1298,196,16.86,74
19,Portugal,Western Europe,68,68,1146,189,16.85,69
20,Poland,Eastern Europe,59,59,839,230,14.22,63
21,Denmark,Western Europe,55,54,1464,161,26.62,73
22,Hungary,Eastern Europe,55,54,662,111,12.04,49
23,Mexico,Latin America,54,54,1239,358,22.94,79
24,Thailand,Asiatic Region,54,53,851,119,15.76,65
25,Turkey,Middle East,54,53,1011,235,18.72,84
26,Switzerland,Western Europe,46,46,1441,93,31.33,76
27,Sweden,Western Europe,43,43,921,95,21.42,59
28,Czech Republic,Eastern Europe,40,40,487,158,12.18,52
29,Egypt,Africa/Middle East,39,39,1405,162,36.03,74
30,South Korea,Asiatic Region,38,38,934,179,24.58,76
31,Bulgaria,Eastern Europe,33,33,198,24,6.0,42
32,Serbia,Eastern Europe,33,33,395,60,11.97,41
33,Nigeria,Africa,33,33,527,135,15.97,38
34,Argentina,Latin America,31,31,739,89,23.84,67
35,Norway,Western Europe,28,28,575,87,20.54,54
36,Finland,Western Europe,25,25,718,61,28.72,53
37,Austria,Western Europe,24,24,394,60,16.42,56
38,Taiwan,Asiatic Region,24,24,735,148,30.63,63
39,Uganda,Africa,21,21,218,64,10.38,30
40,Chile,Latin America,20,20,357,75,17.85,55
41,Russian Federation,Eastern Europe,20,20,371,27,18.55,44
42,Kenya,Africa,19,19,366,31,19.26,46
43,Indonesia,Asiatic Region,14,14,313,54,22.36,40
44,Ethiopia,Africa,13,13,329,77,25.31,35
45,Pakistan,Asiatic Region,13,13,402,63,30.92,60
46,Colombia,Latin America,13,13,312,76,24.0,44
47,Morocco,Africa,13,13,179,20,13.77,41
48,Ireland,Western Europe,13,13,89,14,6.85,47
49,Iran,Middle East,13,13,114,25,8.77,77
50,Slovakia,Eastern Europe,12,12,115,35,9.58,33
51,Romania,Eastern Europe,11,11,28,18,2.55,37
52,Slovenia,Eastern Europe,11,11,79,14,7.18,41
53,Sri Lanka,Asiatic Region,11,11,139,18,12.64,32
54,Tunisia,Africa,10,10,111,22,11.1,44
55,Costa Rica,Latin America,9,9,251,34,27.89,35
56,Philippines,Asiatic Region,9,9,308,22,34.22,45
57,Tanzania,Africa,9,9,188,14,20.89,29
58,Malaysia,Asiatic Region,8,8,132,9,16.5,54
59,Ukraine,Eastern Europe,8,8,26,2,3.25,21
60,Cyprus,Western Europe,8,8,91,5,11.38,29
61,Côte d’Ivoire,Africa,7,7,350,21,50.0,24
62,Croatia,Eastern Europe,7,7,34,12,4.86,37
63,Jordan,Middle East,7,7,153,8,21.86,27
64,Syrian Arab Republic,Middle East,7,7,274,44,39.14,37
65,Cameroon,Africa,7,7,224,59,32.0,39
66,Bangladesh,Asiatic Region,6,6,96,17,16.0,42
67,Peru,Latin America,6,5,133,16,22.17,31
68,Venezuela,Latin America,5,5,12,0,2.4,25
69,Malawi,Africa,5,5,40,4,8.0,14
70,Trinidad and Tobago,Latin America,5,5,54,2,10.8,19
71,Lithuania,Eastern Europe,5,5,15,1,3.0,23
72,Singapore,Asiatic Region,5,5,321,7,64.2,38
73,Latvia,Eastern Europe,5,5,29,19,5.8,16
74,Nepal,Asiatic Region,4,4,112,3,28.0,26
75,Algeria,Africa,4,4,7,2,1.75,26
76,Cuba,Latin America,4,4,167,12,41.75,35
77,Ghana,Africa,4,4,64,5,16.0,24
78,Hong Kong,Asiatic Region,4,4,157,23,39.25,41
79,Belarus,Eastern Europe,4,4,10,1,2.5,10
80,Senegal,Africa,4,4,180,3,45.0,20
81,Zambia,Africa,3,3,80,1,26.67,12
