Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3268,3218,137999,69469,42.23,351
2,United Kingdom,Western Europe,559,547,26571,5363,47.53,224
3,Japan,Asiatic Region,547,544,14369,3336,26.27,152
4,Brazil,Latin America,541,541,12680,6179,23.44,121
5,Germany,Western Europe,457,453,21342,4407,46.7,197
6,Canada,Northern America,433,430,18723,3800,43.24,166
7,China,Asiatic Region,390,390,11352,4265,29.11,151
8,France,Western Europe,372,370,17886,3734,48.08,183
9,Australia,Pacific Region,344,338,12696,2714,36.91,160
10,Spain,Western Europe,236,234,9821,2029,41.61,132
11,Italy,Western Europe,191,186,6939,1414,36.33,135
12,Netherlands,Western Europe,165,164,7811,795,47.34,152
13,Mexico,Latin America,149,148,3487,873,23.4,88
14,India,Asiatic Region,146,146,3005,1041,20.58,101
15,Switzerland,Western Europe,136,134,6635,942,48.79,146
16,South Africa,Africa,130,130,4864,980,37.42,103
17,Argentina,Latin America,127,127,4020,1073,31.65,87
18,Sweden,Western Europe,113,113,5236,673,46.34,114
19,Belgium,Western Europe,109,108,5043,914,46.27,115
20,South Korea,Asiatic Region,109,107,2535,522,23.26,90
21,Turkey,Middle East,106,104,1682,482,15.87,63
22,Kenya,Africa,92,91,2480,922,26.96,78
23,Czech Republic,Eastern Europe,89,89,2486,566,27.93,80
24,Russian Federation,Eastern Europe,89,87,1248,290,14.02,76
25,Denmark,Western Europe,88,88,4310,469,48.98,103
26,Poland,Eastern Europe,81,81,1371,389,16.93,69
27,Israel,Middle East,75,73,3427,325,45.69,97
28,New Zealand,Pacific Region,75,75,2481,448,33.08,88
29,Greece,Western Europe,70,70,1664,327,23.77,83
30,Finland,Western Europe,59,59,2273,321,38.53,85
31,Hungary,Eastern Europe,58,58,1384,170,23.86,63
32,Austria,Western Europe,58,58,1904,353,32.83,97
33,Thailand,Asiatic Region,53,53,2441,418,46.06,86
34,Portugal,Western Europe,51,51,1374,192,26.94,64
35,Taiwan,Asiatic Region,49,49,3105,383,63.37,92
36,Iran,Middle East,49,49,1202,542,24.53,63
37,Colombia,Latin America,45,45,812,178,18.04,57
38,Venezuela,Latin America,36,36,468,59,13.0,46
39,Egypt,Africa/Middle East,34,34,524,86,15.41,57
40,Nigeria,Africa,27,27,246,87,9.11,44
41,Indonesia,Asiatic Region,24,24,168,48,7.0,37
42,Norway,Western Europe,24,24,1153,157,48.04,75
43,Malaysia,Asiatic Region,23,23,363,75,15.78,52
44,Chile,Latin America,22,22,567,60,25.77,49
45,Singapore,Asiatic Region,21,21,1113,127,53.0,81
46,Croatia,Eastern Europe,20,19,282,118,14.1,43
47,Ireland,Western Europe,20,20,855,63,42.75,56
48,Estonia,Eastern Europe,18,18,457,129,25.39,42
49,Costa Rica,Latin America,17,17,639,29,37.59,40
50,Slovakia,Eastern Europe,17,17,398,61,23.41,48
51,Tanzania,Africa,16,16,556,103,34.75,56
52,Philippines,Asiatic Region,16,16,389,42,24.31,43
53,Ethiopia,Africa,16,16,297,78,18.56,39
54,Uganda,Africa,16,16,599,94,37.44,47
55,Burkina Faso,Africa,16,16,443,109,27.69,42
56,Panama,Latin America,16,16,740,67,46.25,46
57,United Arab Emirates,Middle East,16,15,165,6,10.31,26
58,Hong Kong,Asiatic Region,16,16,999,138,62.44,81
59,Cameroon,Africa,15,15,431,81,28.73,53
60,Benin,Africa,15,15,333,40,22.2,49
61,Uruguay,Latin America,13,13,418,41,32.15,41
62,Tunisia,Africa,12,11,352,82,29.33,42
63,Peru,Latin America,11,11,426,21,38.73,40
64,Pakistan,Asiatic Region,11,11,290,56,26.36,54
65,Ukraine,Eastern Europe,10,10,141,20,14.1,33
66,Serbia,Eastern Europe,10,10,169,31,16.9,40
67,Slovenia,Eastern Europe,10,10,317,39,31.7,43
68,Viet Nam,Asiatic Region,10,10,273,50,27.3,48
69,Saudi Arabia,Middle East,9,9,105,42,11.67,51
70,Senegal,Africa,9,9,166,24,18.44,42
71,Bulgaria,Eastern Europe,9,9,170,36,18.89,41
72,Sri Lanka,Asiatic Region,9,9,163,42,18.11,36
73,Zambia,Africa,8,8,700,49,87.5,36
74,Lithuania,Eastern Europe,8,8,244,37,30.5,30
75,Puerto Rico,Latin America,8,7,223,11,27.88,39
76,Côte d’Ivoire,Africa,6,6,126,17,21.0,40
77,Sudan,Africa,6,6,121,28,20.17,29
78,Jordan,Middle East,6,6,106,4,17.67,25
79,Zimbabwe,Africa,6,6,92,3,15.33,31
80,Bangladesh,Asiatic Region,5,5,301,14,60.2,35
81,Bolivia,Latin America,5,5,49,3,9.8,28
82,Papua New Guinea,Pacific Region,5,5,108,12,21.6,23
83,Syrian Arab Republic,Middle East,5,5,55,8,11.0,22
84,Libya,Africa,5,4,1032,10,206.4,17
85,Namibia,Africa,4,4,68,8,17.0,18
86,Morocco,Africa,4,4,145,41,36.25,36
87,Romania,Eastern Europe,4,4,177,15,44.25,38
88,Madagascar,Africa,4,4,124,10,31.0,23
89,Mozambique,Africa,4,4,236,25,59.0,20
90,Guam,Pacific Region,3,3,77,1,25.67,14
91,Brunei Darussalam,Asiatic Region,3,3,95,8,31.67,13
92,Belarus,Eastern Europe,3,3,5,2,1.67,18
93,Congo,Africa,3,3,35,3,11.67,18
94,Cuba,Latin America,3,3,52,4,17.33,31
95,Algeria,Africa,3,3,28,6,9.33,33
96,Ecuador,Latin America,3,2,192,73,64.0,33
97,Ghana,Africa,3,3,272,63,90.67,38
98,Guadeloupe,Latin America,3,3,63,1,21.0,8
99,Laos,Asiatic Region,3,3,73,10,24.33,21
100,Latvia,Eastern Europe,3,3,2,1,0.67,19
101,Mauritius,Africa,3,3,47,1,15.67,14
102,Malawi,Africa,3,3,74,3,24.67,28
103,Nepal,Asiatic Region,3,2,96,2,32.0,22
104,Malta,Western Europe,2,2,10,5,5.0,12
105,Gabon,Africa,2,2,112,13,56.0,25
106,Eritrea,Africa,2,2,103,2,51.5,8
107,Honduras,Latin America,2,2,10,1,5.0,21
108,Guyana,Latin America,2,2,46,0,23.0,8
109,Monaco,Western Europe,2,2,168,41,84.0,22
110,Guatemala,Latin America,2,2,142,1,71.0,29
111,Belize,Latin America,2,2,54,1,27.0,8
112,Botswana,Africa,2,2,116,6,58.0,18
113,Bhutan,Asiatic Region,2,2,69,0,34.5,9
114,Kazakhstan,Asiatic Region,2,2,147,5,73.5,16
115,Saint Vincent and the Grenadines,Latin America,2,2,68,1,34.0,2
116,Bahrain,Middle East,2,2,30,7,15.0,7
117,Guinea,Africa,2,2,61,8,30.5,11
118,Gambia,Africa,2,2,38,7,19.0,23
119,Iceland,Western Europe,2,2,11,3,5.5,22
120,Mali,Africa,2,2,38,5,19.0,30
121,Togo,Africa,2,2,26,0,13.0,22
122,Chad,Africa,1,1,104,0,104.0,9
123,Georgia,Eastern Europe,1,1,20,3,20.0,17
124,Trinidad and Tobago,Latin America,1,1,6,1,6.0,25
125,Cyprus,Western Europe,1,1,8,1,8.0,25
126,Cape Verde,Africa,1,1,1,0,1.0,3
127,Central African Republic,Africa,1,1,1,0,1.0,12
128,Uzbekistan,Asiatic Region,1,1,39,0,39.0,12
129,Bosnia and Herzegovina,Eastern Europe,1,1,24,0,24.0,14
