Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4852,4661,242532,78235,49.99,569
2,China,Asiatic Region,2832,2792,97688,49730,34.49,298
3,Germany,Western Europe,1698,1660,99584,20424,58.65,379
4,Japan,Asiatic Region,1653,1613,72887,13897,44.09,334
5,Brazil,Latin America,1481,1459,26791,13852,18.09,183
6,India,Asiatic Region,1366,1341,33864,12576,24.79,240
7,United Kingdom,Western Europe,1350,1293,93765,13181,69.46,407
8,France,Western Europe,1163,1138,72487,11970,62.33,331
9,Australia,Pacific Region,1085,1066,61790,13042,56.95,324
10,Spain,Western Europe,1034,1014,54308,10887,52.52,282
11,Canada,Northern America,969,946,41997,6761,43.34,282
12,Italy,Western Europe,858,805,31420,7572,36.62,239
13,Poland,Eastern Europe,643,633,11618,2906,18.07,150
14,Mexico,Latin America,540,525,13518,3132,25.03,172
15,Turkey,Middle East,507,492,9123,2830,17.99,128
16,Netherlands,Western Europe,489,473,35517,4263,72.63,292
17,Pakistan,Asiatic Region,465,463,9717,3695,20.9,128
18,Argentina,Latin America,453,436,11642,2397,25.7,171
19,South Korea,Asiatic Region,426,419,19596,2438,46.0,205
20,Sweden,Western Europe,391,383,23064,2338,58.99,224
21,Switzerland,Western Europe,384,375,27161,3198,70.73,258
22,Belgium,Western Europe,384,374,18653,2550,48.58,232
23,Iran,Middle East,384,379,7474,1983,19.46,115
24,South Africa,Africa,355,349,11833,2652,33.33,163
25,Czech Republic,Eastern Europe,337,326,11533,2547,34.22,165
26,New Zealand,Pacific Region,284,270,11110,1899,39.12,193
27,Russian Federation,Eastern Europe,277,274,4998,1291,18.04,135
28,Austria,Western Europe,255,248,11695,1303,45.86,180
29,Portugal,Western Europe,232,228,9861,1498,42.5,144
30,Hungary,Eastern Europe,221,218,5077,755,22.97,139
31,Denmark,Western Europe,214,211,11439,1220,53.45,195
32,Israel,Middle East,211,202,9485,1098,44.95,210
33,Taiwan,Asiatic Region,208,203,7794,835,37.47,142
34,Finland,Western Europe,191,188,7373,1232,38.6,163
35,Thailand,Asiatic Region,190,190,8371,1899,44.06,135
36,Egypt,Africa/Middle East,172,167,3176,501,18.47,114
37,Norway,Western Europe,162,159,4168,597,25.73,140
38,Chile,Latin America,158,156,4779,1015,30.25,115
39,Nigeria,Africa,147,144,2537,455,17.26,63
40,Greece,Western Europe,145,143,4652,605,32.08,110
41,Slovakia,Eastern Europe,130,128,2642,472,20.32,98
42,Tunisia,Africa,122,120,3816,513,31.28,91
43,Bangladesh,Asiatic Region,108,102,1701,238,15.75,80
44,Malaysia,Asiatic Region,107,105,2455,773,22.94,93
45,Bulgaria,Eastern Europe,89,88,2737,269,30.75,87
46,Croatia,Eastern Europe,89,88,1091,254,12.26,60
47,Venezuela,Latin America,85,84,1413,165,16.62,55
48,Serbia,Eastern Europe,81,80,1540,331,19.01,66
49,Philippines,Asiatic Region,79,79,5359,637,67.84,129
50,Cuba,Latin America,79,67,716,122,9.06,57
51,Slovenia,Eastern Europe,75,71,2448,341,32.64,78
52,Romania,Eastern Europe,72,72,1586,210,22.03,60
53,Colombia,Latin America,61,61,1752,261,28.72,94
54,Kenya,Africa,61,59,2493,233,40.87,79
55,Indonesia,Asiatic Region,60,57,1878,281,31.3,79
56,Hong Kong,Asiatic Region,58,58,3401,352,58.64,123
57,Estonia,Eastern Europe,57,55,3895,527,68.33,119
58,Cameroon,Africa,51,49,991,232,19.43,52
59,Singapore,Asiatic Region,48,48,2483,130,51.73,112
60,Ukraine,Eastern Europe,48,47,471,50,9.81,58
61,Costa Rica,Latin America,46,44,1203,50,26.15,66
62,Ireland,Western Europe,43,42,2055,166,47.79,104
63,Uzbekistan,Asiatic Region,42,42,635,50,15.12,43
64,Viet Nam,Asiatic Region,39,37,928,88,23.79,71
65,Syrian Arab Republic,Middle East,38,34,1283,59,33.76,61
66,Ethiopia,Africa,37,35,536,132,14.49,60
67,Sri Lanka,Asiatic Region,37,37,1143,47,30.89,63
68,Saudi Arabia,Middle East,32,31,1438,108,44.94,125
69,Morocco,Africa,31,30,1044,154,33.68,66
70,Peru,Latin America,31,30,961,127,31.0,70
71,Algeria,Africa,31,31,614,173,19.81,47
72,Benin,Africa,27,27,820,161,30.37,42
73,Uruguay,Latin America,27,27,699,76,25.89,56
74,Lithuania,Eastern Europe,25,25,686,41,27.44,40
75,Luxembourg,Western Europe,24,21,958,79,39.92,62
76,Ecuador,Latin America,22,22,631,81,28.68,55
77,Uganda,Africa,22,18,643,97,29.23,49
78,Jordan,Middle East,22,22,640,36,29.09,46
79,Puerto Rico,Latin America,21,20,518,33,24.67,48
80,Panama,Latin America,21,21,986,82,46.95,93
81,Georgia,Eastern Europe,20,19,184,23,9.2,30
82,Nepal,Asiatic Region,20,18,402,45,20.1,51
83,Kazakhstan,Asiatic Region,19,19,120,48,6.32,29
84,Bolivia,Latin America,19,18,1005,48,52.89,48
85,New Caledonia,Pacific Region,17,17,675,41,39.71,41
86,Belarus,Eastern Europe,16,16,192,30,12.0,33
87,Burkina Faso,Africa,15,14,160,48,10.67,33
88,Tanzania,Africa,14,13,811,36,57.93,49
89,Sudan,Africa,14,13,207,18,14.79,40
90,Madagascar,Africa,13,13,544,19,41.85,31
91,Papua New Guinea,Pacific Region,12,12,71,10,5.92,24
