Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,59967,59661,1071759,726808,17.87,238
2,United States,Northern America,58947,57816,2580243,972933,43.77,451
3,Germany,Western Europe,17732,17478,700406,160559,39.5,264
4,India,Asiatic Region,17088,16929,289639,107103,16.95,174
5,Brazil,Latin America,14826,14673,278694,126133,18.8,160
6,Australia,Pacific Region,12990,12697,491487,95485,37.84,238
7,United Kingdom,Western Europe,12924,12655,597815,97734,46.26,272
8,Canada,Northern America,11559,11397,437247,78036,37.83,220
9,Japan,Asiatic Region,11303,11233,281762,55616,24.93,167
10,France,Western Europe,11258,11128,497974,97868,44.23,241
11,Spain,Western Europe,10395,10271,357203,82810,34.36,193
12,Italy,Western Europe,8437,8320,314317,64727,37.25,202
13,Russian Federation,Eastern Europe,7534,7484,89967,28046,11.94,106
14,Iran,Middle East,7348,7321,113290,32407,15.42,105
15,Netherlands,Western Europe,5850,5734,297479,36346,50.85,209
16,Poland,Eastern Europe,4443,4419,68243,17189,15.36,93
17,Czech Republic,Eastern Europe,3866,3846,61662,14196,15.95,95
18,New Zealand,Pacific Region,3836,3769,129164,21170,33.67,147
19,Sweden,Western Europe,3799,3751,162536,20029,42.78,158
20,Switzerland,Western Europe,3730,3683,178071,22704,47.74,166
21,Turkey,Middle East,3632,3602,82647,15164,22.76,116
22,Belgium,Western Europe,3574,3539,146895,16027,41.1,154
23,Argentina,Latin America,3453,3429,76253,17392,22.08,110
24,Pakistan,Asiatic Region,3437,3416,55397,14345,16.12,99
25,Denmark,Western Europe,3331,3278,142042,19229,42.64,151
26,South Korea,Asiatic Region,3051,3029,80856,11440,26.5,118
27,South Africa,Africa,2910,2885,55610,10002,19.11,99
28,Mexico,Latin America,2606,2569,65369,9628,25.08,108
29,Austria,Western Europe,2419,2383,96662,9268,39.96,135
30,Finland,Western Europe,2397,2389,90768,15551,37.87,123
31,Egypt,Africa/Middle East,2391,2381,39840,8186,16.66,80
32,Greece,Western Europe,2112,2080,63418,10176,30.03,109
33,Nigeria,Africa,1989,1986,28445,4908,14.3,66
34,Israel,Middle East,1959,1927,74883,10115,38.23,116
35,Portugal,Western Europe,1920,1895,55896,9812,29.11,100
36,Norway,Western Europe,1915,1901,76349,8727,39.87,120
37,Taiwan,Asiatic Region,1811,1798,38243,5224,21.12,82
38,Indonesia,Asiatic Region,1787,1780,23843,5185,13.34,68
39,Malaysia,Asiatic Region,1742,1736,31585,6731,18.13,75
40,Thailand,Asiatic Region,1724,1716,31320,4609,18.17,79
41,Hungary,Eastern Europe,1327,1303,24566,3546,18.51,72
42,Chile,Latin America,1319,1309,30654,5862,23.24,76
43,Colombia,Latin America,1310,1302,22302,2737,17.02,66
44,Philippines,Asiatic Region,1155,1135,55243,7587,47.83,112
45,Ethiopia,Africa,1142,1137,20297,6421,17.77,69
46,Saudi Arabia,Middle East,1135,1131,20602,3259,18.15,59
47,Hong Kong,Asiatic Region,1103,1097,38160,4284,34.6,97
48,Ireland,Western Europe,1083,1066,34757,3939,32.09,84
49,Slovakia,Eastern Europe,1050,1045,17165,2722,16.35,57
50,Kenya,Africa,988,975,32565,4468,32.96,81
51,Bangladesh,Asiatic Region,948,943,18451,2730,19.46,67
52,Viet Nam,Asiatic Region,934,928,16010,2440,17.14,56
53,Tunisia,Africa,837,826,17928,3192,21.42,62
54,Morocco,Africa,773,769,14316,2784,18.52,58
55,Romania,Eastern Europe,652,649,7372,1082,11.31,45
56,Serbia,Eastern Europe,617,612,7692,1248,12.47,42
57,Ghana,Africa,617,611,9643,1257,15.63,48
