Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2054,2038,126542,51146,61.61,451
2,China,Asiatic Region,817,817,24922,16112,30.5,238
3,Germany,Western Europe,495,494,24079,6270,48.64,264
4,Japan,Asiatic Region,438,438,18093,3569,41.31,167
5,United Kingdom,Western Europe,368,366,22669,3798,61.6,272
6,France,Western Europe,352,351,18244,4291,51.83,241
7,Canada,Northern America,338,334,17786,3243,52.62,220
8,Australia,Pacific Region,323,321,15639,3480,48.42,238
9,Russian Federation,Eastern Europe,248,244,3205,895,12.92,106
10,Spain,Western Europe,246,246,14867,3210,60.43,193
11,Italy,Western Europe,208,207,11525,2408,55.41,202
12,Brazil,Latin America,207,207,9138,4678,44.14,160
13,India,Asiatic Region,188,186,7413,2967,39.43,174
14,Netherlands,Western Europe,150,150,9349,1309,62.33,209
15,Czech Republic,Eastern Europe,134,134,2380,599,17.76,95
16,New Zealand,Pacific Region,130,128,6007,1234,46.21,147
17,Turkey,Middle East,123,123,7504,1354,61.01,116
18,Poland,Eastern Europe,120,120,4169,710,34.74,93
19,Denmark,Western Europe,104,103,6620,935,63.65,151
20,Belgium,Western Europe,97,97,7769,708,80.09,154
21,Switzerland,Western Europe,95,95,6423,992,67.61,166
22,Sweden,Western Europe,90,90,6733,616,74.81,158
23,Israel,Middle East,84,84,5014,585,59.69,116
24,South Africa,Africa,82,82,2107,484,25.7,99
25,Finland,Western Europe,79,79,4343,999,54.97,123
26,Argentina,Latin America,74,74,4533,793,61.26,110
27,Greece,Western Europe,72,72,2557,466,35.51,109
28,South Korea,Asiatic Region,69,69,2860,342,41.45,118
29,Norway,Western Europe,58,58,2050,314,35.34,120
30,Mexico,Latin America,51,51,2176,262,42.67,108
31,Taiwan,Asiatic Region,51,51,1649,308,32.33,82
32,Austria,Western Europe,50,50,4335,325,86.7,135
33,Iran,Middle East,48,48,1740,503,36.25,105
34,Thailand,Asiatic Region,42,41,1262,152,30.05,79
35,Hong Kong,Asiatic Region,31,31,1431,146,46.16,97
