Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,26677,23677,383799,163520,14.39,1267
2,United Kingdom,Western Europe,12359,10629,152006,39357,12.3,672
3,Germany,Western Europe,5105,4582,79673,17817,15.61,568
4,France,Western Europe,4904,4501,45286,8592,9.23,449
5,Spain,Western Europe,4566,4357,33810,9925,7.4,293
6,Italy,Western Europe,4080,3644,34378,8080,8.43,338
7,Canada,Northern America,4043,3635,57615,9678,14.25,496
8,Australia,Pacific Region,3849,3394,55300,12098,14.37,386
9,Russian Federation,Eastern Europe,2984,2932,13692,4649,4.59,183
10,Netherlands,Western Europe,2332,2097,49417,7254,21.19,425
11,China,Asiatic Region,2165,2082,49185,24268,22.72,367
12,Brazil,Latin America,1640,1521,11148,2731,6.8,193
13,South Africa,Africa,1591,1479,11426,3477,7.18,184
14,Belgium,Western Europe,1488,1333,19807,2295,13.31,247
15,Poland,Eastern Europe,1471,1411,10978,2102,7.46,134
16,Switzerland,Western Europe,1278,1153,32545,3760,25.47,398
17,Israel,Middle East,1277,1194,14055,2574,11.01,266
18,Sweden,Western Europe,1227,1111,23764,3655,19.37,311
19,India,Asiatic Region,1024,951,8072,1975,7.88,160
20,Chile,Latin America,961,892,4164,1427,4.33,110
21,Turkey,Middle East,931,890,7364,1479,7.91,125
22,Denmark,Western Europe,902,782,18099,2191,20.07,261
23,Japan,Asiatic Region,873,780,27803,3938,31.85,415
24,Austria,Western Europe,870,780,14397,1428,16.55,225
25,Argentina,Latin America,857,805,5446,1349,6.35,117
26,Norway,Western Europe,835,769,13816,2138,16.55,202
27,Finland,Western Europe,793,727,14528,2035,18.32,206
28,Czech Republic,Eastern Europe,784,750,4137,1067,5.28,109
29,South Korea,Asiatic Region,775,752,16613,1677,21.44,230
30,Romania,Eastern Europe,768,742,2753,626,3.58,63
31,Malaysia,Asiatic Region,760,751,5401,1516,7.11,82
32,Portugal,Western Europe,746,694,8212,1378,11.01,143
33,Mexico,Latin America,746,696,4288,837,5.75,137
34,New Zealand,Pacific Region,699,610,9192,1435,13.15,177
35,Ireland,Western Europe,650,545,9547,850,14.69,152
36,Colombia,Latin America,611,563,2898,807,4.74,74
37,Slovenia,Eastern Europe,554,522,2326,631,4.2,64
38,Croatia,Eastern Europe,552,539,844,368,1.53,63
39,Hong Kong,Asiatic Region,511,452,7733,879,15.13,184
40,Slovakia,Eastern Europe,460,447,1354,699,2.94,57
41,Greece,Western Europe,456,425,4823,818,10.58,133
42,Iran,Middle East,445,432,3616,1031,8.13,73
43,Taiwan,Asiatic Region,442,423,7509,962,16.99,190
44,Hungary,Eastern Europe,417,381,3132,434,7.51,117
45,Singapore,Asiatic Region,388,348,13641,851,35.16,187
