Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,22709,21211,475351,204109,20.93,205
2,United Kingdom,Western Europe,17162,16159,390818,128158,22.77,194
3,France,Western Europe,9440,9133,148588,35714,15.74,132
4,Germany,Western Europe,8880,8605,168093,43092,18.93,142
5,Italy,Western Europe,8501,8225,83769,35142,9.85,97
6,Spain,Western Europe,7376,7205,85375,35693,11.57,98
7,Russian Federation,Eastern Europe,7246,7194,34619,14160,4.78,78
8,Australia,Pacific Region,4474,4184,96037,28976,21.47,108
9,Canada,Northern America,4353,4112,94905,20743,21.8,117
10,China,Asiatic Region,3063,3023,67928,38305,22.18,101
11,Poland,Eastern Europe,2704,2583,17613,5802,6.51,56
12,Netherlands,Western Europe,2522,2423,72903,7756,28.91,103
13,Israel,Middle East,2430,2357,34354,12400,14.14,81
14,Argentina,Latin America,2240,2161,16122,8341,7.2,48
15,Romania,Eastern Europe,2208,2177,6104,2415,2.76,35
16,Sweden,Western Europe,2193,2084,53923,10415,24.59,100
17,Belgium,Western Europe,2165,2120,29253,4531,13.51,74
18,Czech Republic,Eastern Europe,2112,2026,14317,5256,6.78,46
19,South Africa,Africa,2052,1934,35833,14164,17.46,87
20,Switzerland,Western Europe,1989,1929,67601,10742,33.99,105
21,Greece,Western Europe,1840,1796,21568,4512,11.72,61
22,Norway,Western Europe,1671,1610,60650,13623,36.3,106
23,Denmark,Western Europe,1569,1528,45125,7543,28.76,92
24,Turkey,Middle East,1548,1504,9161,2892,5.92,40
25,Austria,Western Europe,1441,1391,13791,2398,9.57,53
26,Mexico,Latin America,1238,1178,8688,2547,7.02,42
27,Brazil,Latin America,1228,1176,10041,4673,8.18,45
28,Portugal,Western Europe,1217,1178,14677,3714,12.06,54
29,Hungary,Eastern Europe,1206,1168,5911,2044,4.9,35
30,Ukraine,Eastern Europe,1094,1079,2300,634,2.1,23
31,New Zealand,Pacific Region,1081,1054,43538,7909,40.28,69
32,Japan,Asiatic Region,1054,1029,21336,4194,20.24,63
33,Finland,Western Europe,893,855,18652,4371,20.89,64
34,Chile,Latin America,833,787,8215,3735,9.86,39
35,Croatia,Eastern Europe,819,811,2721,1263,3.32,20
36,Ireland,Western Europe,804,758,11396,1364,14.17,51
37,Egypt,Africa/Middle East,626,617,3380,1029,5.4,24
38,Iran,Middle East,535,512,2940,1373,5.5,23
39,India,Asiatic Region,526,509,8851,3545,16.83,48
40,Slovakia,Eastern Europe,522,520,1826,479,3.5,21
41,Slovenia,Eastern Europe,507,499,4093,1037,8.07,25
42,Taiwan,Asiatic Region,494,491,3803,706,7.7,30
43,South Korea,Asiatic Region,479,474,4729,1015,9.87,33
44,Colombia,Latin America,471,426,2150,597,4.56,22
45,Jordan,Middle East,377,364,2015,404,5.34,22
46,Serbia,Eastern Europe,368,361,3302,710,8.97,27
47,Bulgaria,Eastern Europe,327,323,2912,384,8.91,29
48,Estonia,Eastern Europe,307,297,4462,1040,14.53,37
49,Kazakhstan,Asiatic Region,284,284,997,224,3.51,15
50,Cyprus,Western Europe,280,275,2118,372,7.56,24
51,Lithuania,Eastern Europe,275,263,2156,573,7.84,24
52,Malaysia,Asiatic Region,273,270,1028,344,3.77,15
53,Iceland,Western Europe,263,256,10006,1948,38.05,51
54,Peru,Latin America,232,224,2101,331,9.06,25
55,Indonesia,Asiatic Region,223,219,1919,526,8.61,24
56,Singapore,Asiatic Region,169,163,3490,464,20.65,33
57,Moldova,Eastern Europe,167,166,288,116,1.72,7
58,Hong Kong,Asiatic Region,148,146,2805,385,18.95,31
59,Nigeria,Africa,142,138,402,69,2.83,10
60,Tunisia,Africa,117,112,1199,108,10.25,18
61,Georgia,Eastern Europe,113,112,1141,207,10.1,21
62,Tanzania,Africa,109,108,1641,419,15.06,22
63,Mongolia,Asiatic Region,108,108,1279,292,11.84,19
64,Philippines,Asiatic Region,107,100,1154,251,10.79,18
65,Armenia,Eastern Europe,107,106,770,210,7.2,16
66,Ecuador,Latin America,105,103,758,155,7.22,13
67,United Arab Emirates,Middle East,105,97,592,114,5.64,11
68,Thailand,Asiatic Region,101,100,1901,259,18.82,19
69,Morocco,Africa,100,96,1698,359,16.98,20
70,Belarus,Eastern Europe,98,97,466,19,4.76,9
71,Qatar,Middle East,98,92,1242,93,12.67,20
72,Saudi Arabia,Middle East,94,92,1422,284,15.13,19
73,Lebanon,Middle East,88,86,836,72,9.5,18
74,Latvia,Eastern Europe,85,83,2252,134,26.49,17
75,Uzbekistan,Asiatic Region,85,85,249,75,2.93,8
76,Kenya,Africa,85,82,1436,162,16.89,22
77,Ethiopia,Africa,84,83,1409,288,16.77,20
78,Azerbaijan,Eastern Europe,76,76,253,88,3.33,10
79,Uruguay,Latin America,73,72,529,126,7.25,12
80,Viet Nam,Asiatic Region,73,72,1303,236,17.85,19
81,Panama,Latin America,67,67,1677,203,25.03,20
82,Guatemala,Latin America,67,67,781,76,11.66,15
83,Malta,Western Europe,55,51,296,73,5.38,9
84,Pakistan,Asiatic Region,53,52,183,25,3.45,8
85,Albania,Eastern Europe,53,53,545,41,10.28,13
86,Kyrgyzstan,Asiatic Region,52,52,472,72,9.08,12
87,Bolivia,Latin America,52,50,668,62,12.85,14
88,Syrian Arab Republic,Middle East,51,49,263,10,5.16,9
89,Algeria,Africa,49,48,212,27,4.33,8
90,Iraq,Middle East,48,48,218,31,4.54,7
91,Cambodia,Asiatic Region,46,46,644,91,14.0,14
92,Botswana,Africa,46,46,734,119,15.96,14
93,Bosnia and Herzegovina,Eastern Europe,45,45,33,6,0.73,3
94,Ghana,Africa,43,39,601,46,13.98,11
95,Cuba,Latin America,42,41,520,57,12.38,14
96,Papua New Guinea,Pacific Region,42,40,459,52,10.93,11
97,Zimbabwe,Africa,40,38,393,69,9.83,8
98,Venezuela,Latin America,39,38,372,50,9.54,10
99,Luxembourg,Western Europe,38,38,210,11,5.53,7
100,Palestine,Middle East,36,33,76,6,2.11,5
101,Senegal,Africa,35,35,287,48,8.2,10
102,Macedonia,Eastern Europe,33,30,169,32,5.12,6
103,Guam,Pacific Region,28,26,419,56,14.96,10
104,Costa Rica,Latin America,28,27,178,37,6.36,6
105,Namibia,Africa,28,25,338,52,12.07,11
106,Oman,Middle East,26,26,113,17,4.35,6
107,Sri Lanka,Asiatic Region,26,26,288,73,11.08,10
108,Puerto Rico,Latin America,25,24,324,20,12.96,9
109,Sudan,Africa,25,25,236,10,9.44,5
110,Madagascar,Africa,22,20,381,83,17.32,10
111,Belize,Latin America,21,19,590,18,28.1,11
