Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,647,627,26310,11699,40.66,205
2,United Kingdom,Western Europe,343,337,13422,4743,39.13,194
3,Germany,Western Europe,244,241,3817,1030,15.64,142
4,France,Western Europe,185,177,6069,1389,32.81,132
5,Italy,Western Europe,114,114,2581,1006,22.64,97
6,Canada,Northern America,108,103,5017,1404,46.45,117
7,Australia,Pacific Region,89,88,5314,1429,59.71,108
8,Japan,Asiatic Region,54,54,1381,379,25.57,63
9,Netherlands,Western Europe,49,48,1907,244,38.92,103
10,Spain,Western Europe,49,49,1580,666,32.24,98
11,Sweden,Western Europe,43,43,1883,566,43.79,100
12,Switzerland,Western Europe,40,40,1998,284,49.95,105
13,Israel,Middle East,36,36,1201,301,33.36,81
14,Czech Republic,Eastern Europe,35,27,148,98,4.23,46
15,Belgium,Western Europe,34,34,639,87,18.79,74
16,Greece,Western Europe,33,32,452,91,13.7,61
17,China,Asiatic Region,29,29,1094,513,37.72,101
18,Russian Federation,Eastern Europe,27,25,1937,566,71.74,78
19,South Africa,Africa,24,24,1291,454,53.79,87
20,Denmark,Western Europe,24,24,1295,261,53.96,92
21,Ireland,Western Europe,24,24,268,35,11.17,51
22,Norway,Western Europe,24,24,1783,605,74.29,106
23,Austria,Western Europe,23,23,200,25,8.7,53
24,Finland,Western Europe,22,22,1278,335,58.09,64
25,Taiwan,Asiatic Region,22,22,115,44,5.23,30
26,Hong Kong,Asiatic Region,20,20,165,23,8.25,31
27,New Zealand,Pacific Region,19,19,627,226,33.0,69
28,Croatia,Eastern Europe,15,15,98,75,6.53,20
29,South Korea,Asiatic Region,15,15,118,25,7.87,33
30,Slovenia,Eastern Europe,15,15,149,97,9.93,25
31,Singapore,Asiatic Region,14,14,137,31,9.79,33
32,Poland,Eastern Europe,13,13,257,153,19.77,56
33,India,Asiatic Region,11,10,318,47,28.91,48
34,Portugal,Western Europe,11,11,502,40,45.64,54
35,Turkey,Middle East,8,8,67,26,8.38,40
36,Hungary,Eastern Europe,6,6,58,5,9.67,35
37,Jordan,Middle East,6,6,80,4,13.33,22
38,Argentina,Latin America,5,5,97,59,19.4,48
39,Iceland,Western Europe,5,5,265,85,53.0,51
40,Romania,Eastern Europe,5,5,120,73,24.0,35
41,Estonia,Eastern Europe,4,4,103,46,25.75,37
42,Slovakia,Eastern Europe,4,3,5,2,1.25,21
43,Mexico,Latin America,3,3,48,3,16.0,42
44,Serbia,Eastern Europe,3,3,62,6,20.67,27
45,Brazil,Latin America,3,3,46,31,15.33,45
46,Iran,Middle East,3,3,21,10,7.0,23
47,Peru,Latin America,2,2,15,0,7.5,25
48,French Polynesia,Pacific Region,2,2,24,2,12.0,8
49,Papua New Guinea,Pacific Region,2,2,45,1,22.5,11
50,Bulgaria,Eastern Europe,2,2,54,29,27.0,29
51,Bolivia,Latin America,2,2,34,2,17.0,14
52,Uzbekistan,Asiatic Region,2,2,2,2,1.0,8
53,Nigeria,Africa,2,2,14,4,7.0,10
54,Viet Nam,Asiatic Region,2,2,301,81,150.5,19
55,Zimbabwe,Africa,1,1,7,1,7.0,8
56,American Samoa,Pacific Region,1,1,1,0,1.0,3
57,Azerbaijan,Eastern Europe,1,1,0,0,0.0,10
58,Bangladesh,Asiatic Region,1,1,12,1,12.0,5
59,Cyprus,Western Europe,1,1,15,1,15.0,24
60,Egypt,Africa/Middle East,1,1,0,0,0.0,24
61,Ethiopia,Africa,1,1,34,8,34.0,20
62,Georgia,Eastern Europe,1,1,39,5,39.0,21
63,Guatemala,Latin America,1,1,77,6,77.0,15
64,Jamaica,Latin America,1,1,44,0,44.0,6
65,Lithuania,Eastern Europe,1,1,52,4,52.0,24
66,Luxembourg,Western Europe,1,1,0,0,0.0,7
67,Libya,Africa,1,1,25,0,25.0,8
68,Macao,Asiatic Region,1,1,2,0,2.0,2
69,New Caledonia,Pacific Region,1,1,21,3,21.0,9
70,Syrian Arab Republic,Middle East,1,1,25,2,25.0,9
71,Thailand,Asiatic Region,1,1,44,14,44.0,19
72,Ukraine,Eastern Europe,1,1,3,1,3.0,23
73,Venezuela,Latin America,1,1,53,13,53.0,10
