Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5685,5371,143406,65601,25.23,496
2,United Kingdom,Western Europe,2361,2108,55209,15446,23.38,300
3,China,Asiatic Region,995,985,14255,7294,14.33,145
4,France,Western Europe,988,945,11617,3397,11.76,165
5,Canada,Northern America,957,921,23128,4495,24.17,237
6,Australia,Pacific Region,892,852,20527,4667,23.01,193
7,Germany,Western Europe,693,650,19903,5055,28.72,204
8,Spain,Western Europe,615,592,11240,2972,18.28,143
9,Netherlands,Western Europe,602,580,19875,3503,33.01,219
10,Malaysia,Asiatic Region,527,526,4595,1556,8.72,65
11,Italy,Western Europe,481,463,8280,2463,17.21,138
12,South Africa,Africa,419,414,3290,945,7.85,81
13,Turkey,Middle East,333,322,2635,598,7.91,88
14,Belgium,Western Europe,310,299,10802,1469,34.85,141
15,Croatia,Eastern Europe,302,301,1777,284,5.88,50
16,South Korea,Asiatic Region,285,281,5813,803,20.4,118
17,Nigeria,Africa,264,264,742,235,2.81,27
18,Switzerland,Western Europe,232,220,8122,1031,35.01,128
19,Israel,Middle East,220,214,4064,925,18.47,129
20,India,Asiatic Region,219,187,1550,574,7.08,79
21,Sweden,Western Europe,212,196,4890,879,23.07,134
22,Japan,Asiatic Region,212,187,3713,699,17.51,103
23,Taiwan,Asiatic Region,208,207,5267,729,25.32,130
24,Norway,Western Europe,193,186,3453,728,17.89,112
25,Albania,Eastern Europe,183,183,85,13,0.46,11
26,Hong Kong,Asiatic Region,174,170,5094,600,29.28,130
27,Denmark,Western Europe,172,167,4803,778,27.92,127
28,New Zealand,Pacific Region,153,141,4142,481,27.07,101
29,Brazil,Latin America,148,143,1773,505,11.98,80
30,Chile,Latin America,136,128,1613,340,11.86,59
31,Austria,Western Europe,130,125,2580,358,19.85,88
32,Finland,Western Europe,128,121,3044,521,23.78,107
33,Poland,Eastern Europe,115,108,1307,385,11.37,67
34,Mexico,Latin America,113,111,962,244,8.51,67
35,Czech Republic,Eastern Europe,112,111,1056,272,9.43,48
36,Portugal,Western Europe,110,109,2628,447,23.89,83
37,Thailand,Asiatic Region,99,97,808,179,8.16,42
38,Colombia,Latin America,96,86,327,104,3.41,40
39,Ireland,Western Europe,91,86,1816,216,19.96,74
40,Iran,Middle East,88,87,1743,206,19.81,48
41,Argentina,Latin America,84,79,627,102,7.46,48
42,Lithuania,Eastern Europe,79,79,165,46,2.09,25
43,Greece,Western Europe,76,73,1143,151,15.04,68
44,Singapore,Asiatic Region,74,66,2193,207,29.64,99
45,Jordan,Middle East,66,66,309,33,4.68,26
46,Russian Federation,Eastern Europe,63,62,726,207,11.52,65
47,Romania,Eastern Europe,53,53,259,47,4.89,46
48,Hungary,Eastern Europe,52,51,592,112,11.38,54
49,Estonia,Eastern Europe,52,51,464,153,8.92,42
50,Serbia,Eastern Europe,51,51,484,76,9.49,34
51,Indonesia,Asiatic Region,44,44,381,117,8.66,38
52,Slovenia,Eastern Europe,33,31,292,32,8.85,40
53,Cyprus,Western Europe,32,32,439,81,13.72,39
54,Venezuela,Latin America,32,29,50,14,1.56,20
55,Egypt,Africa/Middle East,30,30,276,9,9.2,32
56,Pakistan,Asiatic Region,28,28,313,71,11.18,41
57,Saudi Arabia,Middle East,27,26,215,49,7.96,48
58,Philippines,Asiatic Region,25,21,197,29,7.88,26
59,Bangladesh,Asiatic Region,25,25,240,45,9.6,25
60,United Arab Emirates,Middle East,24,22,250,14,10.42,38
61,Kenya,Africa,22,21,98,14,4.45,34
62,Slovakia,Eastern Europe,22,21,68,27,3.09,29
63,Iceland,Western Europe,21,21,456,64,21.71,46
64,Bosnia and Herzegovina,Eastern Europe,20,20,190,12,9.5,23
65,Zimbabwe,Africa,18,17,77,19,4.28,24
66,Luxembourg,Western Europe,17,16,464,89,27.29,34
67,Lebanon,Middle East,16,16,181,16,11.31,37
68,Tunisia,Africa,16,16,174,43,10.88,28
69,Ghana,Africa,15,15,164,39,10.93,30
70,Macao,Asiatic Region,15,14,357,32,23.8,29
71,Morocco,Africa,14,14,150,12,10.71,16
72,Peru,Latin America,14,13,82,7,5.86,29
73,Oman,Middle East,13,13,163,20,12.54,23
74,Viet Nam,Asiatic Region,12,12,207,48,17.25,32
75,Tanzania,Africa,12,11,111,23,9.25,23
76,Algeria,Africa,11,11,43,12,3.91,18
77,Qatar,Middle East,10,10,338,46,33.8,21
78,Macedonia,Eastern Europe,9,9,5,1,0.56,9
79,Kuwait,Middle East,9,9,84,3,9.33,22
80,Uruguay,Latin America,7,7,56,12,8.0,20
81,Latvia,Eastern Europe,7,7,78,8,11.14,18
82,Ethiopia,Africa,7,7,80,7,11.43,18
83,Kazakhstan,Asiatic Region,7,7,8,2,1.14,19
84,Bulgaria,Eastern Europe,7,6,15,2,2.14,22
85,Cameroon,Africa,7,7,235,65,33.57,19
86,Iraq,Middle East,6,6,0,0,0.0,14
87,Georgia,Eastern Europe,6,6,39,0,6.5,17
88,Botswana,Africa,6,6,39,4,6.5,14
89,Ukraine,Eastern Europe,6,6,145,0,24.17,21
90,Uganda,Africa,6,6,70,15,11.67,21
91,Laos,Asiatic Region,5,5,184,43,36.8,9
92,Puerto Rico,Latin America,5,5,22,4,4.4,22
93,Azerbaijan,Eastern Europe,5,5,2,0,0.4,4
94,Ecuador,Latin America,5,5,102,5,20.4,21
95,Bolivia,Latin America,5,5,73,12,14.6,24
96,Brunei Darussalam,Asiatic Region,5,5,37,14,7.4,16
97,Costa Rica,Latin America,5,4,67,13,13.4,16
98,Jamaica,Latin America,4,4,40,0,10.0,14
99,Montenegro,Eastern Europe,4,4,39,0,9.75,6
100,Palestine,Middle East,4,4,66,0,16.5,16
101,Cuba,Latin America,4,4,35,5,8.75,20
102,Sudan,Africa,4,4,20,2,5.0,9
103,Malawi,Africa,3,3,3,2,1.0,17
104,Cambodia,Asiatic Region,2,2,2,0,1.0,13
105,Mauritius,Africa,2,2,21,5,10.5,9
106,Bahrain,Middle East,2,2,6,1,3.0,10
107,Niger,Africa,2,2,22,0,11.0,9
108,Swaziland,Africa,2,2,24,0,12.0,6
109,Guatemala,Latin America,2,2,20,1,10.0,17
110,Rwanda,Africa,2,2,73,8,36.5,8
111,Barbados,Latin America,2,2,1,0,0.5,9
112,Myanmar,Asiatic Region,2,2,8,1,4.0,7
113,Dominican Republic,Latin America,2,2,9,1,4.5,9
114,Malta,Western Europe,2,2,6,2,3.0,13
115,Dominica,Latin America,2,2,45,3,22.5,14
116,Belize,Latin America,2,2,12,3,6.0,4
117,Afghanistan,Asiatic Region,1,1,7,2,7.0,6
118,Guam,Pacific Region,1,1,41,0,41.0,8
119,Angola,Africa,1,1,8,1,8.0,5
120,Guyana,Latin America,1,1,0,0,0.0,4
121,Yemen,Middle East,1,1,19,1,19.0,10
122,Madagascar,Africa,1,1,5,1,5.0,10
123,Moldova,Eastern Europe,1,1,1,0,1.0,3
124,Bahamas,Latin America,1,1,1,0,1.0,4
125,Mongolia,Asiatic Region,1,1,38,20,38.0,14
126,Monaco,Western Europe,1,1,0,0,0.0,5
127,Libya,Africa,1,1,8,2,8.0,10
128,Eritrea,Africa,1,1,1,0,1.0,4
129,Namibia,Africa,1,1,25,7,25.0,12
130,New Caledonia,Pacific Region,1,1,39,7,39.0,8
131,Sri Lanka,Asiatic Region,1,1,4,0,4.0,16
132,Nepal,Asiatic Region,1,1,16,1,16.0,17
133,Panama,Latin America,1,1,4,3,4.0,16
134,French Guiana,Latin America,1,0,0,0,0.0,1
135,French Polynesia,Pacific Region,1,1,39,6,39.0,5
136,Papua New Guinea,Pacific Region,1,1,1,0,1.0,8
137,Cook Islands,Pacific Region,1,1,39,3,39.0,1
138,Paraguay,Latin America,1,1,1,0,1.0,3
139,Kyrgyzstan,Asiatic Region,1,1,1,0,1.0,8
140,Congo,Africa,1,1,1,0,1.0,7
141,Belarus,Eastern Europe,1,1,26,0,26.0,16
142,Armenia,Eastern Europe,1,1,2,0,2.0,8
143,Mali,Africa,1,1,5,1,5.0,5
144,Senegal,Africa,1,1,0,0,0.0,10
145,Syrian Arab Republic,Middle East,1,1,7,0,7.0,8
146,Greenland,Western Europe,1,1,0,0,0.0,8
147,Burkina Faso,Africa,1,1,13,1,13.0,7
148,Trinidad and Tobago,Latin America,1,1,43,5,43.0,20
149,Zambia,Africa,1,1,2,0,2.0,10
