Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United Kingdom,Western Europe,196,77,1076,281,5.49,46
2,United States,Northern America,121,99,961,365,7.94,44
3,Germany,Western Europe,30,28,58,8,1.93,21
4,Canada,Northern America,24,18,169,9,7.04,23
5,France,Western Europe,19,19,63,6,3.32,18
6,Italy,Western Europe,15,14,39,7,2.6,17
7,Austria,Western Europe,12,12,41,8,3.42,12
8,Greece,Western Europe,9,7,29,5,3.22,20
9,Norway,Western Europe,8,8,32,1,4.0,10
10,Spain,Western Europe,8,8,8,3,1.0,12
11,Netherlands,Western Europe,7,6,29,1,4.14,15
12,Australia,Pacific Region,5,3,20,3,4.0,17
13,Switzerland,Western Europe,4,4,5,2,1.25,10
14,New Zealand,Pacific Region,3,1,13,0,4.33,9
15,South Africa,Africa,2,2,15,0,7.5,8
16,Finland,Western Europe,2,1,4,0,2.0,6
17,Ireland,Western Europe,2,1,32,0,16.0,12
18,Israel,Middle East,2,1,17,0,8.5,14
19,Iceland,Western Europe,1,1,5,0,5.0,4
20,Hungary,Eastern Europe,1,1,14,1,14.0,8
21,Japan,Asiatic Region,1,0,0,0,0.0,5
22,South Korea,Asiatic Region,1,1,6,0,6.0,4
23,Luxembourg,Western Europe,1,1,0,0,0.0,0
24,Morocco,Africa,1,1,2,2,2.0,1
25,Denmark,Western Europe,1,1,20,1,20.0,10
26,Cyprus,Western Europe,1,0,0,0,0.0,9
27,Cuba,Latin America,1,1,0,0,0.0,0
28,Russian Federation,Eastern Europe,1,1,0,0,0.0,8
29,Sweden,Western Europe,1,1,6,1,6.0,8
30,Turkey,Middle East,1,1,0,0,0.0,7
31,Belgium,Western Europe,1,1,1,0,1.0,14
32,Argentina,Latin America,1,1,3,0,3.0,6
