Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,394,359,1221,403,3.1,55
2,Italy,Western Europe,322,307,2829,1349,8.79,74
3,United Kingdom,Western Europe,274,255,1322,360,4.82,57
4,Spain,Western Europe,171,166,952,337,5.57,39
5,China,Asiatic Region,125,124,1044,605,8.35,33
6,Portugal,Western Europe,97,90,474,131,4.89,39
7,Australia,Pacific Region,86,84,727,102,8.45,36
8,France,Western Europe,80,75,510,78,6.38,41
9,Romania,Eastern Europe,69,68,146,48,2.12,19
10,Germany,Western Europe,64,61,237,56,3.7,34
11,Russian Federation,Eastern Europe,63,62,83,38,1.32,14
12,Netherlands,Western Europe,54,52,217,44,4.02,35
13,Hungary,Eastern Europe,51,46,71,29,1.39,13
14,Poland,Eastern Europe,49,49,206,30,4.2,26
15,Belgium,Western Europe,48,45,237,55,4.94,28
16,India,Asiatic Region,48,47,304,166,6.33,28
17,Canada,Northern America,46,42,205,31,4.46,30
18,Chile,Latin America,44,34,48,9,1.09,11
19,Egypt,Africa/Middle East,39,39,141,76,3.62,22
20,Greece,Western Europe,37,36,211,62,5.7,38
21,Colombia,Latin America,32,32,72,42,2.25,10
22,Slovakia,Eastern Europe,31,31,26,14,0.84,13
23,Sweden,Western Europe,29,28,197,41,6.79,28
24,Japan,Asiatic Region,27,25,121,33,4.48,27
25,Turkey,Middle East,27,24,113,39,4.19,22
26,Iran,Middle East,27,27,165,51,6.11,25
27,Croatia,Eastern Europe,24,23,45,10,1.88,8
28,Czech Republic,Eastern Europe,23,21,106,23,4.61,20
29,Switzerland,Western Europe,21,19,118,18,5.62,25
30,Slovenia,Eastern Europe,20,19,80,49,4.0,18
31,Brazil,Latin America,20,19,53,4,2.65,18
32,Norway,Western Europe,20,19,135,28,6.75,22
33,Taiwan,Asiatic Region,19,19,59,18,3.11,12
34,Austria,Western Europe,18,17,67,12,3.72,21
35,Mexico,Latin America,18,17,124,13,6.89,16
36,South Korea,Asiatic Region,16,15,26,7,1.63,18
37,Denmark,Western Europe,16,16,70,16,4.38,23
38,South Africa,Africa,16,16,477,17,29.81,15
39,Israel,Middle East,14,14,26,5,1.86,12
40,Cyprus,Western Europe,13,13,103,21,7.92,12
41,Malaysia,Asiatic Region,13,13,67,15,5.15,13
42,New Zealand,Pacific Region,13,12,63,13,4.85,14
43,Argentina,Latin America,11,11,38,13,3.45,13
44,Jordan,Middle East,11,11,49,10,4.45,14
45,Finland,Western Europe,10,9,92,28,9.2,14
46,Serbia,Eastern Europe,8,8,20,2,2.5,9
47,Ecuador,Latin America,7,6,30,10,4.29,8
48,Peru,Latin America,7,7,18,2,2.57,8
49,Bulgaria,Eastern Europe,6,6,26,1,4.33,7
50,Indonesia,Asiatic Region,6,6,15,5,2.5,9
51,Malta,Western Europe,6,4,25,11,4.17,9
52,Qatar,Middle East,6,6,29,1,4.83,8
53,Ireland,Western Europe,6,6,70,9,11.67,13
54,Pakistan,Asiatic Region,5,5,10,3,2.0,7
55,Ukraine,Eastern Europe,5,5,20,11,4.0,11
56,Morocco,Africa,5,5,16,6,3.2,8
57,Algeria,Africa,5,5,21,3,4.2,10
58,United Arab Emirates,Middle East,5,5,23,2,4.6,8
59,Lebanon,Middle East,4,4,20,1,5.0,5
60,Thailand,Asiatic Region,4,4,7,4,1.75,7
61,Singapore,Asiatic Region,4,4,8,1,2.0,16
62,Saudi Arabia,Middle East,4,4,18,6,4.5,11
63,Hong Kong,Asiatic Region,4,4,17,3,4.25,14
64,Tanzania,Africa,4,4,18,13,4.5,4
65,Nigeria,Africa,4,4,5,3,1.25,6
66,Honduras,Latin America,3,3,0,0,0.0,0
67,Philippines,Asiatic Region,3,3,5,2,1.67,4
68,Zimbabwe,Africa,3,3,8,0,2.67,6
69,Lithuania,Eastern Europe,3,3,15,4,5.0,6
70,Kenya,Africa,3,3,18,0,6.0,7
71,Estonia,Eastern Europe,2,2,12,3,6.0,7
72,Armenia,Eastern Europe,2,2,1,0,0.5,1
73,Kuwait,Middle East,2,2,18,6,9.0,8
74,Tunisia,Africa,2,2,41,2,20.5,8
75,Oman,Middle East,1,1,2,1,2.0,4
76,Nepal,Asiatic Region,1,1,10,0,10.0,6
77,Namibia,Africa,1,1,7,3,7.0,4
78,Macao,Asiatic Region,1,1,2,1,2.0,2
79,Macedonia,Eastern Europe,1,1,1,0,1.0,3
80,Monaco,Western Europe,1,1,19,4,19.0,2
81,Latvia,Eastern Europe,1,1,1,0,1.0,2
82,Kazakhstan,Asiatic Region,1,1,3,3,3.0,2
83,San Marino,Western Europe,1,1,0,0,0.0,1
84,Suriname,Latin America,1,1,7,1,7.0,1
85,Iraq,Middle East,1,1,17,5,17.0,5
86,Azerbaijan,Eastern Europe,1,1,0,0,0.0,3
87,Greenland,Western Europe,1,1,11,2,11.0,3
88,Ethiopia,Africa,1,1,0,0,0.0,2
89,Bhutan,Asiatic Region,1,1,8,3,8.0,3
90,Bolivia,Latin America,1,1,13,0,13.0,2
91,Bahrain,Middle East,1,0,0,0,0.0,2
92,Uruguay,Latin America,1,1,10,4,10.0,4
93,Venezuela,Latin America,1,1,2,0,2.0,12
94,Viet Nam,Asiatic Region,1,1,1,1,1.0,6
95,Bangladesh,Asiatic Region,1,1,2,1,2.0,6
96,Palestine,Middle East,1,1,13,0,13.0,3
