Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2910,2369,155303,63432,53.37,1217
2,United Kingdom,Western Europe,1112,933,47249,8846,42.49,632
3,Germany,Western Europe,670,538,29683,5521,44.3,545
4,Russian Federation,Eastern Europe,627,617,6359,809,10.14,166
5,France,Western Europe,469,364,22815,2485,48.65,428
6,Italy,Western Europe,463,311,12299,1606,26.56,319
7,Canada,Northern America,446,360,23644,2792,53.01,454
8,Australia,Pacific Region,415,330,18928,3056,45.61,357
9,Spain,Western Europe,391,313,13407,1589,34.29,272
10,Netherlands,Western Europe,307,261,15841,1532,51.6,384
11,China,Asiatic Region,306,257,33228,16158,108.59,347
12,Switzerland,Western Europe,269,207,18464,1594,68.64,377
13,Brazil,Latin America,180,117,8963,751,49.79,176
14,Japan,Asiatic Region,156,132,16222,1838,103.99,410
15,Belgium,Western Europe,148,121,8400,576,56.76,206
16,Sweden,Western Europe,142,102,11396,974,80.25,283
17,Israel,Middle East,130,93,9130,546,70.23,238
18,Poland,Eastern Europe,122,108,4342,255,35.59,109
19,Denmark,Western Europe,115,92,8621,715,74.97,228
20,Argentina,Latin America,106,87,1161,132,10.95,101
21,Austria,Western Europe,103,81,6268,367,60.85,212
22,Colombia,Latin America,102,92,2240,678,21.96,60
23,Ireland,Western Europe,98,80,3993,218,40.74,126
24,New Zealand,Pacific Region,96,61,2753,265,28.68,147
25,India,Asiatic Region,90,50,5579,378,61.99,147
26,South Korea,Asiatic Region,84,78,8403,838,100.04,213
27,Finland,Western Europe,80,60,4491,344,56.14,167
28,Chile,Latin America,73,58,2066,218,28.3,91
29,Norway,Western Europe,71,65,5823,338,82.01,166
30,Mexico,Latin America,69,56,3649,170,52.88,123
31,South Africa,Africa,67,54,4554,319,67.97,158
32,Portugal,Western Europe,63,48,3752,202,59.56,119
33,Hong Kong,Asiatic Region,63,58,5392,274,85.59,123
34,Czech Republic,Eastern Europe,50,48,3464,124,69.28,91
35,Ukraine,Eastern Europe,48,47,98,67,2.04,29
36,Singapore,Asiatic Region,48,46,3957,247,82.44,153
37,Croatia,Eastern Europe,43,32,2138,71,49.72,36
38,Taiwan,Asiatic Region,42,36,1384,67,32.95,136
39,Romania,Eastern Europe,38,35,449,165,11.82,39
40,Slovakia,Eastern Europe,30,29,372,68,12.4,41
41,Kazakhstan,Asiatic Region,30,30,448,66,14.93,11
42,Turkey,Middle East,29,26,561,47,19.34,72
43,Iran,Middle East,29,26,928,57,32.0,40
44,Hungary,Eastern Europe,24,20,2877,101,119.88,97
45,Greece,Western Europe,24,22,1276,48,53.17,98
46,Slovenia,Eastern Europe,18,16,1248,40,69.33,39
47,Thailand,Asiatic Region,18,16,1694,74,94.11,66
48,Saudi Arabia,Middle East,15,14,4512,177,300.8,88
49,Malaysia,Asiatic Region,15,13,262,18,17.47,38
50,Venezuela,Latin America,15,11,30,10,2.0,40
51,Kenya,Africa,14,13,1318,98,94.14,84
52,Estonia,Eastern Europe,14,14,1617,58,115.5,54
53,Cyprus,Western Europe,13,13,321,21,24.69,31
54,Peru,Latin America,13,12,1282,22,98.62,46
55,Iceland,Western Europe,12,12,2575,52,214.58,55
56,Pakistan,Asiatic Region,9,8,526,16,58.44,36
57,Serbia,Eastern Europe,9,9,46,4,5.11,21
58,Ghana,Africa,9,9,185,23,20.56,37
59,Ecuador,Latin America,8,7,19,3,2.38,31
60,Philippines,Asiatic Region,8,8,1158,11,144.75,35
61,Indonesia,Asiatic Region,8,8,697,73,87.13,50
62,Panama,Latin America,8,7,434,20,54.25,60
63,Bulgaria,Eastern Europe,8,8,1972,19,246.5,28
64,Viet Nam,Asiatic Region,6,6,585,32,97.5,37
65,Uganda,Africa,6,5,135,14,22.5,41
66,Malawi,Africa,6,6,128,18,21.33,24
