Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4950,4619,48923,21673,9.88,232
2,United Kingdom,Western Europe,2675,2503,29152,10363,10.9,170
3,France,Western Europe,1067,1029,6090,1552,5.71,101
4,Australia,Pacific Region,808,751,7369,2626,9.12,96
5,Germany,Western Europe,795,745,6059,1419,7.62,100
6,Canada,Northern America,670,610,7548,1392,11.27,106
7,Italy,Western Europe,613,559,5328,1786,8.69,85
8,Spain,Western Europe,504,477,4865,1926,9.65,83
9,Netherlands,Western Europe,469,437,3929,824,8.38,97
10,Russian Federation,Eastern Europe,377,364,877,370,2.33,47
11,Israel,Middle East,324,312,3182,884,9.82,78
12,Romania,Eastern Europe,306,300,169,67,0.55,27
13,Belgium,Western Europe,297,285,2142,497,7.21,67
14,Brazil,Latin America,201,195,1017,409,5.06,39
15,South Africa,Africa,176,168,2511,954,14.27,76
16,Greece,Western Europe,163,139,1290,287,7.91,58
17,Switzerland,Western Europe,163,153,1215,178,7.45,56
18,Sweden,Western Europe,140,126,1708,328,12.2,68
19,Turkey,Middle East,130,128,1933,565,14.87,50
20,China,Asiatic Region,127,124,1298,428,10.22,55
21,Hungary,Eastern Europe,123,121,396,66,3.22,29
22,Ireland,Western Europe,122,119,857,153,7.02,47
23,New Zealand,Pacific Region,122,112,1248,351,10.23,51
24,Argentina,Latin America,117,117,655,295,5.6,40
25,Japan,Asiatic Region,116,113,799,194,6.89,40
26,Slovenia,Eastern Europe,110,110,329,178,2.99,22
27,India,Asiatic Region,101,98,587,193,5.81,41
28,Denmark,Western Europe,92,88,1100,203,11.96,54
29,Finland,Western Europe,89,83,1029,213,11.56,53
30,Czech Republic,Eastern Europe,89,86,263,102,2.96,33
31,Colombia,Latin America,88,85,183,90,2.08,21
32,Mexico,Latin America,86,82,461,131,5.36,34
33,Austria,Western Europe,85,83,625,94,7.35,49
34,Norway,Western Europe,83,82,827,156,9.96,61
35,South Korea,Asiatic Region,81,81,505,144,6.23,29
36,Chile,Latin America,61,59,433,267,7.1,32
37,Poland,Eastern Europe,60,57,353,56,5.88,35
38,Croatia,Eastern Europe,56,55,183,83,3.27,19
39,Singapore,Asiatic Region,48,47,626,120,13.04,42
40,Hong Kong,Asiatic Region,44,40,467,98,10.61,42
41,Portugal,Western Europe,43,40,602,196,14.0,48
42,Taiwan,Asiatic Region,42,40,143,22,3.4,26
43,Iran,Middle East,31,30,254,114,8.19,23
44,Egypt,Africa/Middle East,27,27,245,83,9.07,23
45,Lebanon,Middle East,22,22,147,25,6.68,20
