Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,78516,69880,215744,97314,2.75,109
2,United Kingdom,Western Europe,31646,24700,81389,25040,2.57,75
3,Spain,Western Europe,15538,14875,18878,8768,1.21,34
4,Germany,Western Europe,12061,11142,17140,3678,1.42,41
5,France,Western Europe,11573,10778,12702,2048,1.1,35
6,Canada,Northern America,9948,8608,24177,3999,2.43,47
7,Italy,Western Europe,8746,8170,7861,2203,0.9,28
8,Australia,Pacific Region,7572,6282,21814,6549,2.88,41
9,Russian Federation,Eastern Europe,7308,7226,5500,3831,0.75,17
10,China,Asiatic Region,6944,6709,6148,2919,0.89,25
11,Poland,Eastern Europe,6612,6421,3111,1289,0.47,16
12,South Africa,Africa,4075,3637,8174,3583,2.01,25
13,Brazil,Latin America,3957,3734,2754,891,0.7,20
14,Belgium,Western Europe,3682,3437,8354,1882,2.27,29
15,Netherlands,Western Europe,3155,2868,13070,2221,4.14,45
16,Romania,Eastern Europe,3014,2943,1411,783,0.47,13
17,Israel,Middle East,2964,2810,9254,2021,3.12,31
18,Chile,Latin America,2941,2825,4222,2308,1.44,21
19,Switzerland,Western Europe,2132,1935,3324,480,1.56,22
20,Argentina,Latin America,2013,1928,2193,588,1.09,16
21,Ireland,Western Europe,1988,1671,4224,748,2.12,22
22,Slovenia,Eastern Europe,1894,1833,2245,1295,1.19,12
23,India,Asiatic Region,1814,1681,2021,611,1.11,14
24,Czech Republic,Eastern Europe,1770,1672,1038,407,0.59,12
25,Malaysia,Asiatic Region,1545,1479,4580,2456,2.96,20
26,Sweden,Western Europe,1482,1317,4742,938,3.2,28
27,South Korea,Asiatic Region,1479,1425,1852,440,1.25,15
28,Austria,Western Europe,1443,1282,2536,356,1.76,21
29,New Zealand,Pacific Region,1392,1143,2980,528,2.14,20
30,Japan,Asiatic Region,1384,1236,2815,504,2.03,21
31,Iran,Middle East,1371,1353,2282,794,1.66,18
32,Mexico,Latin America,1342,1282,1813,334,1.35,18
33,Turkey,Middle East,1200,1140,1416,330,1.18,14
34,Denmark,Western Europe,1195,1074,4757,777,3.98,30
35,Portugal,Western Europe,1158,1080,1147,332,0.99,13
36,Norway,Western Europe,1156,1079,3542,752,3.06,24
37,Hungary,Eastern Europe,1109,1045,1257,325,1.13,12
38,Croatia,Eastern Europe,1041,1015,680,386,0.65,9
39,Colombia,Latin America,946,884,818,272,0.86,10
40,Taiwan,Asiatic Region,939,881,1213,210,1.29,13
41,Finland,Western Europe,934,829,4079,780,4.37,30
42,Slovakia,Eastern Europe,805,775,358,179,0.44,5
43,Hong Kong,Asiatic Region,803,719,2460,372,3.06,20
44,Estonia,Eastern Europe,732,704,1302,584,1.78,14
45,Ukraine,Eastern Europe,715,691,491,256,0.69,10
46,Greece,Western Europe,650,581,1233,230,1.9,14
47,Nigeria,Africa,602,552,674,278,1.12,9
48,Indonesia,Asiatic Region,581,576,972,516,1.67,11
49,Bulgaria,Eastern Europe,563,550,186,43,0.33,5
50,Singapore,Asiatic Region,547,484,1403,228,2.56,15
51,Jordan,Middle East,493,490,525,220,1.06,8
52,Serbia,Eastern Europe,488,484,232,42,0.48,7
53,Philippines,Asiatic Region,483,398,485,212,1.0,9
54,Peru,Latin America,437,424,264,134,0.6,6
55,Thailand,Asiatic Region,433,426,839,242,1.94,12
56,Saudi Arabia,Middle East,409,407,516,155,1.26,10
57,Lithuania,Eastern Europe,401,386,325,121,0.81,8
58,Kazakhstan,Asiatic Region,299,296,316,122,1.06,7
59,United Arab Emirates,Middle East,250,238,371,58,1.48,9
60,Egypt,Africa/Middle East,243,234,386,56,1.59,10
61,Cyprus,Western Europe,220,204,336,49,1.53,8
62,Latvia,Eastern Europe,159,152,124,38,0.78,6
63,Georgia,Eastern Europe,158,148,107,21,0.68,5
64,Lebanon,Middle East,154,144,253,25,1.64,8
65,Zimbabwe,Africa,154,140,279,58,1.81,7
66,Iceland,Western Europe,148,136,361,57,2.44,9
67,Pakistan,Asiatic Region,145,138,194,48,1.34,7
68,Morocco,Africa,142,134,115,24,0.81,6
69,Kenya,Africa,133,119,205,25,1.54,7
70,Algeria,Africa,132,128,53,6,0.4,3
71,Malta,Western Europe,119,110,227,55,1.91,8
72,Viet Nam,Asiatic Region,118,114,171,48,1.45,8
73,Venezuela,Latin America,118,113,170,16,1.44,7
74,Montenegro,Eastern Europe,116,114,27,4,0.23,3
75,Tunisia,Africa,114,111,113,17,0.99,5
76,Bangladesh,Asiatic Region,112,107,226,43,2.02,7
77,Macao,Asiatic Region,108,103,175,28,1.62,6
78,Cuba,Latin America,106,80,57,16,0.54,4
79,Ecuador,Latin America,105,104,151,48,1.44,8
80,Bosnia and Herzegovina,Eastern Europe,97,96,13,1,0.13,2
81,Uruguay,Latin America,96,93,92,12,0.96,4
82,Puerto Rico,Latin America,95,67,92,5,0.97,6
83,Iraq,Middle East,93,89,69,19,0.74,5
84,Kuwait,Middle East,90,87,148,18,1.64,5
85,Ghana,Africa,89,84,148,47,1.66,6
86,Qatar,Middle East,84,80,195,25,2.32,7
87,Oman,Middle East,84,84,122,15,1.45,5
88,Macedonia,Eastern Europe,74,74,16,5,0.22,2
89,Moldova,Eastern Europe,73,72,73,19,1.0,4
90,Palestine,Middle East,71,56,69,17,0.97,4
91,Uganda,Africa,68,57,137,20,2.01,5
92,Armenia,Eastern Europe,67,66,79,32,1.18,6
93,Belarus,Eastern Europe,64,63,26,4,0.41,2
94,Costa Rica,Latin America,59,58,60,8,1.02,4
95,Cameroon,Africa,57,54,47,10,0.82,3
96,Sri Lanka,Asiatic Region,51,47,46,8,0.9,4
97,Ethiopia,Africa,47,44,75,19,1.6,5
98,Luxembourg,Western Europe,43,41,33,2,0.77,3
99,Tanzania,Africa,38,34,33,10,0.87,3
100,Botswana,Africa,37,37,74,20,2.0,5
101,Malawi,Africa,36,35,42,13,1.17,4
102,Albania,Eastern Europe,33,33,2,1,0.06,1
103,Jamaica,Latin America,33,31,59,6,1.79,5
104,Trinidad and Tobago,Latin America,31,23,62,3,2.0,5
105,Azerbaijan,Eastern Europe,27,26,10,2,0.37,2
106,Yemen,Middle East,27,26,150,11,5.56,8
107,El Salvador,Latin America,26,26,32,0,1.23,4
108,Uzbekistan,Asiatic Region,26,25,43,11,1.65,3
109,Senegal,Africa,26,21,27,2,1.04,3
110,Swaziland,Africa,25,23,24,1,0.96,3
111,Brunei Darussalam,Asiatic Region,24,23,68,41,2.83,5
112,Côte d’Ivoire,Africa,22,19,9,2,0.41,1
113,Bahrain,Middle East,19,19,37,9,1.95,4
114,Lesotho,Africa,17,17,40,2,2.35,4
115,Mongolia,Asiatic Region,17,17,5,3,0.29,1
116,Namibia,Africa,16,15,16,1,1.0,2
117,Fiji,Pacific Region,16,14,35,1,2.19,3
118,Mozambique,Africa,15,12,26,2,1.73,4
119,Kyrgyzstan,Asiatic Region,14,14,6,1,0.43,1
120,Barbados,Latin America,13,11,19,0,1.46,3
121,Bolivia,Latin America,13,13,229,3,17.62,2
122,Burundi,Africa,12,11,5,2,0.42,2
123,New Caledonia,Pacific Region,12,3,1,0,0.08,1
124,Rwanda,Africa,11,8,4,2,0.36,1
125,Syrian Arab Republic,Middle East,10,10,26,0,2.6,3
126,Sudan,Africa,10,10,28,1,2.8,3
127,Nepal,Asiatic Region,9,7,4,0,0.44,1
128,Benin,Africa,9,9,13,0,1.44,2
129,Nicaragua,Latin America,9,8,1,0,0.11,1
130,Democratic Republic Congo,Africa,9,9,2,0,0.22,1
131,Gabon,Africa,8,7,5,0,0.63,1
132,Bahamas,Latin America,8,6,2,0,0.25,1
133,Guam,Pacific Region,8,7,17,0,2.13,3
134,Dominican Republic,Latin America,8,6,9,0,1.13,2
135,San Marino,Western Europe,8,8,3,0,0.38,1
136,Cambodia,Asiatic Region,8,7,11,0,1.38,2
137,Mauritius,Africa,7,6,7,2,1.0,2
138,Mali,Africa,7,7,33,4,4.71,2
139,Afghanistan,Asiatic Region,7,5,19,0,2.71,1
140,Zambia,Africa,7,6,10,0,1.43,2
141,Panama,Latin America,6,6,4,4,0.67,1
142,Myanmar,Asiatic Region,6,6,3,0,0.5,1
143,Congo,Africa,6,4,4,0,0.67,1
144,Libya,Africa,5,4,17,0,3.4,2
145,French Polynesia,Pacific Region,5,4,1,1,0.2,1
146,Tajikistan,Asiatic Region,5,4,4,3,0.8,1
147,Bhutan,Asiatic Region,4,4,9,0,2.25,2
148,Sierra Leone,Africa,4,4,3,0,0.75,1
149,Guadeloupe,Latin America,4,4,1,0,0.25,1
150,Reunion,Africa,4,4,0,0,0.0,0
151,Haïti,Latin America,3,3,2,1,0.67,1
152,Guatemala,Latin America,3,3,2,0,0.67,1
153,Gambia,Africa,3,2,4,0,1.33,1
154,North Korea,Asiatic Region,3,3,0,0,0.0,0
155,Gibraltar,Western Europe,3,3,1,0,0.33,1
156,Martinique,Latin America,3,2,0,0,0.0,0
157,Niger,Africa,3,3,0,0,0.0,0
158,Papua New Guinea,Pacific Region,3,3,2,1,0.67,1
159,Paraguay,Latin America,3,2,8,2,2.67,2
160,Bermuda,Latin America,3,2,2,0,0.67,1
161,Togo,Africa,3,2,0,0,0.0,0
162,Burkina Faso,Africa,3,3,0,0,0.0,0
163,Angola,Africa,3,3,0,0,0.0,0
164,Eritrea,Africa,2,2,3,0,1.5,1
165,Honduras,Latin America,2,2,1,0,0.5,1
166,Dominica,Latin America,2,2,1,0,0.5,1
167,Vanuatu,Pacific Region,2,1,6,0,3.0,1
168,Guinea-Bissau,Africa,2,2,0,0,0.0,0
169,Faroe Islands,Western Europe,2,2,0,0,0.0,0
170,Maldives,Asiatic Region,2,2,1,0,0.5,1
171,Madagascar,Africa,2,2,9,0,4.5,1
172,Central African Republic,Africa,2,2,1,0,0.5,1
173,Tuvalu,Pacific Region,1,1,0,0,0.0,0
174,Grenada,Latin America,1,1,4,0,4.0,1
175,American Samoa,Pacific Region,1,1,0,0,0.0,0
176,Liberia,Africa,1,1,3,0,3.0,1
177,Liechtenstein,Western Europe,1,1,0,0,0.0,0
178,French Guiana,Latin America,1,1,0,0,0.0,0
179,Vatican City State,Western Europe,1,1,0,0,0.0,0
180,Laos,Asiatic Region,1,1,1,0,1.0,1
181,Virgin Islands (British),Latin America,1,1,8,0,8.0,1
182,Virgin Islands (U.S.),Latin America,1,0,0,0,0.0,0
183,Comoros,Africa,1,0,0,0,0.0,0
184,Mayotte,Africa,1,1,0,0,0.0,0
185,Solomon Islands,Pacific Region,1,0,0,0,0.0,0
186,Palau,Pacific Region,1,1,0,0,0.0,0
187,Bouvet Island,Western Europe,1,1,1,0,1.0,1
188,Somalia,Africa,1,0,0,0,0.0,0
189,Republic of South Sudan,Africa,1,1,0,0,0.0,0
190,Norfolk Island,Pacific Region,1,0,0,0,0.0,0
191,Antigua and Barbuda,Latin America,1,1,0,0,0.0,0
192,Guyana,Latin America,1,1,0,0,0.0,0
193,Mauritania,Africa,1,1,2,0,2.0,1
194,Tonga,Pacific Region,1,1,0,0,0.0,0
195,Monaco,Western Europe,1,1,3,0,3.0,1
