Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1594,1476,7932,3766,4.98,109
2,United Kingdom,Western Europe,565,506,3348,993,5.93,75
3,China,Asiatic Region,503,503,1560,761,3.1,25
4,Germany,Western Europe,327,315,652,97,1.99,41
5,Canada,Northern America,217,206,1385,191,6.38,47
6,France,Western Europe,202,198,552,76,2.73,35
7,Australia,Pacific Region,134,92,603,149,4.5,41
8,Spain,Western Europe,117,113,366,146,3.13,34
9,South Africa,Africa,111,106,331,166,2.98,25
10,Japan,Asiatic Region,103,99,554,155,5.38,21
11,Netherlands,Western Europe,98,97,406,86,4.14,45
12,Israel,Middle East,89,89,374,67,4.2,31
13,Italy,Western Europe,68,66,223,40,3.28,28
14,Belgium,Western Europe,52,52,166,45,3.19,29
15,Chile,Latin America,50,49,193,143,3.86,21
16,Hungary,Eastern Europe,43,43,99,41,2.3,12
17,Austria,Western Europe,36,36,263,29,7.31,21
18,South Korea,Asiatic Region,33,32,183,22,5.55,15
19,Hong Kong,Asiatic Region,33,33,175,23,5.3,20
20,Brazil,Latin America,32,32,58,4,1.81,20
21,India,Asiatic Region,28,25,126,20,4.5,14
22,Switzerland,Western Europe,26,26,128,14,4.92,22
23,Taiwan,Asiatic Region,25,23,90,13,3.6,13
24,Ireland,Western Europe,23,22,226,18,9.83,22
25,Czech Republic,Eastern Europe,22,21,37,13,1.68,12
26,Norway,Western Europe,21,20,215,20,10.24,24
27,Slovenia,Eastern Europe,21,21,43,35,2.05,12
28,Denmark,Western Europe,20,19,84,10,4.2,30
29,Poland,Eastern Europe,18,18,65,27,3.61,16
30,New Zealand,Pacific Region,18,18,55,20,3.06,20
31,Greece,Western Europe,16,15,17,3,1.06,14
32,Iran,Middle East,16,16,110,65,6.88,18
33,Sweden,Western Europe,16,12,69,10,4.31,28
34,Turkey,Middle East,14,13,11,3,0.79,14
35,Portugal,Western Europe,14,14,25,8,1.79,13
36,Finland,Western Europe,13,13,154,26,11.85,30
37,Argentina,Latin America,11,11,56,17,5.09,16
38,Singapore,Asiatic Region,10,9,144,6,14.4,15
39,Mexico,Latin America,8,8,35,7,4.38,18
40,Thailand,Asiatic Region,7,7,51,4,7.29,12
41,Estonia,Eastern Europe,6,6,62,18,10.33,14
42,Egypt,Africa/Middle East,5,5,16,0,3.2,10
43,Croatia,Eastern Europe,5,5,35,20,7.0,9
44,Jordan,Middle East,5,5,25,3,5.0,8
45,Romania,Eastern Europe,4,4,24,9,6.0,13
46,Macao,Asiatic Region,4,4,6,1,1.5,6
47,Russian Federation,Eastern Europe,4,4,11,10,2.75,17
48,Lebanon,Middle East,4,4,5,1,1.25,8
49,Cyprus,Western Europe,3,3,3,2,1.0,8
50,Puerto Rico,Latin America,3,3,8,1,2.67,6
51,Bulgaria,Eastern Europe,3,3,19,3,6.33,5
52,Nigeria,Africa,3,3,7,1,2.33,9
53,Slovakia,Eastern Europe,3,3,15,2,5.0,5
54,Zimbabwe,Africa,2,2,5,0,2.5,7
55,Armenia,Eastern Europe,2,2,8,5,4.0,6
56,Bangladesh,Asiatic Region,2,2,19,0,9.5,7
57,Gabon,Africa,2,2,4,0,2.0,1
58,Oman,Middle East,2,2,20,0,10.0,5
59,Serbia,Eastern Europe,2,2,20,4,10.0,7
60,Saudi Arabia,Middle East,2,2,3,1,1.5,10
61,Tunisia,Africa,2,2,6,0,3.0,5
62,Venezuela,Latin America,2,2,3,1,1.5,7
63,Lithuania,Eastern Europe,1,1,5,0,5.0,8
64,Lesotho,Africa,1,1,3,1,3.0,4
65,Sri Lanka,Asiatic Region,1,1,1,0,1.0,4
66,Barbados,Latin America,1,1,1,0,1.0,3
67,Cambodia,Asiatic Region,1,1,0,0,0.0,2
68,United Arab Emirates,Middle East,1,1,9,2,9.0,9
69,Jamaica,Latin America,1,1,2,0,2.0,5
70,Iceland,Western Europe,1,0,0,0,0.0,9
71,Indonesia,Asiatic Region,1,1,0,0,0.0,11
72,Gibraltar,Western Europe,1,1,0,0,0.0,1
73,Swaziland,Africa,1,1,0,0,0.0,3
74,Ghana,Africa,1,1,0,0,0.0,6
75,Angola,Africa,1,1,0,0,0.0,0
76,Georgia,Eastern Europe,1,1,0,0,0.0,5
77,Algeria,Africa,1,1,18,3,18.0,3
78,Ukraine,Eastern Europe,1,1,11,2,11.0,10
79,Malaysia,Asiatic Region,1,1,6,0,6.0,20
80,Nepal,Asiatic Region,1,1,2,0,2.0,1
81,Mongolia,Asiatic Region,1,1,0,0,0.0,1
82,Uganda,Africa,1,1,0,0,0.0,5
83,Morocco,Africa,1,1,1,0,1.0,6
