Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,81,78,2154,1416,26.59,93
2,Spain,Western Europe,16,16,0,0,0.0,17
3,United Kingdom,Western Europe,13,13,356,98,27.38,47
4,Canada,Northern America,7,7,235,66,33.57,33
5,France,Western Europe,7,7,4,0,0.57,19
6,Slovenia,Eastern Europe,7,7,5,3,0.71,8
7,Italy,Western Europe,3,3,2,0,0.67,17
8,Switzerland,Western Europe,3,3,2,1,0.67,12
9,Brazil,Latin America,2,2,10,1,5.0,21
10,Netherlands,Western Europe,2,2,4,1,2.0,16
11,Germany,Western Europe,2,2,21,0,10.5,18
12,Australia,Pacific Region,2,2,7,0,3.5,39
13,Venezuela,Latin America,1,1,3,0,3.0,4
14,Argentina,Latin America,1,1,12,0,12.0,18
15,South Africa,Africa,1,1,109,13,109.0,15
16,Austria,Western Europe,1,1,1,0,1.0,9
17,Benin,Africa,1,1,1,0,1.0,1
18,Czech Republic,Eastern Europe,1,1,3,0,3.0,7
19,Ireland,Western Europe,1,1,7,2,7.0,8
20,Jamaica,Latin America,1,1,7,0,7.0,3
21,Mexico,Latin America,1,1,0,0,0.0,9
22,New Zealand,Pacific Region,1,1,0,0,0.0,15
23,French Polynesia,Pacific Region,1,1,0,0,0.0,0
24,Portugal,Western Europe,1,1,0,0,0.0,11
25,Sweden,Western Europe,1,1,0,0,0.0,13
26,Turkey,Middle East,1,1,3,0,3.0,9
