Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,203,194,6948,1981,34.23,180
2,United Kingdom,Western Europe,47,44,613,191,13.04,89
3,Italy,Western Europe,24,24,221,56,9.21,51
4,Spain,Western Europe,23,22,175,32,7.61,48
5,Ukraine,Eastern Europe,23,23,26,9,1.13,4
6,Germany,Western Europe,23,22,748,180,32.52,79
7,Canada,Northern America,22,22,167,23,7.59,73
8,France,Western Europe,22,22,1458,240,66.27,63
9,Australia,Pacific Region,21,21,419,50,19.95,61
10,Finland,Western Europe,12,12,369,62,30.75,60
11,Greece,Western Europe,11,11,1234,25,112.18,30
12,Japan,Asiatic Region,11,11,107,19,9.73,50
13,Ireland,Western Europe,10,10,24,2,2.4,23
14,South Africa,Africa,8,8,15,0,1.88,16
15,Poland,Eastern Europe,7,7,78,50,11.14,17
16,Austria,Western Europe,7,7,116,5,16.57,46
17,Hungary,Eastern Europe,7,7,3,0,0.43,12
18,Sweden,Western Europe,7,7,1220,19,174.29,52
19,Switzerland,Western Europe,6,6,1230,46,205.0,49
20,Belarus,Eastern Europe,6,6,1,1,0.17,1
21,Russian Federation,Eastern Europe,6,6,3,0,0.5,8
22,Norway,Western Europe,5,4,37,1,7.4,24
23,New Zealand,Pacific Region,4,4,47,5,11.75,25
24,Hong Kong,Asiatic Region,4,4,32,12,8.0,26
25,China,Asiatic Region,4,3,15,10,3.75,55
26,Denmark,Western Europe,4,4,105,14,26.25,33
27,Netherlands,Western Europe,4,4,127,7,31.75,47
28,Bulgaria,Eastern Europe,3,3,2,0,0.67,4
29,Belgium,Western Europe,3,3,75,5,25.0,32
30,Czech Republic,Eastern Europe,3,3,3,1,1.0,9
31,India,Asiatic Region,3,3,2,0,0.67,20
32,South Korea,Asiatic Region,2,2,6,2,3.0,30
33,Serbia,Eastern Europe,2,2,1,0,0.5,7
34,Slovenia,Eastern Europe,2,2,0,0,0.0,13
35,Georgia,Eastern Europe,1,1,14,0,14.0,5
36,Croatia,Eastern Europe,1,1,2,0,2.0,7
37,Israel,Middle East,1,1,4,0,4.0,36
38,Latvia,Eastern Europe,1,1,3,1,3.0,4
39,Mexico,Latin America,1,1,23,0,23.0,11
40,Argentina,Latin America,1,1,2,0,2.0,8
41,Romania,Eastern Europe,1,1,0,0,0.0,9
42,Singapore,Asiatic Region,1,1,7,0,7.0,27
43,Turkey,Middle East,1,1,18,0,18.0,22
44,Estonia,Eastern Europe,1,1,1,1,1.0,6
45,Ghana,Africa,1,1,3,0,3.0,5
