Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4228,3701,35211,16148,8.33,211
2,United Kingdom,Western Europe,1591,1432,15141,4532,9.52,146
3,Germany,Western Europe,959,797,5462,1452,5.7,102
4,Spain,Western Europe,719,683,2410,799,3.35,59
5,Canada,Northern America,637,584,5270,937,8.27,87
6,Italy,Western Europe,599,549,2651,724,4.43,73
7,France,Western Europe,553,493,2603,629,4.71,80
8,Australia,Pacific Region,511,459,4980,1142,9.75,92
9,Netherlands,Western Europe,465,375,5082,1047,10.93,104
10,Belgium,Western Europe,320,265,1699,273,5.31,58
11,Sweden,Western Europe,230,187,2139,511,9.3,72
12,Poland,Eastern Europe,208,190,851,407,4.09,34
13,Brazil,Latin America,204,177,450,152,2.21,33
14,Switzerland,Western Europe,202,173,1777,359,8.8,61
15,Israel,Middle East,197,133,1236,198,6.27,55
16,Russian Federation,Eastern Europe,196,191,350,209,1.79,29
17,Finland,Western Europe,171,114,1186,257,6.94,62
18,Argentina,Latin America,168,162,285,127,1.7,23
19,Denmark,Western Europe,160,128,1461,295,9.13,56
20,Czech Republic,Eastern Europe,134,120,398,137,2.97,33
21,South Africa,Africa,130,122,649,227,4.99,42
22,Croatia,Eastern Europe,122,116,181,77,1.48,16
23,Austria,Western Europe,119,104,1063,162,8.93,45
24,Norway,Western Europe,115,110,998,200,8.68,56
25,China,Asiatic Region,115,103,386,147,3.36,40
26,New Zealand,Pacific Region,111,105,1128,111,10.16,54
27,Japan,Asiatic Region,111,81,649,143,5.85,47
28,India,Asiatic Region,111,107,410,175,3.69,29
29,Slovakia,Eastern Europe,99,96,257,160,2.6,25
30,Chile,Latin America,97,93,103,49,1.06,23
31,Romania,Eastern Europe,95,88,382,119,4.02,27
32,Portugal,Western Europe,93,80,636,134,6.84,34
33,Mexico,Latin America,91,85,203,46,2.23,25
34,Ireland,Western Europe,79,68,562,76,7.11,44
35,South Korea,Asiatic Region,73,70,417,109,5.71,31
36,Lithuania,Eastern Europe,72,66,146,131,2.03,16
37,Hong Kong,Asiatic Region,67,60,531,92,7.93,36
38,Nigeria,Africa,62,62,267,127,4.31,24
39,Colombia,Latin America,62,61,76,18,1.23,24
