Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2096,1950,12707,7007,6.06,115
2,United Kingdom,Western Europe,624,575,2854,979,4.57,55
3,Germany,Western Europe,227,210,846,181,3.73,57
4,Canada,Northern America,216,193,1046,199,4.84,45
5,Israel,Middle East,211,193,935,269,4.43,31
6,France,Western Europe,205,189,470,105,2.29,38
7,Netherlands,Western Europe,160,138,716,176,4.48,40
8,South Africa,Africa,153,143,433,221,2.83,26
9,Australia,Pacific Region,153,145,878,179,5.74,40
10,Italy,Western Europe,129,118,265,62,2.05,27
11,Belgium,Western Europe,90,86,438,85,4.87,28
12,Spain,Western Europe,87,86,346,116,3.98,26
13,Switzerland,Western Europe,62,51,156,15,2.52,24
14,Poland,Eastern Europe,58,56,165,86,2.84,22
15,Slovakia,Eastern Europe,58,57,66,56,1.14,20
16,Romania,Eastern Europe,53,53,261,120,4.92,14
17,Czech Republic,Eastern Europe,53,51,98,66,1.85,19
18,Denmark,Western Europe,50,38,277,69,5.54,28
19,India,Asiatic Region,38,34,99,28,2.61,20
20,Chile,Latin America,35,35,55,28,1.57,10
21,China,Asiatic Region,35,35,102,32,2.91,27
22,Norway,Western Europe,31,27,165,41,5.32,25
23,Sweden,Western Europe,28,26,232,49,8.29,28
24,Finland,Western Europe,27,18,125,19,4.63,21
25,New Zealand,Pacific Region,27,26,121,16,4.48,25
26,Austria,Western Europe,25,24,83,3,3.32,24
27,Ireland,Western Europe,23,21,37,11,1.61,18
28,Slovenia,Eastern Europe,20,17,64,18,3.2,14
29,Brazil,Latin America,19,18,71,15,3.74,19
30,Japan,Asiatic Region,17,17,109,30,6.41,25
31,Argentina,Latin America,16,16,56,18,3.5,13
32,Taiwan,Asiatic Region,15,15,64,9,4.27,15
33,South Korea,Asiatic Region,14,14,69,10,4.93,18
34,Hungary,Eastern Europe,12,11,21,6,1.75,9
35,Turkey,Middle East,12,12,38,18,3.17,21
36,Hong Kong,Asiatic Region,12,12,67,17,5.58,17
37,Russian Federation,Eastern Europe,12,12,14,1,1.17,17
38,Indonesia,Asiatic Region,11,11,92,40,8.36,18
39,Croatia,Eastern Europe,10,10,55,32,5.5,11
40,Singapore,Asiatic Region,9,9,79,26,8.78,21
41,Iran,Middle East,9,8,64,14,7.11,23
42,Cyprus,Western Europe,8,8,34,13,4.25,10
43,Greece,Western Europe,8,8,27,5,3.38,13
44,United Arab Emirates,Middle East,6,5,19,2,3.17,14
45,Lebanon,Middle East,6,6,24,3,4.0,9
46,Malaysia,Asiatic Region,6,6,28,15,4.67,21
47,Mexico,Latin America,6,5,85,22,14.17,18
48,Lithuania,Eastern Europe,6,6,4,0,0.67,7
49,Egypt,Africa/Middle East,5,4,18,2,3.6,12
50,Ghana,Africa,5,5,29,15,5.8,13
51,Portugal,Western Europe,5,5,8,4,1.6,15
52,Kenya,Africa,5,5,8,1,1.6,9
53,Serbia,Eastern Europe,5,5,23,2,4.6,8
54,Peru,Latin America,4,3,15,2,3.75,5
55,Bulgaria,Eastern Europe,4,4,9,0,2.25,5
56,Jordan,Middle East,3,2,7,3,2.33,9
57,Pakistan,Asiatic Region,3,3,19,5,6.33,15
58,Iceland,Western Europe,3,3,14,0,4.67,7
59,Nigeria,Africa,3,3,11,2,3.67,12
60,Kuwait,Middle East,3,3,14,6,4.67,10
61,Philippines,Asiatic Region,3,3,3,1,1.0,10
62,Georgia,Eastern Europe,3,3,1,0,0.33,4
63,Zimbabwe,Africa,2,2,15,1,7.5,8
64,Albania,Eastern Europe,2,2,0,0,0.0,1
65,Bosnia and Herzegovina,Eastern Europe,2,2,51,13,25.5,8
66,Botswana,Africa,2,2,13,3,6.5,7
67,Côte d’Ivoire,Africa,2,2,13,0,6.5,1
68,Cameroon,Africa,2,2,4,0,2.0,3
69,Colombia,Latin America,2,2,12,6,6.0,7
70,Cuba,Latin America,2,2,1,0,0.5,2
71,Estonia,Eastern Europe,2,2,8,2,4.0,8
72,Morocco,Africa,2,2,5,2,2.5,6
73,Qatar,Middle East,2,2,42,1,21.0,11
74,Thailand,Asiatic Region,2,2,15,4,7.5,13
75,Uganda,Africa,2,2,2,0,1.0,6
76,Uruguay,Latin America,2,2,23,4,11.5,5
77,Venezuela,Latin America,2,2,4,0,2.0,4
78,Latvia,Eastern Europe,1,1,2,0,2.0,4
79,Luxembourg,Western Europe,1,1,0,0,0.0,4
80,Lesotho,Africa,1,1,0,0,0.0,2
81,Chad,Africa,1,1,0,0,0.0,0
82,Dominica,Latin America,1,1,0,0,0.0,0
83,Tunisia,Africa,1,1,0,0,0.0,5
84,Guam,Pacific Region,1,1,0,0,0.0,2
85,Guatemala,Latin America,1,1,0,0,0.0,1
86,Tanzania,Africa,1,1,7,0,7.0,5
87,Bolivia,Latin America,1,1,2,0,2.0,2
88,Greenland,Western Europe,1,1,0,0,0.0,0
89,Papua New Guinea,Pacific Region,1,1,14,8,14.0,4
90,Oman,Middle East,1,1,4,2,4.0,4
91,Saudi Arabia,Middle East,1,1,107,7,107.0,19
92,Malta,Western Europe,1,1,1,1,1.0,9
