Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,497,481,6188,2898,12.45,129
2,United Kingdom,Western Europe,182,168,1560,562,8.57,82
3,Canada,Northern America,43,42,388,70,9.02,49
4,Germany,Western Europe,33,32,163,29,4.94,46
5,Australia,Pacific Region,30,28,264,39,8.8,60
6,Spain,Western Europe,24,24,31,13,1.29,32
7,Netherlands,Western Europe,13,11,70,4,5.38,50
8,Israel,Middle East,10,10,130,8,13.0,29
9,Sweden,Western Europe,10,10,234,36,23.4,37
10,France,Western Europe,7,7,2,0,0.29,31
11,Belgium,Western Europe,6,5,34,3,5.67,28
12,Hong Kong,Asiatic Region,6,6,163,31,27.17,28
13,New Zealand,Pacific Region,6,5,52,9,8.67,28
14,Italy,Western Europe,5,5,26,1,5.2,45
15,South Africa,Africa,5,5,12,3,2.4,27
16,Denmark,Western Europe,5,5,10,2,2.0,33
17,Switzerland,Western Europe,4,4,12,0,3.0,27
18,Norway,Western Europe,4,3,47,3,11.75,32
19,Poland,Eastern Europe,4,4,17,0,4.25,22
20,Ireland,Western Europe,3,3,2,0,0.67,18
21,Finland,Western Europe,2,2,5,0,2.5,28
22,Egypt,Africa/Middle East,2,2,9,0,4.5,10
23,Saudi Arabia,Middle East,2,2,8,0,4.0,13
24,India,Asiatic Region,2,2,6,0,3.0,21
25,South Korea,Asiatic Region,2,2,1,0,0.5,24
26,Turkey,Middle East,2,2,8,3,4.0,21
27,Brazil,Latin America,2,2,6,1,3.0,18
28,Greece,Western Europe,2,2,17,6,8.5,21
29,Japan,Asiatic Region,2,2,3,1,1.5,19
30,Cyprus,Western Europe,1,1,0,0,0.0,13
31,Singapore,Asiatic Region,1,1,22,3,22.0,27
32,Ukraine,Eastern Europe,1,0,0,0,0.0,7
33,Hungary,Eastern Europe,1,1,2,0,2.0,11
34,Ghana,Africa,1,1,19,2,19.0,7
35,Iceland,Western Europe,1,1,0,0,0.0,9
36,Jordan,Middle East,1,1,9,0,9.0,9
37,Martinique,Latin America,1,1,0,0,0.0,0
38,Botswana,Africa,1,1,0,0,0.0,6
39,Czech Republic,Eastern Europe,1,0,0,0,0.0,11
40,Portugal,Western Europe,1,1,0,0,0.0,27
41,Serbia,Eastern Europe,1,1,10,0,10.0,9
42,Russian Federation,Eastern Europe,1,1,5,1,5.0,10
