Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,873,812,7864,3731,9.01,129
2,United Kingdom,Western Europe,384,364,3026,1000,7.88,82
3,Canada,Northern America,114,102,1819,220,15.96,49
4,France,Western Europe,93,91,429,78,4.61,31
5,Italy,Western Europe,57,55,268,67,4.7,45
6,Germany,Western Europe,54,53,454,34,8.41,46
7,Australia,Pacific Region,54,53,530,130,9.81,60
8,Spain,Western Europe,35,35,61,32,1.74,32
9,Netherlands,Western Europe,27,27,130,34,4.81,50
10,Sweden,Western Europe,24,24,154,15,6.42,37
11,Turkey,Middle East,21,21,67,27,3.19,21
12,Belgium,Western Europe,21,21,195,35,9.29,28
13,South Africa,Africa,20,20,55,19,2.75,27
14,Israel,Middle East,18,17,85,20,4.72,29
15,Czech Republic,Eastern Europe,17,15,21,8,1.24,11
16,Hungary,Eastern Europe,12,11,5,2,0.42,11
17,Japan,Asiatic Region,12,12,108,28,9.0,19
18,Denmark,Western Europe,11,11,105,8,9.55,33
19,Norway,Western Europe,8,8,44,8,5.5,32
20,New Zealand,Pacific Region,8,8,36,6,4.5,28
21,Romania,Eastern Europe,8,6,2,0,0.25,8
22,Russian Federation,Eastern Europe,8,8,17,0,2.13,10
23,Croatia,Eastern Europe,7,7,20,5,2.86,11
24,Greece,Western Europe,7,7,31,0,4.43,21
25,Hong Kong,Asiatic Region,7,7,140,36,20.0,28
26,Ireland,Western Europe,7,7,22,8,3.14,18
27,Poland,Eastern Europe,6,6,54,13,9.0,22
28,China,Asiatic Region,6,6,91,14,15.17,29
29,Taiwan,Asiatic Region,5,5,24,8,4.8,28
30,Switzerland,Western Europe,5,5,40,23,8.0,27
31,Portugal,Western Europe,5,5,26,4,5.2,27
32,Finland,Western Europe,4,4,53,20,13.25,28
33,Cyprus,Western Europe,4,4,18,3,4.5,13
34,India,Asiatic Region,4,4,11,3,2.75,21
35,Slovenia,Eastern Europe,4,4,12,1,3.0,11
36,South Korea,Asiatic Region,4,3,12,2,3.0,24
37,Saudi Arabia,Middle East,3,3,159,6,53.0,13
38,Iran,Middle East,3,3,5,1,1.67,14
39,Nigeria,Africa,3,3,10,1,3.33,10
40,Mexico,Latin America,2,2,5,1,2.5,15
41,Lebanon,Middle East,2,2,13,1,6.5,10
42,Egypt,Africa/Middle East,2,2,27,0,13.5,10
43,Ukraine,Eastern Europe,2,2,3,1,1.5,7
44,Algeria,Africa,2,2,1,0,0.5,5
45,Austria,Western Europe,2,2,12,0,6.0,31
46,Venezuela,Latin America,2,2,1,0,0.5,4
47,Argentina,Latin America,1,1,0,0,0.0,10
48,Indonesia,Asiatic Region,1,1,11,2,11.0,9
49,Estonia,Eastern Europe,1,1,5,1,5.0,8
50,Lithuania,Eastern Europe,1,1,0,0,0.0,5
51,Latvia,Eastern Europe,1,1,0,0,0.0,5
52,Morocco,Africa,1,1,0,0,0.0,6
53,Niger,Africa,1,1,1,0,1.0,1
54,Costa Rica,Latin America,1,1,9,0,9.0,3
55,Panama,Latin America,1,1,0,0,0.0,0
56,Peru,Latin America,1,1,1,1,1.0,7
57,Chile,Latin America,1,1,2,2,2.0,13
58,Singapore,Asiatic Region,1,1,17,1,17.0,27
59,Suriname,Latin America,1,1,7,1,7.0,1
60,Thailand,Asiatic Region,1,1,4,1,4.0,10
61,Bulgaria,Eastern Europe,1,1,0,0,0.0,4
62,Uganda,Africa,1,1,0,0,0.0,6
63,Bangladesh,Asiatic Region,1,1,2,0,2.0,3
64,Uruguay,Latin America,1,1,4,0,4.0,3
65,Uzbekistan,Asiatic Region,1,1,12,0,12.0,3
66,Ghana,Africa,1,1,25,3,25.0,7
