Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2062747,1945732,103378530,41463932,50.12,1634
2,China,Asiatic Region,1028651,1012302,19915114,10135835,19.36,666
3,Japan,Asiatic Region,521045,507174,17414562,3542406,33.42,752
4,United Kingdom,Western Europe,506084,474389,25041578,4216264,49.48,1032
5,Germany,Western Europe,496846,474185,22202963,4156626,44.69,933
6,France,Western Europe,344048,327433,14433265,2216955,41.95,783
7,Italy,Western Europe,318467,298342,11298067,2098841,35.48,698
8,Canada,Northern America,284796,271483,12495287,1782565,43.87,773
9,India,Asiatic Region,276245,266287,4942595,1511691,17.89,425
10,Spain,Western Europe,220036,210222,8045632,1320180,36.57,620
11,South Korea,Asiatic Region,199057,195310,5232413,819640,26.29,487
12,Australia,Pacific Region,197159,186440,8351496,1227700,42.36,671
13,Netherlands,Western Europe,166533,157930,8469428,988912,50.86,691
14,Brazil,Latin America,139738,135477,3102183,798236,22.2,362
15,Russian Federation,Eastern Europe,133783,131957,1860346,434691,13.91,345
16,Switzerland,Western Europe,131136,124579,6979791,638043,53.23,665
17,Sweden,Western Europe,121603,116918,5784161,616220,47.57,603
18,Poland,Eastern Europe,103268,100554,2184098,379340,21.15,348
19,Belgium,Western Europe,93452,88915,4256833,414182,45.55,551
20,Taiwan,Asiatic Region,83887,82187,2320263,308903,27.66,345
21,Iran,Middle East,83388,81780,1382274,404913,16.58,244
22,Denmark,Western Europe,81045,77640,3842731,404591,47.41,535
23,Turkey,Middle East,72113,69258,1428201,233031,19.81,282
24,Austria,Western Europe,67850,64358,2894771,278241,42.66,474
25,Israel,Middle East,64590,61735,3014637,284674,46.67,498
26,Czech Republic,Eastern Europe,51973,50464,1378061,201583,26.51,319
27,Finland,Western Europe,51078,49337,2344370,234779,45.9,447
28,Mexico,Latin America,47952,46385,1140815,173903,23.79,297
29,Portugal,Western Europe,47826,45493,1537616,202928,32.15,342
30,Greece,Western Europe,45029,42378,1494559,158216,33.19,344
31,Egypt,Africa/Middle East,43497,42913,718904,133649,16.53,193
32,Norway,Western Europe,42248,40559,1854319,178537,43.89,399
33,Singapore,Asiatic Region,41618,39862,1971229,160431,47.36,428
34,Saudi Arabia,Middle East,40967,40059,920881,110801,22.48,277
35,Argentina,Latin America,38536,37523,1029913,155061,26.73,277
36,Hong Kong,Asiatic Region,36211,34903,1424766,126738,39.35,355
37,Hungary,Eastern Europe,35160,34001,1079489,122598,30.7,313
38,South Africa,Africa,33427,32050,923467,140282,27.63,281
39,Malaysia,Asiatic Region,33344,32393,602292,105841,18.06,209
40,New Zealand,Pacific Region,33100,31689,1326009,129081,40.06,356
41,Ireland,Western Europe,31754,29986,1480475,120073,46.62,381
42,Thailand,Asiatic Region,31405,30604,653887,92872,20.82,212
43,Romania,Eastern Europe,27141,26618,357482,70319,13.17,183
44,Pakistan,Asiatic Region,26160,25592,460545,85410,17.6,191
45,Chile,Latin America,20552,19891,572520,71188,27.86,228
46,Ukraine,Eastern Europe,19584,19274,220643,37761,11.27,158
47,Indonesia,Asiatic Region,17929,17758,170886,38216,9.53,129
48,Slovakia,Eastern Europe,17878,17464,396230,52202,22.16,192
49,Nigeria,Africa,14222,13988,185607,34716,13.05,132
50,Serbia,Eastern Europe,13560,13182,235842,33511,17.39,149
51,Slovenia,Eastern Europe,13061,12538,394179,46573,30.18,197
52,Croatia,Eastern Europe,12637,12187,299389,34407,23.69,193
53,Colombia,Latin America,12501,12105,238109,31222,19.05,168
54,Bulgaria,Eastern Europe,11930,11609,233733,23926,19.59,162
55,Tunisia,Africa,11735,11516,221068,32803,18.84,138
56,Iraq,Middle East,11120,11034,68154,16386,6.13,89
57,Viet Nam,Asiatic Region,9137,8956,156705,15721,17.15,125
58,Bangladesh,Asiatic Region,8039,7886,131649,19593,16.38,125
59,United Arab Emirates,Middle East,7322,7041,155091,13283,21.18,146
60,Morocco,Africa,7031,6895,120530,15691,17.14,124
61,Estonia,Eastern Europe,6563,6313,299212,23247,45.59,218
62,Philippines,Asiatic Region,5734,5573,150976,12467,26.33,161
63,Algeria,Africa,5553,5486,82109,11670,14.79,99
64,Lithuania,Eastern Europe,5363,5247,141536,13491,26.39,143
65,Jordan,Middle East,5236,5162,92422,8336,17.65,110
66,Kenya,Africa,5057,4934,131951,13709,26.09,138
67,Lebanon,Middle East,4803,4569,117753,7724,24.52,137
68,Cuba,Latin America,4703,4584,99424,13444,21.14,115
69,Belarus,Eastern Europe,4672,4619,67385,7501,14.42,108
