Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,86138,78576,1797180,658903,20.86,1634
2,China,Asiatic Region,85841,84001,1499469,910492,17.47,666
3,Germany,Western Europe,22566,20945,501325,96322,22.22,933
4,United Kingdom,Western Europe,22487,20536,520820,93047,23.16,1032
5,Japan,Asiatic Region,18719,17740,258643,53538,13.82,752
6,Italy,Western Europe,15796,14461,307807,69036,19.49,698
7,India,Asiatic Region,14762,13891,187979,59415,12.73,425
8,France,Western Europe,14006,12922,278110,42502,19.86,783
9,Canada,Northern America,13073,12118,263370,37760,20.15,773
10,South Korea,Asiatic Region,12035,11711,195206,33455,16.22,487
11,Spain,Western Europe,11138,10475,233410,37441,20.96,620
12,Australia,Pacific Region,10732,9921,248942,37316,23.2,671
13,Brazil,Latin America,8808,8418,114489,27449,13.0,362
14,Netherlands,Western Europe,7718,7198,193501,24043,25.07,691
15,Russian Federation,Eastern Europe,7649,7468,70459,19386,9.21,345
16,Iran,Middle East,7138,7016,114487,29883,16.04,244
17,Switzerland,Western Europe,6402,5908,176721,17019,27.6,665
18,Poland,Eastern Europe,6009,5753,89847,15974,14.95,348
19,Sweden,Western Europe,5565,5197,137912,14354,24.78,603
20,Belgium,Western Europe,4392,4097,104588,10270,23.81,551
21,Denmark,Western Europe,4185,3879,111159,10934,26.56,535
22,Taiwan,Asiatic Region,4059,3983,65870,8662,16.23,345
23,Turkey,Middle East,3935,3757,54007,10530,13.72,282
24,Austria,Western Europe,3478,3230,82282,7899,23.66,474
25,Mexico,Latin America,3226,3084,42541,6252,13.19,297
26,Egypt,Africa/Middle East,3130,3079,48529,11252,15.5,193
27,Saudi Arabia,Middle East,2966,2887,56924,9442,19.19,277
28,Portugal,Western Europe,2932,2690,56569,7479,19.29,342
29,Czech Republic,Eastern Europe,2893,2789,45600,5868,15.76,319
30,Israel,Middle East,2815,2641,64417,6115,22.88,498
31,Singapore,Asiatic Region,2511,2341,72529,6559,28.88,428
32,Finland,Western Europe,2376,2251,53641,5198,22.58,447
33,Greece,Western Europe,2256,2069,43228,5084,19.16,344
34,Pakistan,Asiatic Region,2219,2145,37933,7152,17.09,191
35,Norway,Western Europe,2206,2082,57107,5341,25.89,399
36,Malaysia,Asiatic Region,2167,2075,34680,6051,16.0,209
37,Romania,Eastern Europe,2102,2067,22376,4129,10.65,183
38,South Africa,Africa,2095,1985,37452,5657,17.88,281
39,Hong Kong,Asiatic Region,2052,1970,57489,4510,28.02,355
40,Thailand,Asiatic Region,1949,1885,22830,3944,11.71,212
41,Indonesia,Asiatic Region,1806,1787,11831,4215,6.55,129
42,Argentina,Latin America,1806,1703,24598,3344,13.62,277
43,New Zealand,Pacific Region,1763,1658,35743,3863,20.27,356
44,Ireland,Western Europe,1693,1567,41440,3829,24.48,381
45,Iraq,Middle East,1655,1641,8587,2673,5.19,89
46,Hungary,Eastern Europe,1484,1415,25882,3223,17.44,313
47,Chile,Latin America,1357,1282,22253,2568,16.4,228
48,Ukraine,Eastern Europe,1106,1080,6776,1697,6.13,158
49,Colombia,Latin America,979,942,12381,1583,12.65,168
50,Nigeria,Africa,905,883,9035,1780,9.98,132
51,Slovakia,Eastern Europe,879,838,12371,1742,14.07,192
52,Viet Nam,Asiatic Region,871,850,13705,1902,15.73,125
53,Serbia,Eastern Europe,868,825,12164,1484,14.01,149
54,Tunisia,Africa,694,681,8660,1284,12.48,138
55,Croatia,Eastern Europe,645,612,11951,1261,18.53,193
56,Slovenia,Eastern Europe,629,595,10521,1078,16.73,197
57,Ethiopia,Africa,551,551,6837,1984,12.41,87
58,United Arab Emirates,Middle East,547,531,10561,1073,19.31,146
59,Bangladesh,Asiatic Region,546,536,8554,1530,15.67,125
60,Qatar,Middle East,499,472,11462,1037,22.97,126
61,Bulgaria,Eastern Europe,481,458,7176,720,14.92,162
62,Lebanon,Middle East,407,377,6284,524,15.44,137
63,Morocco,Africa,401,392,5150,901,12.84,124
64,Algeria,Africa,399,388,4726,844,11.84,99
65,Philippines,Asiatic Region,390,360,5450,496,13.97,161
66,Estonia,Eastern Europe,379,364,14925,779,39.38,218
67,Lithuania,Eastern Europe,357,350,5960,700,16.69,143
68,Kenya,Africa,346,334,5231,725,15.12,138
69,Jordan,Middle East,341,336,4555,578,13.36,110
70,Ecuador,Latin America,319,306,4107,493,12.87,89
71,Peru,Latin America,303,291,6915,520,22.82,123
72,Cyprus,Western Europe,272,254,7028,437,25.84,113
73,Uruguay,Latin America,271,250,3206,418,11.83,140
74,Belarus,Eastern Europe,270,261,2475,358,9.17,108
75,Macao,Asiatic Region,261,253,5508,275,21.1,111
76,Ghana,Africa,255,250,3274,433,12.84,95
77,Luxembourg,Western Europe,234,218,8259,409,35.29,143
78,Kazakhstan,Asiatic Region,234,227,3205,383,13.7,66
79,Iceland,Western Europe,203,192,8622,357,42.47,219
80,Georgia,Eastern Europe,200,190,3387,114,16.94,85
81,Cameroon,Africa,199,190,3017,354,15.16,87
82,Sri Lanka,Asiatic Region,188,173,2763,255,14.7,101
83,Tanzania,Africa,181,179,3140,314,17.35,97
84,Uganda,Africa,173,173,2552,340,14.75,96
85,Oman,Middle East,170,153,2495,363,14.68,89
86,Kuwait,Middle East,167,163,1879,201,11.25,97
87,Cuba,Latin America,158,149,1423,163,9.01,115
88,Latvia,Eastern Europe,145,140,3121,193,21.52,103
89,Nepal,Asiatic Region,139,134,2127,255,15.3,82
90,Costa Rica,Latin America,136,133,1761,215,12.95,130
91,Sudan,Africa,131,130,1559,112,11.9,70
92,Panama,Latin America,100,95,1583,187,15.83,130
93,Puerto Rico,Latin America,91,84,1244,55,13.67,128
94,Uzbekistan,Asiatic Region,86,74,1056,111,12.28,62
95,Venezuela,Latin America,83,78,781,66,9.41,124
96,Bosnia and Herzegovina,Eastern Europe,79,78,1401,54,17.73,60
97,Macedonia,Eastern Europe,77,76,1617,54,21.0,71
98,Armenia,Eastern Europe,75,72,996,147,13.28,62
99,Malawi,Africa,74,73,1105,164,14.93,71
100,Palestine,Middle East,74,68,898,100,12.14,63
101,Senegal,Africa,71,68,994,46,14.0,68
102,Azerbaijan,Eastern Europe,68,68,954,66,14.03,48
103,Burkina Faso,Africa,67,66,852,64,12.72,71
104,Zimbabwe,Africa,66,66,738,110,11.18,73
105,Bahrain,Middle East,64,63,692,73,10.81,48
106,Côte d’Ivoire,Africa,61,61,890,62,14.59,63
107,Myanmar,Asiatic Region,60,60,724,75,12.07,46
108,Yemen,Middle East,60,58,980,107,16.33,53
109,Mongolia,Asiatic Region,60,59,932,79,15.53,58
110,Zambia,Africa,58,56,1093,63,18.84,53
111,Moldova,Eastern Europe,55,54,899,34,16.35,51
112,Malta,Western Europe,51,47,1283,53,25.16,81
113,Benin,Africa,51,50,540,82,10.59,62
114,Mauritius,Africa,51,50,804,92,15.76,52
115,Botswana,Africa,48,44,859,66,17.9,60
116,Albania,Eastern Europe,47,44,1257,41,26.74,46
117,Bolivia,Latin America,46,44,663,51,14.41,71
118,Syrian Arab Republic,Middle East,45,44,694,38,15.42,79
119,Libya,Africa,44,43,666,42,15.14,50
120,Madagascar,Africa,44,41,513,52,11.66,60
121,Mozambique,Africa,41,39,520,68,12.68,56
122,Cambodia,Asiatic Region,40,40,952,58,23.8,48
123,Congo,Africa,39,36,567,23,14.54,56
124,Montenegro,Eastern Europe,37,37,865,45,23.38,30
125,Paraguay,Latin America,36,36,363,17,10.08,45
126,Mali,Africa,35,32,464,35,13.26,68
127,Rwanda,Africa,35,35,388,32,11.09,47
128,Grenada,Latin America,35,34,458,26,13.09,30
129,Laos,Asiatic Region,33,32,432,38,13.09,43
130,Gambia,Africa,32,30,1021,48,31.91,82
131,Tajikistan,Asiatic Region,32,31,1292,28,40.38,34
132,Fiji,Pacific Region,31,29,616,28,19.87,48
133,Kyrgyzstan,Asiatic Region,30,29,343,34,11.43,29
134,Trinidad and Tobago,Latin America,29,29,487,24,16.79,59
135,Guatemala,Latin America,28,27,261,28,9.32,54
136,Monaco,Western Europe,28,26,528,38,18.86,65
137,Brunei Darussalam,Asiatic Region,26,20,404,34,15.54,51
138,Gabon,Africa,26,24,316,14,12.15,59
139,Afghanistan,Asiatic Region,26,26,296,9,11.38,22
140,Democratic Republic Congo,Africa,25,23,333,37,13.32,33
141,Dominican Republic,Latin America,24,23,267,5,11.13,36
142,Jamaica,Latin America,24,23,349,12,14.54,61
143,Namibia,Africa,23,22,323,21,14.04,43
144,Togo,Africa,23,22,605,13,26.3,29
145,Honduras,Latin America,22,21,250,16,11.36,33
146,Sierra Leone,Africa,20,19,180,9,9.0,27
147,New Caledonia,Pacific Region,20,20,196,17,9.8,54
148,French Polynesia,Pacific Region,20,19,151,9,7.55,51
149,Papua New Guinea,Pacific Region,20,20,406,31,20.3,58
150,French Guiana,Latin America,19,18,355,9,18.68,43
151,Greenland,Western Europe,16,16,241,10,15.06,34
152,Barbados,Latin America,15,13,3654,7,243.6,47
153,Swaziland,Africa,14,13,253,12,18.07,30
154,Angola,Africa,14,14,112,14,8.0,24
155,Saint Kitts and Nevis,Latin America,13,12,171,5,13.15,23
156,Liechtenstein,Western Europe,13,13,223,7,17.15,35
157,Haïti,Latin America,13,13,132,17,10.15,24
158,North Korea,Asiatic Region,12,12,217,9,18.08,26
159,Niger,Africa,12,11,227,25,18.92,47
160,Guinea,Africa,12,10,140,5,11.67,34
161,Nicaragua,Latin America,11,11,347,20,31.55,32
162,Bhutan,Asiatic Region,11,10,250,19,22.73,25
163,Central African Republic,Africa,10,10,63,5,6.3,23
164,Faroe Islands,Western Europe,9,9,127,10,14.11,30
165,Bahamas,Latin America,9,9,173,7,19.22,26
166,Guadeloupe,Latin America,9,8,403,4,44.78,42
167,El Salvador,Latin America,8,8,53,2,6.63,32
168,Chad,Africa,6,6,492,1,82.0,18
169,Seychelles,Africa,6,6,180,22,30.0,36
170,Guinea-Bissau,Africa,6,6,47,5,7.83,29
171,Burundi,Africa,6,6,47,8,7.83,22
172,Eritrea,Africa,6,6,18,3,3.0,21
173,Guam,Pacific Region,5,5,52,1,10.4,47
174,Cape Verde,Africa,5,4,22,5,4.4,12
175,Comoros,Africa,5,5,416,2,83.2,8
176,Martinique,Latin America,5,5,205,4,41.0,26
177,Vanuatu,Pacific Region,5,5,82,10,16.4,22
178,Timor-Leste,Asiatic Region,4,4,128,4,32.0,13
179,Belize,Latin America,4,4,48,5,12.0,17
180,Liberia,Africa,4,4,141,2,35.25,25
181,Mauritania,Africa,4,4,7,3,1.75,16
182,Lesotho,Africa,4,4,37,2,9.25,17
183,Reunion,Africa,3,3,24,0,8.0,33
184,Guyana,Latin America,3,3,10,2,3.33,22
185,Falkland Islands (Malvinas),Latin America,3,3,20,1,6.67,11
186,Djibouti,Africa,3,3,27,2,9.0,11
187,Bermuda,Latin America,3,3,18,0,6.0,24
188,Saint Vincent and the Grenadines,Latin America,3,3,24,0,8.0,5
189,Suriname,Latin America,2,2,32,0,16.0,27
190,Equatorial Guinea,Africa,2,2,35,14,17.5,11
191,San Marino,Western Europe,1,1,10,0,10.0,21
192,Cayman Islands,Latin America,1,1,9,2,9.0,12
193,Anguilla,Latin America,1,1,0,0,0.0,6
194,Saint Helena,Africa,1,1,12,0,12.0,6
195,Maldives,Asiatic Region,1,1,9,5,9.0,16
196,Kiribati,Pacific Region,1,1,2,0,2.0,5
197,Virgin Islands (British),Latin America,1,1,17,1,17.0,7
198,Virgin Islands (U.S.),Latin America,1,0,5,0,5.0,18
199,Palau,Pacific Region,1,1,52,8,52.0,16
200,British Indian Ocean Territory,Africa,1,1,4,0,4.0,2
201,Aruba,Latin America,1,1,9,1,9.0,7
202,Northern Mariana Islands,Asiatic Region,1,1,6,0,6.0,5
203,Marshall Islands,Pacific Region,1,1,8,0,8.0,6
204,American Samoa,Pacific Region,1,1,13,0,13.0,13
205,Andorra,Western Europe,1,1,50,1,50.0,13
206,Curaçao,Latin America,1,1,10,3,10.0,4
