Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1342,1230,24209,9294,18.04,301
2,China,Asiatic Region,1266,1255,25976,15973,20.52,116
3,United Kingdom,Western Europe,468,424,8997,2046,19.22,190
4,Italy,Western Europe,432,400,8525,1865,19.73,162
5,Spain,Western Europe,290,258,4769,842,16.44,116
6,Germany,Western Europe,276,262,5537,1049,20.06,160
7,Canada,Northern America,263,251,5299,895,20.15,150
8,South Korea,Asiatic Region,196,191,2825,484,14.41,86
9,France,Western Europe,180,172,2873,486,15.96,119
10,Australia,Pacific Region,177,166,3599,523,20.33,127
11,Brazil,Latin America,169,156,2839,567,16.8,79
12,Japan,Asiatic Region,155,146,2249,479,14.51,107
13,Netherlands,Western Europe,136,126,2389,305,17.57,135
14,Switzerland,Western Europe,123,111,2209,248,17.96,104
15,Sweden,Western Europe,104,99,1795,235,17.26,108
16,India,Asiatic Region,102,101,1132,224,11.1,67
17,Belgium,Western Europe,96,92,2013,252,20.97,87
18,Poland,Eastern Europe,84,78,1573,251,18.73,69
19,Iran,Middle East,82,82,780,246,9.51,42
20,Taiwan,Asiatic Region,74,74,1076,171,14.54,65
21,Denmark,Western Europe,72,68,1210,125,16.81,90
22,Portugal,Western Europe,66,61,1136,120,17.21,64
23,Hong Kong,Asiatic Region,63,59,1431,138,22.71,64
24,Austria,Western Europe,53,49,1430,110,26.98,83
25,Russian Federation,Eastern Europe,52,51,763,184,14.67,63
26,Turkey,Middle East,50,47,952,133,19.04,51
27,Finland,Western Europe,47,47,758,85,16.13,92
28,Ireland,Western Europe,44,42,797,100,18.11,71
29,Mexico,Latin America,42,42,797,73,18.98,56
30,Greece,Western Europe,40,36,584,79,14.6,60
31,Israel,Middle East,39,38,843,85,21.62,81
32,Saudi Arabia,Middle East,39,37,852,138,21.85,46
33,Hungary,Eastern Europe,39,39,1083,231,27.77,56
34,Norway,Western Europe,37,35,574,60,15.51,60
35,Singapore,Asiatic Region,32,31,405,54,12.66,52
36,Malaysia,Asiatic Region,26,25,627,75,24.12,38
37,Serbia,Eastern Europe,25,23,459,50,18.36,28
38,Chile,Latin America,23,19,291,36,12.65,44
39,Thailand,Asiatic Region,19,19,277,71,14.58,32
40,Romania,Eastern Europe,18,18,826,83,45.89,37
41,Colombia,Latin America,18,18,139,16,7.72,28
42,Czech Republic,Eastern Europe,18,18,347,40,19.28,46
43,Egypt,Africa/Middle East,18,18,863,152,47.94,42
44,South Africa,Africa,18,15,440,70,24.44,32
45,Argentina,Latin America,16,15,207,22,12.94,34
46,New Zealand,Pacific Region,16,14,276,32,17.25,53
47,Qatar,Middle East,12,12,513,25,42.75,19
48,Nigeria,Africa,9,9,123,14,13.67,17
49,Lithuania,Eastern Europe,9,9,144,12,16.0,18
50,Ukraine,Eastern Europe,9,9,160,23,17.78,28
51,Bulgaria,Eastern Europe,9,9,345,32,38.33,21
52,Slovakia,Eastern Europe,9,9,86,17,9.56,23
53,Pakistan,Asiatic Region,8,8,360,24,45.0,24
54,Tunisia,Africa,8,8,298,5,37.25,20
55,United Arab Emirates,Middle East,6,6,66,12,11.0,20
56,Estonia,Eastern Europe,6,6,59,2,9.83,29
57,Macao,Asiatic Region,6,6,139,6,23.17,18
58,Peru,Latin America,6,5,89,6,14.83,16
59,Morocco,Africa,5,5,244,9,48.8,15
60,Croatia,Eastern Europe,5,5,123,29,24.6,26
61,Philippines,Asiatic Region,4,4,197,8,49.25,11
62,Viet Nam,Asiatic Region,4,4,49,2,12.25,11
63,Bangladesh,Asiatic Region,4,4,50,5,12.5,19
64,Cyprus,Western Europe,4,4,44,7,11.0,12
65,Slovenia,Eastern Europe,4,4,86,5,21.5,28
66,Indonesia,Asiatic Region,4,4,30,11,7.5,14
67,Ghana,Africa,4,4,77,0,19.25,10
68,Latvia,Eastern Europe,3,3,37,7,12.33,11
69,Oman,Middle East,3,3,24,4,8.0,12
70,Lebanon,Middle East,3,3,33,4,11.0,15
71,Kenya,Africa,2,2,112,16,56.0,13
72,Brunei Darussalam,Asiatic Region,2,2,1,1,0.5,3
73,Malta,Western Europe,2,2,29,1,14.5,12
74,Trinidad and Tobago,Latin America,2,2,10,4,5.0,7
75,Burkina Faso,Africa,2,2,11,1,5.5,4
76,Luxembourg,Western Europe,2,2,138,5,69.0,17
77,Bosnia and Herzegovina,Eastern Europe,2,2,20,2,10.0,6
78,Uruguay,Latin America,2,2,33,2,16.5,10
79,Malawi,Africa,2,2,105,14,52.5,8
80,Ethiopia,Africa,2,2,25,2,12.5,6
81,Puerto Rico,Latin America,2,2,12,0,6.0,8
82,Nepal,Asiatic Region,2,2,31,9,15.5,11
83,Algeria,Africa,2,2,27,7,13.5,10
84,Sri Lanka,Asiatic Region,1,1,24,1,24.0,10
85,Libya,Africa,1,1,20,0,20.0,4
86,Monaco,Western Europe,1,1,7,0,7.0,12
87,Moldova,Eastern Europe,1,1,14,0,14.0,2
88,Montenegro,Eastern Europe,1,1,170,0,170.0,4
89,Macedonia,Eastern Europe,1,1,0,0,0.0,2
90,Mongolia,Asiatic Region,1,1,7,0,7.0,5
