Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,10070,9644,656353,268289,65.18,998
2,China,Asiatic Region,5660,5550,170576,80966,30.14,410
3,United Kingdom,Western Europe,3177,2996,197812,39565,62.26,581
4,India,Asiatic Region,2753,2613,38940,11728,14.14,199
5,Germany,Western Europe,2553,2466,151933,30972,59.51,538
6,Japan,Asiatic Region,1907,1856,79944,14483,41.92,431
7,France,Western Europe,1882,1790,92113,14896,48.94,448
8,Russian Federation,Eastern Europe,1860,1850,17377,6492,9.34,167
9,Italy,Western Europe,1596,1500,71588,12568,44.85,378
10,Canada,Northern America,1322,1272,73729,9929,55.77,420
11,Australia,Pacific Region,1115,1067,76927,11007,68.99,359
12,South Korea,Asiatic Region,1100,1083,43952,6378,39.96,258
13,Spain,Western Europe,1027,975,51139,7100,49.79,326
14,Netherlands,Western Europe,847,794,57723,6958,68.15,391
15,Malaysia,Asiatic Region,818,811,17653,3327,21.58,106
16,Switzerland,Western Europe,802,771,58211,5949,72.58,383
17,Brazil,Latin America,765,741,20108,4420,26.28,181
18,Taiwan,Asiatic Region,753,731,19145,2127,25.42,167
19,Turkey,Middle East,690,660,12154,1735,17.61,139
20,Iran,Middle East,683,670,10862,3237,15.9,94
21,Saudi Arabia,Middle East,681,675,15685,1579,23.03,139
22,Poland,Eastern Europe,644,638,14363,2273,22.3,164
23,Sweden,Western Europe,562,540,41038,4191,73.02,334
24,Egypt,Africa/Middle East,562,555,6754,1288,12.02,83
25,Kazakhstan,Asiatic Region,524,523,1266,375,2.42,32
26,Romania,Eastern Europe,464,463,5277,1814,11.37,80
27,Belgium,Western Europe,449,415,28493,2557,63.46,287
28,Austria,Western Europe,385,375,30630,2465,79.56,279
29,Pakistan,Asiatic Region,376,371,5944,1476,15.81,83
30,Thailand,Asiatic Region,356,340,7587,955,21.31,96
31,Denmark,Western Europe,353,337,23131,2186,65.53,256
32,Israel,Middle East,333,320,23201,1896,69.67,257
33,Czech Republic,Eastern Europe,319,312,10702,1063,33.55,158
34,Singapore,Asiatic Region,277,267,23222,1678,83.83,221
35,Portugal,Western Europe,273,262,14459,1230,52.96,171
36,Mexico,Latin America,272,269,8005,1033,29.43,137
37,Serbia,Eastern Europe,255,242,5181,482,20.32,68
38,South Africa,Africa,253,235,10722,1641,42.38,153
39,Norway,Western Europe,229,214,14544,1177,63.51,194
40,Hong Kong,Asiatic Region,211,202,14806,1096,70.17,174
41,Greece,Western Europe,211,203,7894,733,37.41,155
42,Finland,Western Europe,204,199,11210,1100,54.95,200
43,Hungary,Eastern Europe,177,170,8082,613,45.66,159
44,Ireland,Western Europe,160,149,8555,650,53.47,164
45,New Zealand,Pacific Region,159,146,9718,856,61.12,162
46,Nigeria,Africa,154,145,1458,299,9.47,58
47,Indonesia,Asiatic Region,139,138,2342,587,16.85,67
48,Colombia,Latin America,130,120,2765,522,21.27,77
49,Bangladesh,Asiatic Region,123,123,3072,361,24.98,62
50,Ukraine,Eastern Europe,117,116,2636,285,22.53,67
51,Argentina,Latin America,116,111,4622,560,39.84,131
52,Chile,Latin America,115,112,3057,544,26.58,103
53,Croatia,Eastern Europe,104,98,2419,147,23.26,83
54,Tunisia,Africa,88,84,1168,153,13.27,60
55,Ethiopia,Africa,86,85,2077,771,24.15,50
56,Jordan,Middle East,84,81,785,166,9.35,35
57,Slovenia,Eastern Europe,77,72,2775,269,36.04,89
58,Iraq,Middle East,75,75,880,230,11.73,40
59,Slovakia,Eastern Europe,68,66,1425,168,20.96,73
60,Algeria,Africa,66,66,641,153,9.71,36
61,Morocco,Africa,59,59,1590,150,26.95,49
62,Philippines,Asiatic Region,48,48,1845,239,38.44,52
63,Bulgaria,Eastern Europe,46,45,981,87,21.33,65
64,Kenya,Africa,43,42,1555,188,36.16,71
65,Qatar,Middle East,42,39,976,74,23.24,56
66,Sri Lanka,Asiatic Region,40,38,435,45,10.88,41
67,Viet Nam,Asiatic Region,39,38,885,113,22.69,52
68,Lithuania,Eastern Europe,37,36,1120,102,30.27,65
69,Cameroon,Africa,34,34,546,94,16.06,46
70,Uzbekistan,Asiatic Region,33,31,482,52,14.61,29
71,Nepal,Asiatic Region,33,33,630,91,19.09,35
72,Estonia,Eastern Europe,31,31,2377,166,76.68,85
73,Sudan,Africa,31,31,304,23,9.81,26
