Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,19882,19356,1449343,608453,72.9,945
2,Japan,Asiatic Region,6831,6768,362240,82696,53.03,470
3,Germany,Western Europe,4641,4554,285665,58089,61.55,530
4,United Kingdom,Western Europe,4290,4204,276020,46374,64.34,582
5,France,Western Europe,3603,3550,196721,32736,54.6,446
6,Italy,Western Europe,2627,2578,148448,27752,56.51,408
7,China,Asiatic Region,2624,2615,75011,31886,28.59,474
8,Canada,Northern America,2256,2223,137083,22266,60.76,434
9,Spain,Western Europe,2141,2118,104537,21782,48.83,369
10,India,Asiatic Region,1383,1379,52008,16772,37.61,282
11,Switzerland,Western Europe,1247,1223,81113,8424,65.05,375
12,Netherlands,Western Europe,1239,1214,83558,10389,67.44,385
13,Sweden,Western Europe,1212,1194,75921,9661,62.64,339
14,Russian Federation,Eastern Europe,1174,1170,29579,7296,25.2,217
15,South Korea,Asiatic Region,1147,1143,58040,9253,50.6,334
16,Australia,Pacific Region,1097,1074,68675,10593,62.6,378
17,Brazil,Latin America,975,972,39010,10882,40.01,226
18,Belgium,Western Europe,844,831,56042,6412,66.4,309
19,Poland,Eastern Europe,805,800,24577,5367,30.53,213
20,Israel,Middle East,668,656,49280,5481,73.77,288
21,Denmark,Western Europe,603,590,40667,4809,67.44,302
22,Taiwan,Asiatic Region,577,575,25593,3694,44.36,217
23,Austria,Western Europe,538,525,32708,3815,60.8,258
24,Finland,Western Europe,481,475,30626,3449,63.67,228
25,Turkey,Middle East,473,471,21848,3909,46.19,187
26,Hungary,Eastern Europe,445,442,19533,2888,43.89,181
27,Czech Republic,Eastern Europe,419,414,15155,3418,36.17,182
28,Argentina,Latin America,371,368,12952,2486,34.91,172
29,Greece,Western Europe,345,340,15145,2100,43.9,201
30,Portugal,Western Europe,330,328,17706,2623,53.65,195
31,Norway,Western Europe,279,278,16145,2106,57.87,209
32,Mexico,Latin America,264,262,10187,1751,38.59,157
33,Hong Kong,Asiatic Region,263,260,13439,1704,51.1,222
34,Ukraine,Eastern Europe,221,220,3122,688,14.13,105
35,Singapore,Asiatic Region,209,209,11639,1173,55.69,269
36,Iran,Middle East,202,201,6681,2756,33.07,174
37,New Zealand,Pacific Region,177,176,10061,897,56.84,189
38,Ireland,Western Europe,171,171,10321,1121,60.36,212
39,South Africa,Africa,170,170,7001,874,41.18,157
40,Egypt,Africa/Middle East,153,153,4040,968,26.41,131
41,Slovakia,Eastern Europe,141,140,4298,657,30.48,119
42,Slovenia,Eastern Europe,135,133,5179,789,38.36,124
43,Chile,Latin America,128,128,5749,936,44.91,138
44,Thailand,Asiatic Region,125,125,5591,622,44.73,139
45,Bulgaria,Eastern Europe,95,95,3738,326,39.35,96
46,Romania,Eastern Europe,87,80,2517,324,28.93,99
47,Saudi Arabia,Middle East,84,84,1799,293,21.42,185
48,Belarus,Eastern Europe,68,68,1853,257,27.25,67
49,Croatia,Eastern Europe,56,56,1352,224,24.14,108
50,Pakistan,Asiatic Region,53,53,2359,491,44.51,115
51,Venezuela,Latin America,52,52,2017,148,38.79,75
52,Morocco,Africa,52,52,1258,246,24.19,75
53,Malaysia,Asiatic Region,49,49,2409,351,49.16,130
54,Cuba,Latin America,45,45,1456,153,32.36,73
55,Estonia,Eastern Europe,42,42,1534,166,36.52,94
56,Colombia,Latin America,41,40,1848,302,45.07,81
57,Tunisia,Africa,37,37,828,215,22.38,90
58,Uruguay,Latin America,34,34,2339,326,68.79,102
59,Lithuania,Eastern Europe,31,31,2057,145,66.35,83
60,Serbia,Eastern Europe,27,26,694,90,25.7,82
61,Latvia,Eastern Europe,23,23,668,69,29.04,61
62,Kuwait,Middle East,20,20,426,83,21.3,51
63,Jordan,Middle East,19,19,414,38,21.79,64
64,Algeria,Africa,16,16,199,29,12.44,66
65,Bangladesh,Asiatic Region,16,16,709,73,44.31,67
66,Puerto Rico,Latin America,16,16,800,57,50.0,73
67,Indonesia,Asiatic Region,15,15,615,53,41.0,73
68,Nigeria,Africa,15,15,269,88,17.93,76
69,Cameroon,Africa,15,15,689,116,45.93,49
70,Kenya,Africa,14,14,608,139,43.43,77
71,Armenia,Eastern Europe,12,12,309,152,25.75,36
72,Uzbekistan,Asiatic Region,12,12,243,37,20.25,37
73,Lebanon,Middle East,12,12,1190,71,99.17,74
74,Costa Rica,Latin America,11,11,542,40,49.27,67
75,Iceland,Western Europe,11,11,1042,47,94.73,72
76,Georgia,Eastern Europe,11,11,312,66,28.36,49
77,Philippines,Asiatic Region,10,10,608,22,60.8,59
78,Viet Nam,Asiatic Region,9,9,381,28,42.33,76
79,Sri Lanka,Asiatic Region,9,9,742,9,82.44,57
80,Jamaica,Latin America,8,8,205,31,25.63,29
81,Palestine,Middle East,8,8,129,12,16.13,38
82,United Arab Emirates,Middle East,7,7,310,36,44.29,91
83,Oman,Middle East,7,7,173,8,24.71,48
84,Botswana,Africa,6,6,291,19,48.5,41
85,Albania,Eastern Europe,6,6,109,20,18.17,21
86,Luxembourg,Western Europe,6,5,116,1,19.33,80
87,Nepal,Asiatic Region,6,6,452,51,75.33,54
88,Cyprus,Western Europe,5,5,285,9,57.0,55
89,Côte d’Ivoire,Africa,5,5,112,3,22.4,26
90,Macedonia,Eastern Europe,5,5,107,16,21.4,39
91,Azerbaijan,Eastern Europe,4,4,25,12,6.25,36
92,Moldova,Eastern Europe,4,4,351,10,87.75,31
93,New Caledonia,Pacific Region,4,4,168,3,42.0,26
94,Peru,Latin America,4,4,165,1,41.25,56
95,Ethiopia,Africa,4,4,77,3,19.25,51
96,Ecuador,Latin America,4,4,76,9,19.0,42
97,Uganda,Africa,4,4,229,11,57.25,58
98,Senegal,Africa,3,3,88,3,29.33,29
99,Paraguay,Latin America,3,3,152,1,50.67,20
100,Libya,Africa,3,3,53,7,17.67,25
101,Gabon,Africa,3,3,87,0,29.0,22
102,Trinidad and Tobago,Latin America,3,3,87,1,29.0,24
103,Madagascar,Africa,3,3,107,12,35.67,29
104,Panama,Latin America,2,2,60,3,30.0,40
105,Ghana,Africa,2,2,66,3,33.0,47
106,Guadeloupe,Latin America,2,2,79,15,39.5,13
107,Sudan,Africa,2,2,16,3,8.0,34
108,Guam,Pacific Region,2,2,172,10,86.0,23
109,Malta,Western Europe,2,2,41,3,20.5,34
110,Bolivia,Latin America,1,1,107,8,107.0,32
111,Turkmenistan,Asiatic Region,1,1,21,0,21.0,1
112,Brunei Darussalam,Asiatic Region,1,1,211,17,211.0,23
113,Benin,Africa,1,1,18,4,18.0,26
114,Bahrain,Middle East,1,1,26,0,26.0,24
115,Tanzania,Africa,1,1,9,6,9.0,59
116,Barbados,Latin America,1,1,4,0,4.0,19
117,Liechtenstein,Western Europe,1,1,12,0,12.0,18
118,Kazakhstan,Asiatic Region,1,1,16,4,16.0,40
119,Angola,Africa,1,1,58,0,58.0,10
120,Iraq,Middle East,1,1,22,3,22.0,56
121,Lesotho,Africa,1,1,22,0,22.0,10
122,Vanuatu,Pacific Region,1,1,42,9,42.0,4
123,French Polynesia,Pacific Region,1,1,157,2,157.0,23
124,Papua New Guinea,Pacific Region,1,1,44,0,44.0,36
125,Zimbabwe,Africa,1,1,37,2,37.0,43
126,Fiji,Pacific Region,1,1,40,0,40.0,29
127,Yemen,Middle East,1,1,76,0,76.0,30
128,Liberia,Africa,1,1,54,0,54.0,9
129,Niger,Africa,1,1,15,0,15.0,15
130,Rwanda,Africa,1,1,54,2,54.0,26
131,Guyana,Latin America,1,1,8,3,8.0,6
132,Malawi,Africa,1,1,3,1,3.0,37
133,Mauritania,Africa,1,1,84,2,84.0,7
134,Syrian Arab Republic,Middle East,1,1,43,1,43.0,28
135,Togo,Africa,1,1,11,0,11.0,11
