Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,6682,6628,36483,24990,5.46,284
2,United States,Northern America,4680,4470,22421,8390,4.79,523
3,India,Asiatic Region,1844,1816,7751,3419,4.2,185
4,Japan,Asiatic Region,1403,1371,4559,1300,3.25,281
5,Germany,Western Europe,1307,1258,5960,1763,4.56,300
6,United Kingdom,Western Europe,1307,1246,6476,1378,4.95,327
7,Russian Federation,Eastern Europe,852,848,2432,918,2.85,149
8,France,Western Europe,839,808,3435,696,4.09,250
9,Italy,Western Europe,798,735,4525,1341,5.67,230
10,Canada,Northern America,785,757,3486,683,4.44,249
11,South Korea,Asiatic Region,769,764,4518,930,5.88,202
12,Brazil,Latin America,750,725,2462,709,3.28,139
13,Iran,Middle East,681,679,3423,1022,5.03,119
14,Australia,Pacific Region,628,588,3249,605,5.17,203
15,Turkey,Middle East,557,552,2715,938,4.87,103
16,Saudi Arabia,Middle East,495,495,3611,1429,7.29,96
17,Spain,Western Europe,483,458,2429,488,5.03,180
18,Netherlands,Western Europe,442,425,2534,549,5.73,226
19,Egypt,Africa/Middle East,411,409,2313,1169,5.63,73
20,Switzerland,Western Europe,350,337,1956,402,5.59,214
21,Poland,Eastern Europe,303,297,916,234,3.02,116
22,Taiwan,Asiatic Region,268,263,1269,272,4.74,151
23,Sweden,Western Europe,265,252,1265,192,4.77,195
24,Belgium,Western Europe,235,225,1027,191,4.37,161
25,Pakistan,Asiatic Region,229,229,1402,412,6.12,63
26,Austria,Western Europe,224,213,1023,174,4.57,135
27,Israel,Middle East,191,183,721,156,3.77,161
28,Denmark,Western Europe,188,180,1012,211,5.38,151
29,Mexico,Latin America,178,175,488,97,2.74,80
30,Portugal,Western Europe,165,157,1118,159,6.78,124
31,Hong Kong,Asiatic Region,159,151,1205,166,7.58,128
32,Czech Republic,Eastern Europe,156,145,689,111,4.42,111
33,Singapore,Asiatic Region,147,140,1241,113,8.44,180
34,Ireland,Western Europe,140,135,698,131,4.99,122
35,Malaysia,Asiatic Region,135,133,653,161,4.84,81
36,Thailand,Asiatic Region,120,119,823,189,6.86,73
37,South Africa,Africa,117,115,841,120,7.19,80
38,Norway,Western Europe,114,111,421,86,3.69,110
39,Nigeria,Africa,114,112,707,227,6.2,35
40,Argentina,Latin America,113,113,363,75,3.21,82
41,Ukraine,Eastern Europe,112,110,207,116,1.85,67
42,New Zealand,Pacific Region,108,103,444,68,4.11,110
43,Greece,Western Europe,106,96,516,96,4.87,93
44,Tunisia,Africa,101,101,363,73,3.59,49
45,Finland,Western Europe,99,89,425,78,4.29,137
46,Bangladesh,Asiatic Region,77,76,465,210,6.04,34
47,Chile,Latin America,69,67,459,45,6.65,68
48,Viet Nam,Asiatic Region,68,68,282,79,4.15,44
49,Hungary,Eastern Europe,62,60,434,57,7.0,105
50,Slovenia,Eastern Europe,62,60,425,78,6.85,89
51,United Arab Emirates,Middle East,57,54,691,60,12.12,43
52,Romania,Eastern Europe,52,51,198,43,3.81,69
53,Slovakia,Eastern Europe,47,44,96,26,2.04,76
54,Indonesia,Asiatic Region,45,45,173,41,3.84,32
55,Algeria,Africa,43,43,125,41,2.91,31
56,Bulgaria,Eastern Europe,43,38,77,25,1.79,65
57,Iraq,Middle East,41,40,169,65,4.12,35
58,Lithuania,Eastern Europe,41,40,175,35,4.27,58
59,Morocco,Africa,40,39,151,36,3.78,42
60,Colombia,Latin America,40,40,243,22,6.08,46
61,Serbia,Eastern Europe,38,36,98,24,2.58,45
62,Jordan,Middle East,34,34,221,111,6.5,31
63,Croatia,Eastern Europe,30,30,136,43,4.53,50
64,Qatar,Middle East,28,28,125,34,4.46,35
65,Belarus,Eastern Europe,28,28,112,20,4.0,45
66,Kazakhstan,Asiatic Region,27,27,239,44,8.85,28
67,Oman,Middle East,22,21,104,20,4.73,23
68,Estonia,Eastern Europe,22,21,283,12,12.86,64
69,Lebanon,Middle East,20,20,57,9,2.85,34
70,Luxembourg,Western Europe,19,19,65,6,3.42,32
71,Georgia,Eastern Europe,18,16,39,1,2.17,22
72,Cyprus,Western Europe,17,17,81,27,4.76,31
73,Ethiopia,Africa,16,16,52,17,3.25,19
74,Macao,Asiatic Region,16,16,85,6,5.31,37
75,Costa Rica,Latin America,15,14,35,6,2.33,40
76,Yemen,Middle East,15,15,84,33,5.6,16
77,Sri Lanka,Asiatic Region,14,14,51,7,3.64,18
78,Philippines,Asiatic Region,14,14,27,2,1.93,20
79,Uruguay,Latin America,13,11,56,10,4.31,53
80,Azerbaijan,Eastern Europe,12,12,19,10,1.58,20
81,Latvia,Eastern Europe,12,11,80,30,6.67,38
82,Armenia,Eastern Europe,11,11,26,11,2.36,25
83,Cuba,Latin America,11,9,31,7,2.82,43
84,Palestine,Middle East,10,10,63,12,6.3,22
85,Kuwait,Middle East,9,9,53,10,5.89,24
86,Iceland,Western Europe,9,9,40,9,4.44,29
87,Sudan,Africa,8,8,53,3,6.63,18
88,Malta,Western Europe,8,7,13,3,1.63,18
89,Bahrain,Middle East,7,7,32,3,4.57,15
90,Peru,Latin America,7,7,27,3,3.86,15
91,Syrian Arab Republic,Middle East,7,7,18,1,2.57,11
92,North Korea,Asiatic Region,6,6,14,3,2.33,7
93,Libya,Africa,6,6,26,0,4.33,12
94,Kenya,Africa,6,6,17,2,2.83,16
95,Venezuela,Latin America,5,5,15,3,3.0,37
96,Ecuador,Latin America,5,5,27,3,5.4,18
97,Bosnia and Herzegovina,Eastern Europe,5,5,6,1,1.2,11
98,Ghana,Africa,4,4,5,2,1.25,16
99,Macedonia,Eastern Europe,4,4,9,4,2.25,15
100,Nepal,Asiatic Region,4,4,7,0,1.75,24
101,Tanzania,Africa,4,4,14,4,3.5,9
102,Monaco,Western Europe,4,4,8,3,2.0,8
103,Moldova,Eastern Europe,4,3,6,2,1.5,12
104,Gambia,Africa,3,3,25,3,8.33,6
105,Fiji,Pacific Region,3,3,15,2,5.0,4
106,Botswana,Africa,3,3,20,1,6.67,10
107,Trinidad and Tobago,Latin America,3,3,1,0,0.33,8
