Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,9040,8206,716239,303171,79.23,822
2,Japan,Asiatic Region,2710,2640,114098,22541,42.1,360
3,Germany,Western Europe,1822,1697,119890,19641,65.8,416
4,China,Asiatic Region,1701,1689,41967,15551,24.67,315
5,United Kingdom,Western Europe,1676,1517,120615,17693,71.97,458
6,Italy,Western Europe,1566,1435,103431,15734,66.05,380
7,France,Western Europe,1170,1074,72839,9933,62.26,393
8,Canada,Northern America,895,834,76066,7879,84.99,391
9,Netherlands,Western Europe,800,740,74101,7521,92.63,358
10,Spain,Western Europe,749,679,42873,4571,57.24,322
11,Australia,Pacific Region,540,489,34828,4310,64.5,312
12,Sweden,Western Europe,509,478,48972,3593,96.21,281
13,South Korea,Asiatic Region,476,465,22029,2946,46.28,227
14,Greece,Western Europe,370,355,13309,1385,35.97,186
15,Belgium,Western Europe,370,321,22042,1741,59.57,270
16,Switzerland,Western Europe,365,345,28549,2011,78.22,298
17,Poland,Eastern Europe,323,310,13671,1450,42.33,186
18,Taiwan,Asiatic Region,315,300,17987,2608,57.1,196
19,Denmark,Western Europe,264,251,19385,1756,73.43,230
20,India,Asiatic Region,263,244,10525,2353,40.02,165
21,Austria,Western Europe,260,240,15060,1222,57.92,222
22,Turkey,Middle East,259,223,7811,723,30.16,116
23,Finland,Western Europe,254,244,15802,1114,62.21,212
24,Israel,Middle East,237,227,14770,1427,62.32,228
25,Norway,Western Europe,224,205,18749,1438,83.7,213
26,Brazil,Latin America,180,163,8257,1355,45.87,163
27,Hong Kong,Asiatic Region,152,141,9878,1061,64.99,179
28,Russian Federation,Eastern Europe,121,120,3321,375,27.45,141
29,Hungary,Eastern Europe,117,112,5922,338,50.62,130
30,Czech Republic,Eastern Europe,111,104,5208,602,46.92,152
31,Singapore,Asiatic Region,106,101,7093,491,66.92,176
32,Ireland,Western Europe,104,100,7039,451,67.68,162
33,Thailand,Asiatic Region,82,79,4762,510,58.07,104
34,Portugal,Western Europe,76,71,3900,433,51.32,154
35,Mexico,Latin America,74,72,3505,328,47.36,114
36,Egypt,Africa/Middle East,64,63,2700,150,42.19,99
37,Slovakia,Eastern Europe,64,64,3639,162,56.86,94
38,Iran,Middle East,58,57,2133,814,36.78,102
39,Argentina,Latin America,57,56,2269,255,39.81,106
40,Slovenia,Eastern Europe,51,51,4831,577,94.73,101
41,Ukraine,Eastern Europe,41,41,1350,155,32.93,72
42,New Zealand,Pacific Region,40,38,2910,201,72.75,122
43,Croatia,Eastern Europe,37,34,1850,74,50.0,82
44,Bulgaria,Eastern Europe,32,31,1666,39,52.06,60
45,South Africa,Africa,32,32,1919,165,59.97,98
46,Iceland,Western Europe,32,32,2969,60,92.78,100
47,Belarus,Eastern Europe,30,29,1825,69,60.83,55
48,Pakistan,Asiatic Region,23,20,500,182,21.74,67
49,Estonia,Eastern Europe,21,21,1925,21,91.67,76
50,Serbia,Eastern Europe,20,19,338,43,16.9,60
51,Romania,Eastern Europe,19,18,1033,48,54.37,90
52,Chile,Latin America,18,18,1028,100,57.11,94
53,Saudi Arabia,Middle East,15,15,1010,94,67.33,97
54,Malta,Western Europe,15,15,1549,19,103.27,51
55,Malaysia,Asiatic Region,15,15,885,246,59.0,87
56,Cuba,Latin America,13,13,692,165,53.23,45
57,Indonesia,Asiatic Region,12,12,450,43,37.5,46
58,Lithuania,Eastern Europe,11,11,365,20,33.18,58
59,Lebanon,Middle East,11,11,384,41,34.91,66
60,Colombia,Latin America,11,10,697,21,63.36,75
61,Peru,Latin America,10,9,1219,17,121.9,66
62,Uruguay,Latin America,10,10,469,69,46.9,61
63,Tunisia,Africa,10,10,255,25,25.5,45
64,Venezuela,Latin America,8,8,211,21,26.38,39
65,Puerto Rico,Latin America,8,7,306,3,38.25,57
66,Costa Rica,Latin America,8,8,1363,38,170.38,59
67,Philippines,Asiatic Region,7,7,907,15,129.57,49
68,Sri Lanka,Asiatic Region,7,7,776,47,110.86,35
69,United Arab Emirates,Middle East,7,6,728,6,104.0,52
70,Nigeria,Africa,7,7,586,101,83.71,49
71,Viet Nam,Asiatic Region,7,6,742,27,106.0,41
72,Luxembourg,Western Europe,6,6,324,33,54.0,62
73,Morocco,Africa,6,6,819,34,136.5,37
74,Uganda,Africa,6,6,301,50,50.17,45
75,Kuwait,Middle East,6,5,41,3,6.83,41
76,Latvia,Eastern Europe,5,5,285,25,57.0,50
77,Armenia,Eastern Europe,5,4,35,9,7.0,18
78,Bosnia and Herzegovina,Eastern Europe,4,4,67,1,16.75,24
79,Oman,Middle East,4,3,54,5,13.5,28
80,Zimbabwe,Africa,3,3,90,0,30.0,24
81,French Guiana,Latin America,3,3,135,0,45.0,7
82,Kenya,Africa,3,3,66,8,22.0,40
83,Tanzania,Africa,3,3,112,8,37.33,34
84,Macedonia,Eastern Europe,2,2,11,0,5.5,20
85,Andorra,Western Europe,2,2,34,0,17.0,5
86,Jordan,Middle East,2,2,251,4,125.5,47
87,Ethiopia,Africa,2,2,12,0,6.0,28
88,Algeria,Africa,2,2,698,0,349.0,33
89,Senegal,Africa,2,2,126,12,63.0,17
90,Jamaica,Latin America,2,2,27,1,13.5,25
91,Moldova,Eastern Europe,2,2,76,1,38.0,15
92,Myanmar,Asiatic Region,2,2,71,3,35.5,11
93,Monaco,Western Europe,2,2,55,0,27.5,29
94,Paraguay,Latin America,2,2,698,1,349.0,18
95,Mongolia,Asiatic Region,2,2,15,7,7.5,22
96,Cyprus,Western Europe,1,1,5,0,5.0,52
97,Uzbekistan,Asiatic Region,1,1,0,0,0.0,10
98,Congo,Africa,1,1,84,8,84.0,13
99,Burkina Faso,Africa,1,1,96,15,96.0,13
100,Yemen,Middle East,1,1,30,7,30.0,26
101,Albania,Eastern Europe,1,1,0,0,0.0,16
102,Mauritius,Africa,1,1,23,0,23.0,13
103,Qatar,Middle East,1,1,85,0,85.0,57
104,Mali,Africa,1,1,179,1,179.0,14
105,Sudan,Africa,1,1,19,2,19.0,28
106,Libya,Africa,1,1,6,0,6.0,24
107,Kazakhstan,Asiatic Region,1,1,2,0,2.0,24
108,Tajikistan,Asiatic Region,1,1,0,0,0.0,3
109,Iraq,Middle East,1,1,45,2,45.0,35
110,Guam,Pacific Region,1,1,17,8,17.0,7
111,Trinidad and Tobago,Latin America,1,1,15,3,15.0,15
112,Guatemala,Latin America,1,1,188,2,188.0,31
113,Guinea,Africa,1,1,28,0,28.0,9
