Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3104,2981,158404,64845,51.03,451
2,Japan,Asiatic Region,998,984,32588,6749,32.65,200
3,Germany,Western Europe,955,920,44051,8623,46.13,255
4,United Kingdom,Western Europe,889,837,37310,6442,41.97,273
5,France,Western Europe,737,717,27919,4256,37.88,215
6,Italy,Western Europe,609,590,29343,5560,48.18,250
7,China,Asiatic Region,542,542,5184,2096,9.56,183
8,Spain,Western Europe,391,380,14221,2678,36.37,183
9,Australia,Pacific Region,379,366,12784,1728,33.73,196
10,Netherlands,Western Europe,351,325,13730,1859,39.12,199
11,Canada,Northern America,341,333,15929,2379,46.71,218
12,Sweden,Western Europe,251,248,12050,1683,48.01,176
13,India,Asiatic Region,231,228,6967,2382,30.16,163
14,South Korea,Asiatic Region,192,192,4305,630,22.42,143
15,Poland,Eastern Europe,190,189,4799,912,25.26,121
16,Switzerland,Western Europe,185,182,12458,948,67.34,172
17,Belgium,Western Europe,182,181,7011,776,38.52,164
18,Russian Federation,Eastern Europe,176,175,1894,433,10.76,88
19,Denmark,Western Europe,163,159,9250,1272,56.75,165
20,Slovenia,Eastern Europe,160,159,1861,332,11.63,61
21,Finland,Western Europe,141,137,6946,890,49.26,138
22,Austria,Western Europe,129,126,4695,713,36.4,135
23,Brazil,Latin America,129,129,3976,1115,30.82,130
24,Czech Republic,Eastern Europe,124,124,2310,554,18.63,106
25,Hungary,Eastern Europe,116,116,3190,555,27.5,94
26,New Zealand,Pacific Region,111,102,2885,202,25.99,95
27,Taiwan,Asiatic Region,93,93,2837,422,30.51,120
28,Norway,Western Europe,87,85,3369,447,38.72,109
29,Argentina,Latin America,85,85,2719,374,31.99,93
30,Turkey,Middle East,84,83,2404,547,28.62,123
31,Israel,Middle East,81,80,5977,411,73.79,108
32,Greece,Western Europe,67,65,1893,375,28.25,122
33,Slovakia,Eastern Europe,47,46,511,200,10.87,63
34,Hong Kong,Asiatic Region,43,41,1756,228,40.84,109
35,Egypt,Africa/Middle East,41,41,1492,280,36.39,88
36,Mexico,Latin America,41,41,1518,235,37.02,83
37,Iran,Middle East,36,36,439,192,12.19,107
38,South Africa,Africa,30,30,981,144,32.7,75
39,Portugal,Western Europe,30,30,885,179,29.5,91
40,Chile,Latin America,29,29,1787,163,61.62,82
41,Saudi Arabia,Middle East,28,28,605,122,21.61,88
42,Serbia,Eastern Europe,27,26,416,77,15.41,58
43,Ireland,Western Europe,27,27,959,92,35.52,103
44,Croatia,Eastern Europe,25,25,472,103,18.88,68
45,Romania,Eastern Europe,25,25,423,67,16.92,53
46,Singapore,Asiatic Region,25,25,1279,75,51.16,96
47,Bulgaria,Eastern Europe,24,24,363,42,15.13,44
48,Thailand,Asiatic Region,17,16,705,106,41.47,74
49,Kuwait,Middle East,15,15,554,27,36.93,39
50,Venezuela,Latin America,14,13,491,44,35.07,43
51,Lithuania,Eastern Europe,10,10,532,30,53.2,36
52,Cuba,Latin America,10,9,243,31,24.3,47
53,Estonia,Eastern Europe,9,9,218,33,24.22,46
54,Pakistan,Asiatic Region,9,9,193,26,21.44,70
55,Lebanon,Middle East,7,6,252,15,36.0,39
56,Jordan,Middle East,7,7,172,21,24.57,40
57,Ukraine,Eastern Europe,7,7,186,47,26.57,46
58,Luxembourg,Western Europe,7,6,100,7,14.29,34
59,Puerto Rico,Latin America,7,7,176,10,25.14,31
60,Colombia,Latin America,7,6,145,29,20.71,45
61,Latvia,Eastern Europe,6,6,119,29,19.83,30
62,Nigeria,Africa,6,6,110,33,18.33,39
63,Belarus,Eastern Europe,5,5,236,25,47.2,28
64,Macedonia,Eastern Europe,5,5,13,4,2.6,29
65,Malaysia,Asiatic Region,5,5,158,52,31.6,60
66,Tunisia,Africa,5,5,175,20,35.0,49
67,Cyprus,Western Europe,4,4,71,16,17.75,38
68,Algeria,Africa,4,3,51,7,12.75,29
69,Indonesia,Asiatic Region,4,3,158,3,39.5,39
70,Morocco,Africa,4,3,59,10,14.75,34
71,Kenya,Africa,4,4,42,8,10.5,25
72,Oman,Middle East,3,1,8,1,2.67,23
73,Viet Nam,Asiatic Region,3,3,21,7,7.0,42
74,Sudan,Africa,2,2,19,1,9.5,20
75,Bosnia and Herzegovina,Eastern Europe,2,2,3,0,1.5,15
76,Uruguay,Latin America,2,1,45,6,22.5,45
77,Zimbabwe,Africa,2,2,79,1,39.5,16
78,Ghana,Africa,2,2,150,19,75.0,20
79,Syrian Arab Republic,Middle East,2,2,71,7,35.5,18
80,Georgia,Eastern Europe,2,2,5,2,2.5,32
81,Peru,Latin America,2,2,27,8,13.5,32
82,Gabon,Africa,2,1,70,6,35.0,12
83,Trinidad and Tobago,Latin America,1,1,9,1,9.0,17
84,Bangladesh,Asiatic Region,1,1,22,6,22.0,43
85,Guadeloupe,Latin America,1,1,12,4,12.0,9
86,Uzbekistan,Asiatic Region,1,1,43,3,43.0,14
87,Azerbaijan,Eastern Europe,1,1,7,4,7.0,7
88,Malawi,Africa,1,1,37,1,37.0,18
89,Zambia,Africa,1,1,1,1,1.0,8
90,Madagascar,Africa,1,1,2,1,2.0,17
91,New Caledonia,Pacific Region,1,1,51,0,51.0,7
92,Moldova,Eastern Europe,1,1,3,0,3.0,9
93,Ecuador,Latin America,1,1,59,2,59.0,19
94,Dominican Republic,Latin America,1,1,25,6,25.0,7
95,Philippines,Asiatic Region,1,1,10,0,10.0,31
96,Monaco,Western Europe,1,1,16,1,16.0,17
97,Palestine,Middle East,1,1,30,17,30.0,23
98,Sri Lanka,Asiatic Region,1,1,9,0,9.0,22
99,Ethiopia,Africa,1,1,42,0,42.0,27
100,Jamaica,Latin America,1,1,86,8,86.0,22
101,Cameroon,Africa,1,1,35,0,35.0,27
102,Armenia,Eastern Europe,1,1,31,1,31.0,16
103,Iceland,Western Europe,1,1,0,0,0.0,31
104,Senegal,Africa,1,1,13,2,13.0,14
105,Gambia,Africa,1,1,21,0,21.0,20
