Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3023,2974,225913,121002,74.73,568
2,Japan,Asiatic Region,668,660,26323,6433,39.41,274
3,United Kingdom,Western Europe,572,567,35369,7011,61.83,309
4,Germany,Western Europe,557,553,36816,7504,66.1,287
5,France,Western Europe,411,410,21747,3850,52.91,248
6,Canada,Northern America,355,352,19740,3150,55.61,243
7,Spain,Western Europe,250,249,7174,1283,28.7,176
8,Italy,Western Europe,213,212,8373,1414,39.31,190
9,Australia,Pacific Region,186,185,7890,1770,42.42,183
10,Netherlands,Western Europe,134,134,9229,983,68.87,200
11,Switzerland,Western Europe,108,107,8350,839,77.31,197
12,Sweden,Western Europe,106,106,4941,553,46.61,171
13,Israel,Middle East,88,87,7089,561,80.56,152
14,Czech Republic,Eastern Europe,75,74,2149,394,28.65,91
15,Belgium,Western Europe,60,60,2288,264,38.13,141
16,Finland,Western Europe,50,50,2962,419,59.24,131
17,Austria,Western Europe,48,48,3324,296,69.25,147
18,India,Asiatic Region,40,40,841,189,21.03,95
19,Brazil,Latin America,40,40,920,335,23.0,98
20,Denmark,Western Europe,40,39,2904,414,72.6,132
21,Argentina,Latin America,39,39,957,226,24.54,75
22,New Zealand,Pacific Region,38,38,1759,195,46.29,90
23,Mexico,Latin America,33,33,1160,245,35.15,72
24,Poland,Eastern Europe,32,32,790,165,24.69,87
25,China,Asiatic Region,31,31,847,197,27.32,175
26,Taiwan,Asiatic Region,25,25,845,90,33.8,99
27,Russian Federation,Eastern Europe,25,25,473,114,18.92,79
28,Norway,Western Europe,25,25,731,82,29.24,102
29,Hungary,Eastern Europe,24,24,1313,137,54.71,82
30,Greece,Western Europe,23,23,643,42,27.96,75
31,Romania,Eastern Europe,21,21,26,1,1.24,42
32,Chile,Latin America,20,20,687,66,34.35,71
33,South Korea,Asiatic Region,18,17,1321,82,73.39,127
34,Hong Kong,Asiatic Region,17,17,595,79,35.0,75
35,Singapore,Asiatic Region,17,17,882,83,51.88,133
36,Portugal,Western Europe,17,17,615,93,36.18,95
37,South Africa,Africa,13,13,161,24,12.38,55
38,Slovakia,Eastern Europe,12,11,273,46,22.75,40
39,Ireland,Western Europe,11,10,263,48,23.91,90
40,Turkey,Middle East,10,10,175,42,17.5,81
41,Bulgaria,Eastern Europe,8,8,175,26,21.88,28
42,Venezuela,Latin America,8,8,219,20,27.38,31
43,Saudi Arabia,Middle East,5,5,141,9,28.2,50
44,Uruguay,Latin America,5,5,285,15,57.0,35
45,Ukraine,Eastern Europe,4,4,121,13,30.25,34
46,Colombia,Latin America,4,4,181,3,45.25,33
47,Morocco,Africa,4,4,55,2,13.75,23
48,Egypt,Africa/Middle East,4,4,152,18,38.0,54
49,Croatia,Eastern Europe,4,4,59,5,14.75,38
50,Puerto Rico,Latin America,3,3,27,2,9.0,30
51,United Arab Emirates,Middle East,3,3,157,38,52.33,33
52,Thailand,Asiatic Region,3,3,107,2,35.67,52
53,Tanzania,Africa,3,3,84,0,28.0,16
54,Iran,Middle East,3,3,76,32,25.33,63
55,Kuwait,Middle East,2,2,22,5,11.0,21
56,Serbia,Eastern Europe,2,2,153,0,76.5,33
57,Ecuador,Latin America,2,2,127,16,63.5,16
58,Lebanon,Middle East,2,2,31,18,15.5,22
59,Slovenia,Eastern Europe,2,2,56,12,28.0,38
60,Senegal,Africa,1,1,20,8,20.0,9
61,Bangladesh,Asiatic Region,1,1,28,0,28.0,23
62,Bolivia,Latin America,1,1,98,0,98.0,7
63,Belarus,Eastern Europe,1,1,25,0,25.0,13
64,Cuba,Latin America,1,1,4,0,4.0,22
65,Estonia,Eastern Europe,1,1,133,6,133.0,39
66,Fiji,Pacific Region,1,1,11,1,11.0,1
67,Grenada,Latin America,1,1,31,0,31.0,15
68,Guam,Pacific Region,1,1,54,3,54.0,4
69,Indonesia,Asiatic Region,1,1,7,1,7.0,27
70,Jamaica,Latin America,1,1,8,1,8.0,6
71,Jordan,Middle East,1,1,40,0,40.0,16
72,Kenya,Africa,1,1,3,1,3.0,22
73,Sri Lanka,Asiatic Region,1,1,43,4,43.0,14
74,Lithuania,Eastern Europe,1,1,4,1,4.0,20
75,Latvia,Eastern Europe,1,1,30,4,30.0,13
76,Northern Mariana Islands,Asiatic Region,1,1,1,0,1.0,1
77,Malaysia,Asiatic Region,1,1,5,2,5.0,40
78,Nigeria,Africa,1,1,64,5,64.0,19
79,Oman,Middle East,1,1,11,0,11.0,11
80,Peru,Latin America,1,1,98,0,98.0,20
81,Philippines,Asiatic Region,1,1,52,0,52.0,14
82,Pakistan,Asiatic Region,1,1,1,0,1.0,31
83,Paraguay,Latin America,1,1,98,0,98.0,1
84,Qatar,Middle East,1,1,39,0,39.0,23
85,Uganda,Africa,1,1,22,0,22.0,6
