Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3086,3020,184194,83120,59.69,508
2,Japan,Asiatic Region,1006,989,28096,6183,27.93,218
3,United Kingdom,Western Europe,854,810,53658,9885,62.83,320
4,Germany,Western Europe,742,725,28746,5475,38.74,280
5,Italy,Western Europe,710,682,25816,5412,36.36,270
6,France,Western Europe,680,662,24975,4355,36.73,252
7,Canada,Northern America,435,430,22610,3810,51.98,257
8,Sweden,Western Europe,326,321,19917,2455,61.1,209
9,Australia,Pacific Region,319,310,24267,2626,76.07,233
10,Spain,Western Europe,263,258,9997,2015,38.01,215
11,Netherlands,Western Europe,239,237,20695,2605,86.59,249
12,Belgium,Western Europe,171,166,8252,1012,48.26,197
13,Denmark,Western Europe,152,148,8172,1140,53.76,206
14,Switzerland,Western Europe,149,144,6987,622,46.89,189
15,Finland,Western Europe,134,128,7021,831,52.4,150
16,Israel,Middle East,109,106,3892,532,35.71,146
17,Argentina,Latin America,103,103,3474,628,33.73,113
18,Poland,Eastern Europe,91,89,2073,428,22.78,124
19,Austria,Western Europe,83,80,1997,226,24.06,141
20,Brazil,Latin America,77,76,2983,632,38.74,145
21,Czech Republic,Eastern Europe,75,75,831,250,11.08,95
22,New Zealand,Pacific Region,69,67,3032,349,43.94,126
23,India,Asiatic Region,66,66,1673,556,25.35,118
24,Greece,Western Europe,65,62,2441,257,37.55,145
25,Hungary,Eastern Europe,63,62,1905,297,30.24,102
26,Norway,Western Europe,56,55,2070,244,36.96,121
27,Turkey,Middle East,44,42,1235,169,28.07,116
28,China,Asiatic Region,42,42,1444,194,34.38,163
29,Mexico,Latin America,41,41,1342,345,32.73,101
30,South Africa,Africa,36,36,1538,230,42.72,97
31,South Korea,Asiatic Region,34,34,1112,230,32.71,137
32,Taiwan,Asiatic Region,34,32,1321,161,38.85,102
33,Hong Kong,Asiatic Region,33,33,1310,186,39.7,99
34,Ireland,Western Europe,26,25,1087,70,41.81,112
35,Russian Federation,Eastern Europe,21,20,1074,126,51.14,79
36,Chile,Latin America,21,21,481,78,22.9,87
37,Egypt,Africa/Middle East,20,20,656,47,32.8,66
38,Slovakia,Eastern Europe,20,20,544,140,27.2,66
39,Thailand,Asiatic Region,18,18,671,40,37.28,65
40,Romania,Eastern Europe,17,17,57,3,3.35,48
41,Singapore,Asiatic Region,17,17,634,38,37.29,91
42,Portugal,Western Europe,14,14,787,42,56.21,96
43,Croatia,Eastern Europe,11,11,373,23,33.91,46
44,Bulgaria,Eastern Europe,10,10,154,20,15.4,47
45,Estonia,Eastern Europe,8,8,417,33,52.13,46
46,Indonesia,Asiatic Region,7,7,78,13,11.14,36
47,Saudi Arabia,Middle East,6,6,162,8,27.0,68
48,Venezuela,Latin America,6,6,752,7,125.33,45
49,Morocco,Africa,5,5,122,0,24.4,39
50,Kuwait,Middle East,5,5,257,72,51.4,38
51,Ecuador,Latin America,5,5,159,20,31.8,28
52,Slovenia,Eastern Europe,4,4,113,25,28.25,60
53,Latvia,Eastern Europe,4,4,258,21,64.5,30
54,Malaysia,Asiatic Region,4,4,248,3,62.0,63
55,Serbia,Eastern Europe,4,4,13,2,3.25,56
56,Puerto Rico,Latin America,3,3,193,4,64.33,30
57,Costa Rica,Latin America,3,3,64,11,21.33,23
58,Bangladesh,Asiatic Region,3,3,61,14,20.33,31
59,Pakistan,Asiatic Region,3,3,58,0,19.33,56
60,Kenya,Africa,3,3,89,4,29.67,33
61,Cyprus,Western Europe,3,3,109,8,36.33,29
62,United Arab Emirates,Middle East,2,2,311,16,155.5,62
63,Belarus,Eastern Europe,2,2,57,14,28.5,28
64,Côte d’Ivoire,Africa,2,2,40,3,20.0,12
65,Colombia,Latin America,2,2,38,0,19.0,50
66,Cuba,Latin America,2,2,78,1,39.0,24
67,Iran,Middle East,2,2,18,8,9.0,81
68,Jamaica,Latin America,2,2,43,5,21.5,23
69,Mauritius,Africa,2,2,85,2,42.5,15
70,Philippines,Asiatic Region,2,2,83,5,41.5,33
71,Uruguay,Latin America,2,2,35,18,17.5,33
72,Uzbekistan,Asiatic Region,2,1,16,1,8.0,6
73,Oman,Middle East,1,1,30,0,30.0,26
74,Peru,Latin America,1,1,21,0,21.0,38
75,Armenia,Eastern Europe,1,1,8,0,8.0,12
76,Malta,Western Europe,1,1,250,1,250.0,24
77,Macedonia,Eastern Europe,1,1,218,6,218.0,24
78,Monaco,Western Europe,1,1,12,0,12.0,13
79,Libya,Africa,1,1,9,1,9.0,11
80,Paraguay,Latin America,1,1,30,2,30.0,9
81,Luxembourg,Western Europe,1,1,9,0,9.0,31
82,Lithuania,Eastern Europe,1,1,0,0,0.0,25
83,Lebanon,Middle East,1,1,54,2,54.0,46
84,Jordan,Middle East,1,1,46,1,46.0,37
85,Sudan,Africa,1,1,49,9,49.0,18
86,Iceland,Western Europe,1,1,342,6,342.0,34
87,Gambia,Africa,1,1,12,3,12.0,12
88,Ghana,Africa,1,1,10,6,10.0,18
89,Ethiopia,Africa,1,1,12,4,12.0,22
90,Senegal,Africa,1,1,2,0,2.0,10
91,Algeria,Africa,1,1,49,3,49.0,26
92,Dominican Republic,Latin America,1,1,82,0,82.0,9
93,Congo,Africa,1,1,23,0,23.0,9
94,Tanzania,Africa,1,1,14,2,14.0,23
95,Central African Republic,Africa,1,1,8,0,8.0,2
96,Burundi,Africa,1,1,39,0,39.0,4
97,Nigeria,Africa,1,1,30,4,30.0,36
98,Nepal,Asiatic Region,1,1,8,8,8.0,17
99,Niger,Africa,1,1,17,0,17.0,3
