Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,23710,23595,1198548,593581,50.55,1016
2,Japan,Asiatic Region,5306,5297,231637,59967,43.66,499
3,United Kingdom,Western Europe,4049,3995,282004,49132,69.65,642
4,Germany,Western Europe,3668,3638,229064,50041,62.45,583
5,France,Western Europe,2907,2882,173558,31560,59.7,486
6,Canada,Northern America,2501,2491,125338,21550,50.12,462
7,Italy,Western Europe,1687,1668,77940,14443,46.2,388
8,Netherlands,Western Europe,1075,1068,61742,8215,57.43,396
9,Spain,Western Europe,1030,1024,47386,9377,46.01,357
10,Switzerland,Western Europe,996,989,71898,7118,72.19,413
11,Australia,Pacific Region,989,985,55096,8773,55.71,411
12,Sweden,Western Europe,905,898,54845,8023,60.6,370
13,India,Asiatic Region,798,796,16607,5983,20.81,246
14,South Korea,Asiatic Region,621,620,13855,2288,22.31,284
15,Belgium,Western Europe,561,559,33567,4207,59.83,331
16,Russian Federation,Eastern Europe,540,538,17990,3729,33.31,215
17,China,Asiatic Region,516,514,9153,3022,17.74,378
18,Israel,Middle East,514,509,35027,3903,68.15,320
19,Denmark,Western Europe,423,418,25899,3373,61.23,332
20,Brazil,Latin America,391,389,12273,3732,31.39,212
21,Taiwan,Asiatic Region,358,358,11384,1749,31.8,196
22,Austria,Western Europe,324,319,16249,2268,50.15,277
23,Finland,Western Europe,296,296,19481,2739,65.81,252
24,Czech Republic,Eastern Europe,251,251,5561,1013,22.16,168
25,Argentina,Latin America,250,248,6076,1409,24.3,170
26,Poland,Eastern Europe,249,247,8493,1445,34.11,197
27,Slovakia,Eastern Europe,232,232,2569,470,11.07,112
28,New Zealand,Pacific Region,203,202,8633,928,42.53,193
29,Norway,Western Europe,179,178,10835,1378,60.53,228
30,Hungary,Eastern Europe,173,171,5453,990,31.52,193
31,Mexico,Latin America,154,154,5217,955,33.88,168
32,Hong Kong,Asiatic Region,121,119,19307,486,159.56,178
33,Greece,Western Europe,119,117,4166,644,35.01,182
34,South Africa,Africa,94,94,2785,365,29.63,172
35,Portugal,Western Europe,93,93,3293,722,35.41,201
36,Ireland,Western Europe,87,87,3544,463,40.74,225
37,Singapore,Asiatic Region,80,80,5858,400,73.23,232
38,Chile,Latin America,77,77,2256,360,29.3,147
39,Turkey,Middle East,64,64,1908,317,29.81,148
40,Egypt,Africa/Middle East,63,63,1103,104,17.51,123
41,Bulgaria,Eastern Europe,56,56,1191,182,21.27,86
42,Ukraine,Eastern Europe,47,47,1363,147,29.0,85
43,Slovenia,Eastern Europe,39,39,1378,305,35.33,121
44,Thailand,Asiatic Region,39,39,1683,153,43.15,139
45,Venezuela,Latin America,29,29,922,106,31.79,75
46,Saudi Arabia,Middle East,28,28,261,76,9.32,149
47,Estonia,Eastern Europe,25,24,993,176,39.72,107
48,Puerto Rico,Latin America,23,23,484,21,21.04,73
49,Croatia,Eastern Europe,23,23,900,106,39.13,109
50,Uruguay,Latin America,21,21,2301,231,109.57,94
51,Cuba,Latin America,21,21,463,30,22.05,68
52,Romania,Eastern Europe,19,19,314,33,16.53,89
53,Iran,Middle East,19,19,265,104,13.95,136
54,Morocco,Africa,18,18,597,46,33.17,63
55,Lithuania,Eastern Europe,17,17,752,85,44.24,78
56,Malaysia,Asiatic Region,17,17,394,54,23.18,115
57,Indonesia,Asiatic Region,16,16,497,34,31.06,76
58,Pakistan,Asiatic Region,15,15,297,73,19.8,113
59,Colombia,Latin America,15,15,518,53,34.53,91
60,Belarus,Eastern Europe,15,15,417,60,27.8,60
61,Lebanon,Middle East,15,15,243,33,16.2,66
62,Nigeria,Africa,14,14,380,28,27.14,86
63,Costa Rica,Latin America,14,14,478,99,34.14,62
64,Serbia,Eastern Europe,14,14,435,41,31.07,73
65,United Arab Emirates,Middle East,12,12,229,31,19.08,77
66,Kuwait,Middle East,11,11,392,28,35.64,50
67,Kenya,Africa,11,11,420,31,38.18,87
68,Latvia,Eastern Europe,10,10,393,44,39.3,55
69,Philippines,Asiatic Region,10,10,646,44,64.6,76
70,Armenia,Eastern Europe,9,9,450,28,50.0,32
71,Sri Lanka,Asiatic Region,9,9,249,26,27.67,51
72,Guatemala,Latin America,8,8,11,0,1.38,16
73,Jamaica,Latin America,8,8,41,6,5.13,32
74,Bangladesh,Asiatic Region,8,8,92,2,11.5,69
75,Tunisia,Africa,8,8,316,94,39.5,77
76,Zimbabwe,Africa,7,7,271,11,38.71,44
77,Algeria,Africa,7,7,445,36,63.57,57
78,Iceland,Western Europe,7,7,128,18,18.29,94
79,Cyprus,Western Europe,6,6,244,20,40.67,55
80,Ethiopia,Africa,5,5,170,11,34.0,44
81,Ghana,Africa,4,4,228,14,57.0,55
82,Jordan,Middle East,4,4,92,8,23.0,54
83,Viet Nam,Asiatic Region,4,4,140,7,35.0,72
84,Tanzania,Africa,4,4,102,0,25.5,64
85,Guadeloupe,Latin America,4,4,57,8,14.25,21
86,Panama,Latin America,4,4,192,34,48.0,62
87,French Polynesia,Pacific Region,3,3,129,18,43.0,19
88,Senegal,Africa,3,3,41,2,13.67,41
89,Trinidad and Tobago,Latin America,3,3,30,2,10.0,26
90,Gambia,Africa,2,2,27,1,13.5,43
91,Georgia,Eastern Europe,2,2,19,1,9.5,38
92,Nicaragua,Latin America,2,2,15,1,7.5,15
93,Paraguay,Latin America,2,2,44,1,22.0,17
