Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6983,6541,381577,152398,54.64,631
2,China,Asiatic Region,2387,2372,77661,34020,32.53,265
3,Germany,Western Europe,1462,1398,70055,13263,47.92,331
4,Japan,Asiatic Region,1410,1383,47481,9849,33.67,269
5,United Kingdom,Western Europe,1409,1318,71629,11907,50.84,351
6,Italy,Western Europe,1133,1098,55050,11459,48.59,272
7,South Korea,Asiatic Region,878,862,29728,4970,33.86,182
8,France,Western Europe,868,831,39245,6161,45.21,266
9,Canada,Northern America,785,750,38273,5681,48.76,274
10,India,Asiatic Region,628,623,27593,9051,43.94,189
11,Spain,Western Europe,594,566,27589,4610,46.45,213
12,Netherlands,Western Europe,501,474,28739,3632,57.36,236
13,Australia,Pacific Region,494,470,24288,3798,49.17,218
14,Switzerland,Western Europe,436,410,26390,2731,60.53,247
15,Belgium,Western Europe,364,341,18434,2039,50.64,195
16,Sweden,Western Europe,317,305,17539,1924,55.33,208
17,Taiwan,Asiatic Region,313,309,11881,1896,37.96,142
18,Brazil,Latin America,310,299,12782,3289,41.23,152
19,Austria,Western Europe,221,207,10204,1158,46.17,163
20,Israel,Middle East,183,170,11025,1169,60.25,168
21,Denmark,Western Europe,180,176,8101,889,45.01,174
22,Greece,Western Europe,172,158,6292,1200,36.58,119
23,Poland,Eastern Europe,171,171,5723,1043,33.47,124
24,Russian Federation,Eastern Europe,164,161,4765,940,29.05,114
25,Portugal,Western Europe,155,146,8310,1333,53.61,125
26,Thailand,Asiatic Region,147,146,5023,854,34.17,97
27,Singapore,Asiatic Region,140,132,6666,566,47.61,139
28,Turkey,Middle East,134,129,4904,1217,36.6,117
29,Czech Republic,Eastern Europe,133,129,5559,1121,41.8,110
30,Hong Kong,Asiatic Region,131,125,6223,651,47.5,124
31,Iran,Middle East,126,126,4292,1399,34.06,108
32,Mexico,Latin America,121,119,5978,686,49.4,108
33,Egypt,Africa/Middle East,115,114,4430,684,38.52,104
34,Finland,Western Europe,113,108,7568,695,66.97,140
35,Malaysia,Asiatic Region,111,110,4763,837,42.91,97
36,Ireland,Western Europe,110,103,6164,555,56.04,116
37,Norway,Western Europe,101,99,4720,463,46.73,123
38,Argentina,Latin America,97,96,4174,504,43.03,90
39,South Africa,Africa,93,90,4242,689,45.61,110
40,Hungary,Eastern Europe,83,80,2865,373,34.52,106
41,New Zealand,Pacific Region,78,71,3180,300,40.77,100
42,Saudi Arabia,Middle East,69,63,2229,475,32.3,95
43,Croatia,Eastern Europe,51,50,1458,334,28.59,65
