Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1786,1732,50319,21275,28.17,429
2,China,Asiatic Region,1054,1050,23385,12844,22.19,160
3,India,Asiatic Region,559,552,13569,4652,24.27,144
4,United Kingdom,Western Europe,522,478,16989,3320,32.55,299
5,Germany,Western Europe,516,500,13540,2953,26.24,266
6,Japan,Asiatic Region,376,366,6795,1350,18.07,205
7,France,Western Europe,318,309,8657,1548,27.22,216
8,Canada,Northern America,240,237,6397,1024,26.65,179
9,Italy,Western Europe,208,201,3954,934,19.01,155
10,Australia,Pacific Region,193,179,6364,886,32.97,151
11,South Korea,Asiatic Region,181,181,3836,585,21.19,116
12,Brazil,Latin America,178,176,4156,912,23.35,93
13,Russian Federation,Eastern Europe,177,177,1600,638,9.04,114
14,Iran,Middle East,157,157,5622,1844,35.81,93
15,Spain,Western Europe,150,145,3696,678,24.64,146
16,Switzerland,Western Europe,144,140,5548,688,38.53,182
17,Poland,Eastern Europe,113,112,2127,400,18.82,97
18,Netherlands,Western Europe,111,105,3943,503,35.52,153
19,Sweden,Western Europe,100,100,2510,272,25.1,150
20,Saudi Arabia,Middle East,89,89,3080,601,34.61,77
21,Denmark,Western Europe,87,84,2629,293,30.22,132
22,Egypt,Africa/Middle East,85,85,2373,597,27.92,69
23,Turkey,Middle East,76,75,1495,227,19.67,68
24,Belgium,Western Europe,74,72,1840,235,24.86,130
25,Israel,Middle East,71,69,2589,301,36.46,149
26,Taiwan,Asiatic Region,66,65,892,160,13.52,83
27,Austria,Western Europe,58,57,1470,151,25.34,106
28,Malaysia,Asiatic Region,55,55,1619,309,29.44,64
29,Pakistan,Asiatic Region,52,52,2046,222,39.35,66
30,Portugal,Western Europe,52,51,991,162,19.06,80
31,Singapore,Asiatic Region,48,45,1192,146,24.83,82
32,Czech Republic,Eastern Europe,48,48,744,182,15.5,72
33,Finland,Western Europe,43,41,780,157,18.14,95
34,Hong Kong,Asiatic Region,42,42,1075,53,25.6,66
35,Mexico,Latin America,41,39,645,145,15.73,69
36,New Zealand,Pacific Region,40,40,725,112,18.13,79
37,South Africa,Africa,38,38,1320,166,34.74,57
38,Romania,Eastern Europe,34,34,290,65,8.53,39
39,Norway,Western Europe,32,32,566,86,17.69,81
40,Greece,Western Europe,31,31,541,93,17.45,63
41,Tunisia,Africa,31,31,629,108,20.29,48
42,Thailand,Asiatic Region,30,30,652,55,21.73,56
43,Argentina,Latin America,29,28,485,99,16.72,62
44,Ireland,Western Europe,24,24,661,69,27.54,70
45,Chile,Latin America,22,21,442,57,20.09,49
46,Hungary,Eastern Europe,21,21,397,51,18.9,78
47,Croatia,Eastern Europe,12,12,223,58,18.58,36
48,Algeria,Africa,11,10,616,87,56.0,38
49,Serbia,Eastern Europe,10,10,149,20,14.9,25
50,Bangladesh,Asiatic Region,10,10,344,78,34.4,29
51,Slovenia,Eastern Europe,9,9,107,22,11.89,57
52,Slovakia,Eastern Europe,8,7,95,14,11.88,47
53,Bulgaria,Eastern Europe,8,8,146,19,18.25,35
54,Indonesia,Asiatic Region,8,8,125,27,15.63,25
55,Iraq,Middle East,8,8,77,27,9.63,23
56,Qatar,Middle East,8,8,69,6,8.63,22
57,Lithuania,Eastern Europe,7,7,193,16,27.57,37
58,United Arab Emirates,Middle East,7,7,310,16,44.29,32
59,Colombia,Latin America,6,6,51,18,8.5,30
60,Viet Nam,Asiatic Region,6,6,154,19,25.67,31
61,Estonia,Eastern Europe,6,6,47,15,7.83,33
62,Nigeria,Africa,6,6,485,26,80.83,25
63,Ukraine,Eastern Europe,6,6,68,22,11.33,45
64,Uruguay,Latin America,6,6,82,17,13.67,22
65,Jordan,Middle East,5,5,40,7,8.0,15
66,Latvia,Eastern Europe,5,5,63,16,12.6,22
67,Armenia,Eastern Europe,4,4,32,18,8.0,12
68,Sri Lanka,Asiatic Region,4,4,33,3,8.25,12
69,Palestine,Middle East,4,4,26,5,6.5,10
70,Macao,Asiatic Region,4,4,95,1,23.75,13
71,Venezuela,Latin America,3,3,121,18,40.33,22
72,Oman,Middle East,3,3,134,6,44.67,22
73,Ecuador,Latin America,3,3,15,1,5.0,8
74,Kenya,Africa,3,3,63,0,21.0,12
75,Sudan,Africa,3,3,16,2,5.33,11
76,Cuba,Latin America,3,3,13,6,4.33,26
77,Iceland,Western Europe,3,3,74,0,24.67,16
78,Azerbaijan,Eastern Europe,3,3,15,8,5.0,15
79,Saint Kitts and Nevis,Latin America,2,2,21,7,10.5,3
80,Kazakhstan,Asiatic Region,2,2,14,0,7.0,9
81,Lebanon,Middle East,2,2,42,0,21.0,13
82,Peru,Latin America,2,2,31,0,15.5,11
83,Philippines,Asiatic Region,2,2,37,2,18.5,18
84,Ghana,Africa,2,2,19,1,9.5,9
85,Fiji,Pacific Region,2,2,33,7,16.5,12
86,Cyprus,Western Europe,2,2,26,2,13.0,21
87,Rwanda,Africa,1,1,9,0,9.0,2
