Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,17476,15600,333834,105113,19.1,900
2,United Kingdom,Western Europe,7060,6197,162527,33603,23.02,486
3,China,Asiatic Region,6207,6096,143560,75659,23.13,278
4,Germany,Western Europe,4360,3856,67239,12775,15.42,328
5,India,Asiatic Region,4013,3874,51519,17011,12.84,207
6,Australia,Pacific Region,3882,3539,84979,14777,21.89,349
7,Italy,Western Europe,2895,2537,55353,12971,19.12,252
8,Russian Federation,Eastern Europe,2840,2785,14508,9171,5.11,86
9,Canada,Northern America,2838,2609,53314,6544,18.79,408
10,France,Western Europe,2641,2357,42394,5319,16.05,299
11,Brazil,Latin America,2494,2423,21345,5089,8.56,146
12,Spain,Western Europe,2455,2306,51143,9978,20.83,273
13,Malaysia,Asiatic Region,2195,2157,27441,7022,12.5,163
14,Netherlands,Western Europe,1799,1622,47902,5632,26.63,366
15,South Korea,Asiatic Region,1719,1690,28219,4326,16.42,246
16,Indonesia,Asiatic Region,1538,1521,9403,4314,6.11,83
17,Sweden,Western Europe,1309,1221,31471,4136,24.04,264
18,South Africa,Africa,1264,1214,14724,2887,11.65,132
19,Poland,Eastern Europe,1260,1140,10906,3046,8.66,95
20,Taiwan,Asiatic Region,1251,1174,19235,2351,15.38,243
21,Hong Kong,Asiatic Region,1194,1123,32392,3179,27.13,316
22,Iran,Middle East,1175,1163,18907,4685,16.09,134
23,Japan,Asiatic Region,1084,986,9919,1657,9.15,158
24,Finland,Western Europe,1039,960,25606,3267,24.64,227
25,Portugal,Western Europe,1039,949,18593,2527,17.9,166
26,Ukraine,Eastern Europe,957,954,5466,4362,5.71,45
27,Turkey,Middle East,941,818,13367,1800,14.21,176
28,Switzerland,Western Europe,901,797,22113,1649,24.54,229
29,Denmark,Western Europe,900,827,22977,2302,25.53,224
30,New Zealand,Pacific Region,808,741,17169,1674,21.25,206
31,Colombia,Latin America,802,783,4970,1194,6.2,75
32,Norway,Western Europe,786,738,16742,1887,21.3,203
33,Belgium,Western Europe,783,699,17568,1465,22.44,222
