Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1749,1667,53103,21074,30.36,489
2,United Kingdom,Western Europe,533,512,16328,3837,30.63,222
3,Australia,Pacific Region,335,323,7467,1782,22.29,161
4,China,Asiatic Region,292,289,3190,1330,10.92,101
5,Germany,Western Europe,271,261,6080,1008,22.44,116
6,Canada,Northern America,220,211,5480,688,24.91,162
7,Spain,Western Europe,202,196,3288,688,16.28,98
8,France,Western Europe,156,152,4102,437,26.29,114
9,Italy,Western Europe,153,146,3556,881,23.24,110
10,Malaysia,Asiatic Region,116,116,1201,459,10.35,57
11,Hong Kong,Asiatic Region,107,107,4683,352,43.77,152
12,Netherlands,Western Europe,102,97,3382,341,33.16,131
13,New Zealand,Pacific Region,81,78,2495,296,30.8,86
14,Taiwan,Asiatic Region,78,78,1123,138,14.4,54
15,Switzerland,Western Europe,69,68,1507,179,21.84,98
16,Singapore,Asiatic Region,61,60,2096,92,34.36,98
17,South Korea,Asiatic Region,57,57,1430,139,25.09,81
18,Brazil,Latin America,56,56,211,85,3.77,26
19,Sweden,Western Europe,53,52,1985,146,37.45,87
20,Finland,Western Europe,46,46,1326,179,28.83,82
21,Japan,Asiatic Region,43,43,621,89,14.44,57
22,Poland,Eastern Europe,43,43,222,85,5.16,25
23,Denmark,Western Europe,41,38,2077,132,50.66,80
24,South Africa,Africa,41,41,1239,235,30.22,41
25,Belgium,Western Europe,38,36,1348,93,35.47,81
26,India,Asiatic Region,37,36,724,107,19.57,38
27,Norway,Western Europe,35,33,1027,60,29.34,57
28,Portugal,Western Europe,35,35,781,100,22.31,54
29,Austria,Western Europe,30,30,671,69,22.37,56
30,Ireland,Western Europe,29,29,784,130,27.03,55
31,Greece,Western Europe,28,28,314,31,11.21,48
32,Turkey,Middle East,26,22,472,23,18.15,36
33,Tunisia,Africa,25,25,203,53,8.12,32
34,Israel,Middle East,22,21,389,39,17.68,59
35,Philippines,Asiatic Region,21,20,86,15,4.1,15
36,Colombia,Latin America,19,17,211,59,11.11,17
37,Russian Federation,Eastern Europe,18,18,147,80,8.17,24
38,Chile,Latin America,17,17,271,45,15.94,33
39,Thailand,Asiatic Region,17,17,440,57,25.88,27
40,United Arab Emirates,Middle East,15,15,309,14,20.6,37
41,Czech Republic,Eastern Europe,15,15,194,25,12.93,24
42,Indonesia,Asiatic Region,14,14,173,49,12.36,33
43,Egypt,Africa/Middle East,14,14,154,30,11.0,32
44,Saudi Arabia,Middle East,10,10,158,25,15.8,30
45,Mexico,Latin America,10,9,44,18,4.4,23
46,Nigeria,Africa,9,9,61,4,6.78,21
47,Macao,Asiatic Region,8,8,107,1,13.38,18
48,Iran,Middle East,7,7,77,37,11.0,17
49,Romania,Eastern Europe,6,5,165,33,27.5,19
50,Argentina,Latin America,6,6,36,7,6.0,20
51,Serbia,Eastern Europe,6,6,39,13,6.5,10
52,Slovakia,Eastern Europe,6,6,29,8,4.83,14
53,Cyprus,Western Europe,5,5,93,14,18.6,30
54,Qatar,Middle East,5,5,59,5,11.8,18
55,Ghana,Africa,5,5,86,5,17.2,27
56,Pakistan,Asiatic Region,5,5,41,2,8.2,26
57,Luxembourg,Western Europe,5,5,77,1,15.4,15
58,Croatia,Eastern Europe,5,5,43,7,8.6,10
59,Jordan,Middle East,4,4,44,5,11.0,22
60,Peru,Latin America,3,3,18,0,6.0,9
61,Estonia,Eastern Europe,3,1,15,8,5.0,13
62,Viet Nam,Asiatic Region,3,3,27,2,9.0,20
63,Bangladesh,Asiatic Region,3,3,9,1,3.0,24
64,Bulgaria,Eastern Europe,3,3,28,4,9.33,8
65,Hungary,Eastern Europe,3,3,31,0,10.33,16
66,Iraq,Middle East,2,2,58,8,29.0,8
67,Morocco,Africa,2,2,8,1,4.0,11
68,Sri Lanka,Asiatic Region,2,2,6,2,3.0,15
69,Liechtenstein,Western Europe,2,2,31,0,15.5,4
70,Kuwait,Middle East,2,2,29,3,14.5,18
71,Costa Rica,Latin America,2,2,27,2,13.5,5
72,Slovenia,Eastern Europe,2,2,21,2,10.5,19
73,Tanzania,Africa,2,2,14,0,7.0,11
74,Algeria,Africa,1,1,6,0,6.0,4
75,Sudan,Africa,1,1,0,0,0.0,5
76,Latvia,Eastern Europe,1,1,3,0,3.0,8
77,Malta,Western Europe,1,1,15,3,15.0,11
78,Lithuania,Eastern Europe,1,1,14,0,14.0,9
79,Zimbabwe,Africa,1,1,3,0,3.0,9
80,Syrian Arab Republic,Middle East,1,1,9,0,9.0,6
81,Swaziland,Africa,1,1,1,0,1.0,1
82,Botswana,Africa,1,1,10,1,10.0,3
83,Brunei Darussalam,Asiatic Region,1,1,1,0,1.0,5
84,Nicaragua,Latin America,1,1,0,0,0.0,1
85,Kenya,Africa,1,1,10,0,10.0,13
86,Macedonia,Eastern Europe,1,1,17,0,17.0,5
87,Ukraine,Eastern Europe,1,1,2,1,2.0,14
88,Barbados,Latin America,1,1,11,4,11.0,8
89,Uruguay,Latin America,1,1,14,1,14.0,6
90,Venezuela,Latin America,1,1,30,0,30.0,4
91,Ethiopia,Africa,1,1,13,2,13.0,12
92,Albania,Eastern Europe,1,1,3,0,3.0,6
93,Fiji,Pacific Region,1,1,18,0,18.0,10
