Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2937,2616,173634,57116,59.12,605
2,United Kingdom,Western Europe,1056,950,46884,9899,44.4,325
3,India,Asiatic Region,514,485,3051,838,5.94,118
4,Germany,Western Europe,469,428,14239,2052,30.36,210
5,Australia,Pacific Region,459,436,19603,3183,42.71,233
6,Canada,Northern America,426,395,25500,2554,59.86,284
7,France,Western Europe,265,239,7725,797,29.15,205
8,Netherlands,Western Europe,226,211,15479,1832,68.49,231
9,Spain,Western Europe,208,202,9469,1585,45.52,178
10,China,Asiatic Region,183,175,6119,1707,33.44,168
11,Hong Kong,Asiatic Region,176,174,11275,867,64.06,192
12,Brazil,Latin America,147,142,1433,505,9.75,79
13,Sweden,Western Europe,143,141,6726,908,47.03,168
14,Italy,Western Europe,138,130,5932,953,42.99,156
15,New Zealand,Pacific Region,136,126,3727,302,27.4,125
16,Finland,Western Europe,130,126,4940,611,38.0,143
17,Switzerland,Western Europe,125,113,4299,279,34.39,149
18,Taiwan,Asiatic Region,124,123,5350,612,43.15,140
19,Russian Federation,Eastern Europe,119,113,812,171,6.82,63
20,Turkey,Middle East,108,107,4108,425,38.04,103
21,Singapore,Asiatic Region,89,87,8467,282,95.13,148
22,South Korea,Asiatic Region,85,84,4626,410,54.42,137
23,Denmark,Western Europe,79,79,4318,348,54.66,138
24,Belgium,Western Europe,78,70,3844,268,49.28,139
25,Greece,Western Europe,77,77,2097,225,27.23,87
26,Poland,Eastern Europe,75,75,521,216,6.95,57
27,Japan,Asiatic Region,74,72,2486,238,33.59,92
28,Austria,Western Europe,69,65,3912,366,56.7,113
29,Malaysia,Asiatic Region,68,67,2235,700,32.87,87
30,Norway,Western Europe,68,67,3139,349,46.16,127
31,Czech Republic,Eastern Europe,60,60,183,78,3.05,41
32,Ireland,Western Europe,57,55,1739,114,30.51,85
33,Israel,Middle East,56,56,3570,267,63.75,124
34,Slovenia,Eastern Europe,50,49,1170,116,23.4,55
35,Lithuania,Eastern Europe,46,43,347,137,7.54,42
36,Portugal,Western Europe,46,42,899,131,19.54,82
37,South Africa,Africa,40,40,804,95,20.1,67
