Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3143,2786,77796,26145,24.75,487
2,United Kingdom,Western Europe,1417,1245,35290,8432,24.9,278
3,Germany,Western Europe,870,796,14672,2601,16.86,181
4,India,Asiatic Region,693,673,6947,2705,10.02,113
5,Australia,Pacific Region,624,603,17401,2885,27.89,195
6,China,Asiatic Region,581,564,13353,5960,22.98,159
7,Canada,Northern America,433,404,14295,1649,33.01,221
8,Spain,Western Europe,432,415,9462,1947,21.9,154
9,Italy,Western Europe,399,386,8531,2263,21.38,152
10,Malaysia,Asiatic Region,390,384,3313,1185,8.49,89
11,France,Western Europe,373,355,10190,1472,27.32,156
12,Russian Federation,Eastern Europe,338,338,1365,617,4.04,53
13,Netherlands,Western Europe,320,309,11127,1231,34.77,187
14,Taiwan,Asiatic Region,318,313,5787,606,18.2,133
15,Brazil,Latin America,262,254,2173,895,8.29,77
16,Sweden,Western Europe,220,215,5916,934,26.89,147
17,Japan,Asiatic Region,174,159,1555,240,8.94,85
18,Hong Kong,Asiatic Region,172,169,6395,478,37.18,157
19,South Africa,Africa,167,164,1064,258,6.37,67
20,Switzerland,Western Europe,164,148,4881,338,29.76,124
21,South Korea,Asiatic Region,162,158,3736,431,23.06,104
22,Belgium,Western Europe,146,138,5085,384,34.83,124
23,Poland,Eastern Europe,143,141,711,240,4.97,47
24,Turkey,Middle East,134,126,2321,298,17.32,91
25,Finland,Western Europe,132,121,3500,572,26.52,123
26,New Zealand,Pacific Region,132,128,2784,290,21.09,101
27,Denmark,Western Europe,123,117,3888,498,31.61,113
28,Iran,Middle East,118,118,2461,580,20.86,72
29,Singapore,Asiatic Region,108,102,3921,187,36.31,126
30,Greece,Western Europe,106,106,2035,236,19.2,85
31,Norway,Western Europe,100,91,2766,334,27.66,98
32,Portugal,Western Europe,90,87,1985,392,22.06,78
33,Israel,Middle East,85,84,1600,202,18.82,88
34,Austria,Western Europe,84,79,1252,199,14.9,86
