Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3766,3617,3748,1211,1.0,487
2,China,Asiatic Region,2654,2635,2659,1521,1.0,159
3,India,Asiatic Region,2200,2120,1729,750,0.79,113
4,United Kingdom,Western Europe,2070,1945,2765,778,1.34,278
5,Germany,Western Europe,1412,1236,1501,398,1.06,181
6,Italy,Western Europe,1071,990,1642,492,1.53,152
7,Australia,Pacific Region,1064,1016,1338,320,1.26,195
8,Spain,Western Europe,883,857,850,172,0.96,154
9,France,Western Europe,773,743,1097,173,1.42,156
10,Malaysia,Asiatic Region,732,723,912,276,1.25,89
11,Canada,Northern America,729,702,801,143,1.1,221
12,Brazil,Latin America,623,606,530,125,0.85,77
13,Indonesia,Asiatic Region,593,582,345,125,0.58,50
14,Netherlands,Western Europe,511,488,825,122,1.61,187
15,Russian Federation,Eastern Europe,507,462,283,99,0.56,53
16,Ecuador,Latin America,471,469,330,252,0.7,15
17,Pakistan,Asiatic Region,431,428,710,220,1.65,57
18,South Africa,Africa,420,412,309,76,0.74,67
19,Viet Nam,Asiatic Region,407,403,441,109,1.08,47
20,Turkey,Middle East,399,383,303,46,0.76,91
21,Portugal,Western Europe,394,378,415,98,1.05,78
22,South Korea,Asiatic Region,383,381,250,48,0.65,104
23,Hong Kong,Asiatic Region,347,335,487,70,1.4,157
24,Iran,Middle East,338,338,423,94,1.25,72
25,Sweden,Western Europe,336,318,318,55,0.95,147
26,Taiwan,Asiatic Region,329,322,283,68,0.86,133
27,United Arab Emirates,Middle East,308,301,550,117,1.79,67
28,Saudi Arabia,Middle East,284,281,293,71,1.03,56
29,Peru,Latin America,281,279,143,61,0.51,25
30,Japan,Asiatic Region,278,271,163,32,0.59,85
31,Poland,Eastern Europe,276,272,243,61,0.88,47
32,Greece,Western Europe,274,262,249,48,0.91,85
33,Finland,Western Europe,272,259,406,67,1.49,123
34,Switzerland,Western Europe,270,256,297,60,1.1,124
35,Denmark,Western Europe,256,231,336,43,1.31,113
36,Belgium,Western Europe,247,233,258,48,1.04,124
37,Thailand,Asiatic Region,245,240,219,42,0.89,61
38,Norway,Western Europe,243,233,323,59,1.33,98
39,Romania,Eastern Europe,230,219,127,38,0.55,36
40,New Zealand,Pacific Region,229,228,299,44,1.31,101
41,Colombia,Latin America,228,225,93,22,0.41,38
42,Nigeria,Africa,225,225,181,60,0.8,40
43,Mexico,Latin America,222,220,153,15,0.69,61
44,Czech Republic,Eastern Europe,205,197,182,28,0.89,42
45,Jordan,Middle East,186,186,247,102,1.33,39
46,Cuba,Latin America,183,171,13,2,0.07,9
47,Austria,Western Europe,175,162,250,36,1.43,86
48,Ireland,Western Europe,167,161,289,44,1.73,78
49,Ukraine,Eastern Europe,164,164,150,91,0.91,27
50,Ghana,Africa,162,161,115,33,0.71,40
51,Singapore,Asiatic Region,161,161,165,13,1.02,126
52,Bangladesh,Asiatic Region,150,149,187,51,1.25,42
53,Egypt,Africa/Middle East,147,142,219,81,1.49,43
54,Chile,Latin America,143,141,106,24,0.74,58
55,Israel,Middle East,117,112,68,8,0.58,88
56,Hungary,Eastern Europe,113,106,109,18,0.96,51
57,Tunisia,Africa,108,106,186,35,1.72,43
58,Slovakia,Eastern Europe,99,96,97,21,0.98,34
59,Croatia,Eastern Europe,90,79,75,16,0.83,33
60,Cyprus,Western Europe,84,80,142,26,1.69,44
61,Oman,Middle East,84,80,117,14,1.39,30
62,Morocco,Africa,84,83,106,15,1.26,25
63,Lithuania,Eastern Europe,83,80,68,9,0.82,43
64,Serbia,Eastern Europe,80,77,59,19,0.74,29
65,Iraq,Middle East,75,75,86,35,1.15,17
66,Kazakhstan,Asiatic Region,73,68,28,4,0.38,20
67,Philippines,Asiatic Region,65,63,49,15,0.75,31
68,Lebanon,Middle East,50,50,69,18,1.38,49
69,Qatar,Middle East,50,46,92,17,1.84,38
70,Bahrain,Middle East,49,49,63,19,1.29,24
71,Argentina,Latin America,48,47,31,8,0.65,34
72,Estonia,Eastern Europe,48,46,70,9,1.46,24
73,Azerbaijan,Eastern Europe,47,47,5,2,0.11,11
74,Slovenia,Eastern Europe,44,42,48,6,1.09,51
75,Kuwait,Middle East,44,44,45,6,1.02,36
76,Sri Lanka,Asiatic Region,42,41,29,2,0.69,23
77,Macao,Asiatic Region,41,41,47,3,1.15,31
78,Ethiopia,Africa,41,39,31,6,0.76,21
79,Albania,Eastern Europe,40,40,11,3,0.28,12
80,Yemen,Middle East,36,36,37,13,1.03,17
81,Uganda,Africa,29,29,17,1,0.59,22
82,Macedonia,Eastern Europe,28,28,42,7,1.5,16
83,Bulgaria,Eastern Europe,27,27,13,4,0.48,19
84,Kenya,Africa,26,26,35,1,1.35,26
85,Luxembourg,Western Europe,26,24,32,1,1.23,30
86,Venezuela,Latin America,26,24,5,0,0.19,16
87,Iceland,Western Europe,25,21,27,1,1.08,24
88,Tanzania,Africa,25,25,27,10,1.08,20
89,Uzbekistan,Asiatic Region,24,23,16,0,0.67,9
90,Algeria,Africa,24,23,18,5,0.75,15
91,Bosnia and Herzegovina,Eastern Europe,21,19,10,2,0.48,18
92,Honduras,Latin America,20,19,0,0,0.0,7
93,Malta,Western Europe,17,15,14,2,0.82,22
94,Belarus,Eastern Europe,17,16,3,1,0.18,8
95,Uruguay,Latin America,16,16,7,1,0.44,18
96,Palestine,Middle East,16,16,15,3,0.94,18
97,Latvia,Eastern Europe,15,12,26,6,1.73,17
98,Zimbabwe,Africa,14,14,10,1,0.71,13
99,Georgia,Eastern Europe,14,12,16,1,1.14,26
100,Nepal,Asiatic Region,14,14,5,0,0.36,12
101,Fiji,Pacific Region,13,13,13,5,1.0,18
102,Bolivia,Latin America,12,12,0,0,0.0,7
103,Brunei Darussalam,Asiatic Region,12,12,17,2,1.42,16
104,Mauritius,Africa,11,11,18,1,1.64,19
105,Costa Rica,Latin America,10,10,31,1,3.1,18
106,Cameroon,Africa,10,10,15,7,1.5,18
107,Monaco,Western Europe,9,9,18,0,2.0,8
108,Trinidad and Tobago,Latin America,8,8,2,0,0.25,21
109,Mongolia,Asiatic Region,8,8,6,0,0.75,6
110,Libya,Africa,8,8,14,6,1.75,16
111,Syrian Arab Republic,Middle East,7,7,3,1,0.43,9
112,Côte d’Ivoire,Africa,7,7,1,0,0.14,6
113,Kyrgyzstan,Asiatic Region,6,6,5,0,0.83,4
114,Zambia,Africa,6,6,0,0,0.0,10
115,Namibia,Africa,6,6,27,0,4.5,9
116,Senegal,Africa,5,5,2,1,0.4,5
117,Liechtenstein,Western Europe,5,5,5,0,1.0,30
118,Myanmar,Asiatic Region,4,4,1,0,0.25,3
119,Afghanistan,Asiatic Region,4,4,8,0,2.0,6
120,Armenia,Eastern Europe,4,4,0,0,0.0,10
121,Angola,Africa,4,4,4,0,1.0,5
122,Sudan,Africa,4,4,1,0,0.25,7
123,Rwanda,Africa,4,4,6,0,1.5,6
124,Botswana,Africa,3,3,2,0,0.67,15
125,Burkina Faso,Africa,3,3,0,0,0.0,6
126,Dominican Republic,Latin America,3,3,0,0,0.0,2
127,Aruba,Latin America,3,3,4,0,1.33,1
128,Montenegro,Eastern Europe,3,3,0,0,0.0,11
129,Malawi,Africa,3,3,0,0,0.0,13
130,Barbados,Latin America,2,2,0,0,0.0,12
131,Maldives,Asiatic Region,2,2,0,0,0.0,2
132,Moldova,Eastern Europe,2,1,1,0,0.5,3
133,Mozambique,Africa,2,2,4,1,2.0,6
134,Cambodia,Asiatic Region,2,2,2,0,1.0,8
135,Papua New Guinea,Pacific Region,2,2,12,0,6.0,4
136,Jamaica,Latin America,2,2,1,0,0.5,11
137,Guatemala,Latin America,2,2,0,0,0.0,6
138,Puerto Rico,Latin America,2,2,2,0,1.0,13
139,Gambia,Africa,2,2,1,0,0.5,2
140,Eritrea,Africa,2,2,0,0,0.0,3
141,Somalia,Africa,2,2,0,0,0.0,3
142,Bahamas,Latin America,1,1,1,0,1.0,1
143,Bhutan,Asiatic Region,1,1,0,0,0.0,3
144,Togo,Africa,1,1,0,0,0.0,2
145,El Salvador,Latin America,1,1,0,0,0.0,3
146,Benin,Africa,1,1,1,1,1.0,4
147,Burundi,Africa,1,1,0,0,0.0,2
148,Democratic Republic Congo,Africa,1,1,3,0,3.0,2
149,Congo,Africa,1,1,1,0,1.0,5
150,Cape Verde,Africa,1,1,1,0,1.0,2
151,Paraguay,Latin America,1,1,0,0,0.0,2
152,Gabon,Africa,1,1,0,0,0.0,4
153,Anguilla,Latin America,1,1,0,0,0.0,1
154,Antigua and Barbuda,Latin America,1,1,0,0,0.0,1
155,Haïti,Latin America,1,1,0,0,0.0,3
156,Lesotho,Africa,1,1,0,0,0.0,2
