Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,967,932,49179,15007,50.86,383
2,United Kingdom,Western Europe,394,364,13332,3048,33.84,177
3,Australia,Pacific Region,169,161,6074,1030,35.94,129
4,Canada,Northern America,129,122,7578,659,58.74,166
5,Taiwan,Asiatic Region,127,125,8508,1263,66.99,133
6,Germany,Western Europe,107,103,1315,252,12.29,109
7,France,Western Europe,82,76,2343,359,28.57,94
8,Spain,Western Europe,76,74,3084,465,40.58,118
9,Hong Kong,Asiatic Region,75,74,5681,400,75.75,157
10,China,Asiatic Region,73,73,2026,877,27.75,158
11,India,Asiatic Region,66,62,1443,492,21.86,104
12,Netherlands,Western Europe,60,59,3395,348,56.58,118
13,Italy,Western Europe,58,56,819,138,14.12,82
14,Singapore,Asiatic Region,48,47,2445,97,50.94,120
15,Finland,Western Europe,47,47,942,136,20.04,90
16,Sweden,Western Europe,41,41,1711,153,41.73,77
17,South Korea,Asiatic Region,41,39,2814,283,68.63,117
18,Croatia,Eastern Europe,39,39,23,5,0.59,18
19,Switzerland,Western Europe,33,33,559,28,16.94,70
20,Greece,Western Europe,30,28,1095,89,36.5,61
21,South Africa,Africa,29,23,391,50,13.48,51
22,Israel,Middle East,26,26,1059,97,40.73,61
23,Turkey,Middle East,26,25,613,74,23.58,66
24,Brazil,Latin America,26,25,453,36,17.42,55
25,Ireland,Western Europe,26,25,1588,89,61.08,60
26,Japan,Asiatic Region,25,24,235,32,9.4,58
27,New Zealand,Pacific Region,23,23,394,38,17.13,67
28,Belgium,Western Europe,23,21,712,87,30.96,67
29,Denmark,Western Europe,22,22,1552,109,70.55,75
30,Norway,Western Europe,22,21,940,105,42.73,69
31,Malaysia,Asiatic Region,21,21,257,58,12.24,77
32,Thailand,Asiatic Region,20,20,295,17,14.75,40
33,Tunisia,Africa,20,20,1,1,0.05,25
34,United Arab Emirates,Middle East,17,17,411,46,24.18,41
35,Portugal,Western Europe,16,15,423,52,26.44,62
36,Mexico,Latin America,14,13,267,29,19.07,39
37,Austria,Western Europe,12,11,188,29,15.67,53
38,Jordan,Middle East,10,10,130,2,13.0,37
39,Romania,Eastern Europe,10,10,18,1,1.8,22
40,Poland,Eastern Europe,9,9,72,28,8.0,48
41,Slovenia,Eastern Europe,8,8,230,15,28.75,39
42,Pakistan,Asiatic Region,8,8,27,4,3.38,34
43,Egypt,Africa/Middle East,7,7,6,0,0.86,32
44,Saudi Arabia,Middle East,7,7,32,5,4.57,60
45,Czech Republic,Eastern Europe,7,4,137,122,19.57,22
46,Iran,Middle East,7,7,84,11,12.0,59
47,Russian Federation,Eastern Europe,6,6,260,11,43.33,32
48,Oman,Middle East,6,6,9,2,1.5,20
49,Serbia,Eastern Europe,5,5,49,1,9.8,20
50,Lebanon,Middle East,5,5,67,0,13.4,23
51,Kuwait,Middle East,4,4,196,1,49.0,32
52,Colombia,Latin America,4,4,492,4,123.0,25
53,Argentina,Latin America,4,4,13,1,3.25,17
54,Hungary,Eastern Europe,3,3,9,3,3.0,23
55,Bosnia and Herzegovina,Eastern Europe,3,3,18,0,6.0,10
56,Bulgaria,Eastern Europe,3,3,19,4,6.33,11
57,Bahrain,Middle East,3,3,31,1,10.33,12
58,Chile,Latin America,3,3,100,3,33.33,36
59,Estonia,Eastern Europe,3,3,61,6,20.33,23
60,Lithuania,Eastern Europe,3,3,0,0,0.0,13
61,Montenegro,Eastern Europe,3,3,0,0,0.0,4
62,Nigeria,Africa,3,3,120,36,40.0,19
63,Trinidad and Tobago,Latin America,3,3,75,0,25.0,10
64,Luxembourg,Western Europe,2,2,7,6,3.5,20
65,Qatar,Middle East,2,2,21,0,10.5,26
66,Ethiopia,Africa,2,2,2,0,1.0,10
67,Latvia,Eastern Europe,2,2,2,1,1.0,12
68,Iceland,Western Europe,2,2,64,6,32.0,13
69,Venezuela,Latin America,2,2,0,0,0.0,7
70,Bangladesh,Asiatic Region,2,2,3,0,1.5,23
71,Philippines,Asiatic Region,2,2,7,1,3.5,12
72,Algeria,Africa,1,1,1,0,1.0,16
73,Cyprus,Western Europe,1,1,0,0,0.0,16
74,Zambia,Africa,1,1,3,0,3.0,1
75,Congo,Africa,1,1,3,1,3.0,2
76,Ukraine,Eastern Europe,1,1,2,2,2.0,17
77,Botswana,Africa,1,1,117,4,117.0,12
78,Uruguay,Latin America,1,1,9,0,9.0,7
79,Fiji,Pacific Region,1,1,58,1,58.0,8
80,Morocco,Africa,1,1,1,0,1.0,18
81,Palestine,Middle East,1,1,3,2,3.0,13
82,Libya,Africa,1,1,3,0,3.0,10
83,Sri Lanka,Asiatic Region,1,1,1,0,1.0,14
84,Kenya,Africa,1,1,5,0,5.0,13
85,Indonesia,Asiatic Region,1,1,79,4,79.0,31
86,Papua New Guinea,Pacific Region,1,1,35,0,35.0,3
