Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2999,2721,4252,1402,1.42,553
2,China,Asiatic Region,2755,2688,5439,3436,1.97,148
3,United Kingdom,Western Europe,1800,1663,3434,835,1.91,345
4,India,Asiatic Region,1490,1425,2177,811,1.46,99
5,Germany,Western Europe,1123,975,1476,368,1.31,198
6,Italy,Western Europe,1080,869,1563,383,1.45,172
7,Spain,Western Europe,865,732,1164,184,1.35,173
8,Australia,Pacific Region,785,730,1607,326,2.05,195
9,France,Western Europe,745,694,1626,211,2.18,185
10,Indonesia,Asiatic Region,728,709,363,152,0.5,36
11,Canada,Northern America,699,628,914,130,1.31,247
12,Brazil,Latin America,564,536,557,93,0.99,72
13,Malaysia,Asiatic Region,563,553,852,200,1.51,71
14,Netherlands,Western Europe,530,498,965,122,1.82,227
15,Ukraine,Eastern Europe,522,521,239,145,0.46,35
16,South Korea,Asiatic Region,506,492,662,99,1.31,126
17,Russian Federation,Eastern Europe,455,420,242,52,0.53,56
18,Portugal,Western Europe,427,293,375,63,0.88,81
19,South Africa,Africa,351,341,434,90,1.24,63
20,Sweden,Western Europe,335,326,531,78,1.59,168
21,Finland,Western Europe,331,317,687,109,2.08,144
22,Turkey,Middle East,307,277,479,92,1.56,78
23,Denmark,Western Europe,306,280,638,91,2.08,137
24,Iran,Middle East,297,286,399,90,1.34,52
25,Pakistan,Asiatic Region,278,272,1198,297,4.31,53
26,Poland,Eastern Europe,278,266,264,101,0.95,43
27,Japan,Asiatic Region,274,254,228,24,0.83,91
28,Taiwan,Asiatic Region,251,245,528,53,2.1,126
29,Norway,Western Europe,245,229,382,42,1.56,115
30,Kazakhstan,Asiatic Region,240,235,155,81,0.65,18
31,Hong Kong,Asiatic Region,232,218,475,54,2.05,162
32,Switzerland,Western Europe,231,203,352,37,1.52,139
33,Argentina,Latin America,230,227,32,3,0.14,32
34,Austria,Western Europe,222,185,379,30,1.71,111
35,Saudi Arabia,Middle East,197,194,297,63,1.51,50
36,Thailand,Asiatic Region,196,193,117,24,0.6,54
37,Belgium,Western Europe,194,176,319,33,1.64,133
38,Viet Nam,Asiatic Region,194,191,373,57,1.92,37
39,United Arab Emirates,Middle East,190,184,424,34,2.23,55
40,Greece,Western Europe,170,164,315,40,1.85,75
41,Ireland,Western Europe,168,153,310,43,1.85,82
42,Mexico,Latin America,158,123,85,12,0.54,48
43,Iraq,Middle East,155,155,72,47,0.46,14
44,Czech Republic,Eastern Europe,146,133,106,16,0.73,33
45,Colombia,Latin America,142,137,63,10,0.44,39
46,New Zealand,Pacific Region,139,133,251,47,1.81,99
47,Singapore,Asiatic Region,131,115,147,18,1.12,133
48,Nigeria,Africa,131,129,126,35,0.96,38
49,Jordan,Middle East,125,123,146,45,1.17,35
50,Bulgaria,Eastern Europe,111,110,11,5,0.1,17
51,Egypt,Africa/Middle East,103,101,114,21,1.11,36
52,Chile,Latin America,100,97,141,18,1.41,50
53,Slovakia,Eastern Europe,94,92,43,17,0.46,25
54,Bangladesh,Asiatic Region,92,89,214,47,2.33,29
55,Ghana,Africa,92,90,136,29,1.48,35
56,Morocco,Africa,88,85,94,18,1.07,21
57,Israel,Middle East,82,79,93,25,1.13,104
