Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2976,2437,49076,14209,16.49,482
2,China,Asiatic Region,1101,1081,14324,5433,13.01,136
3,United Kingdom,Western Europe,905,773,18527,3917,20.47,257
4,Australia,Pacific Region,598,536,11265,1793,18.84,207
5,Germany,Western Europe,516,394,8032,1354,15.57,175
6,France,Western Europe,412,320,6303,740,15.3,150
7,Spain,Western Europe,400,365,7274,1368,18.19,145
8,Canada,Northern America,377,329,6032,654,16.0,206
9,India,Asiatic Region,370,343,7859,2110,21.24,114
10,South Korea,Asiatic Region,337,326,4998,732,14.83,144
11,Italy,Western Europe,269,219,4769,857,17.73,117
12,Brazil,Latin America,235,217,1687,333,7.18,66
13,Sweden,Western Europe,205,172,3462,376,16.89,129
14,Finland,Western Europe,189,163,3863,459,20.44,135
15,Malaysia,Asiatic Region,180,176,2770,646,15.39,87
16,Netherlands,Western Europe,179,163,4004,442,22.37,189
17,Portugal,Western Europe,166,148,3956,491,23.83,92
18,New Zealand,Pacific Region,164,140,2781,301,16.96,128
19,Taiwan,Asiatic Region,161,142,3053,300,18.96,126
20,Turkey,Middle East,148,115,2113,207,14.28,98
21,Poland,Eastern Europe,144,137,1167,299,8.1,47
22,Hong Kong,Asiatic Region,135,126,2974,253,22.03,136
23,Japan,Asiatic Region,131,123,873,199,6.66,70
24,Iran,Middle East,129,86,1428,369,11.07,49
25,Switzerland,Western Europe,126,92,1410,114,11.19,111
26,Denmark,Western Europe,125,111,2310,279,18.48,115
27,Norway,Western Europe,100,93,2053,194,20.53,111
28,South Africa,Africa,91,81,1900,200,20.88,69
29,Indonesia,Asiatic Region,85,84,728,212,8.56,35
30,Russian Federation,Eastern Europe,82,79,504,172,6.15,36
31,Belgium,Western Europe,82,74,1445,156,17.62,106
32,Pakistan,Asiatic Region,81,75,1106,206,13.65,48
33,Mexico,Latin America,75,69,645,59,8.6,44
34,Austria,Western Europe,70,60,1441,99,20.59,97
35,United Arab Emirates,Middle East,70,66,1448,130,20.69,57
36,Colombia,Latin America,61,54,488,94,8.0,37
37,Ireland,Western Europe,57,39,860,72,15.09,75
38,Greece,Western Europe,53,50,865,61,16.32,91
39,Thailand,Asiatic Region,53,48,668,39,12.6,54
40,Israel,Middle East,51,50,752,102,14.75,95
41,Singapore,Asiatic Region,50,47,898,60,17.96,105
42,Ukraine,Eastern Europe,50,50,267,182,5.34,17
43,Romania,Eastern Europe,45,28,147,37,3.27,22
44,Czech Republic,Eastern Europe,45,38,347,55,7.71,27
45,Chile,Latin America,42,37,985,107,23.45,53
46,Saudi Arabia,Middle East,40,37,736,70,18.4,55
47,Egypt,Africa/Middle East,38,38,501,49,13.18,37
48,Viet Nam,Asiatic Region,36,36,986,87,27.39,43
49,Hungary,Eastern Europe,32,31,111,23,3.47,23
50,Slovenia,Eastern Europe,31,29,294,23,9.48,53
51,Nigeria,Africa,31,28,327,114,10.55,24
52,Bangladesh,Asiatic Region,29,28,562,67,19.38,31
53,Macao,Asiatic Region,27,26,514,57,19.04,43
54,Ghana,Africa,26,26,553,61,21.27,30
55,Philippines,Asiatic Region,26,26,170,25,6.54,21
56,Lithuania,Eastern Europe,24,23,165,38,6.88,28
57,Croatia,Eastern Europe,24,22,237,16,9.88,34
58,Jordan,Middle East,23,22,834,96,36.26,33
59,Lebanon,Middle East,22,19,639,89,29.05,37
60,Qatar,Middle East,22,20,313,28,14.23,35
61,Iceland,Western Europe,20,6,77,14,3.85,18
62,Tunisia,Africa,20,19,422,22,21.1,33
63,Slovakia,Eastern Europe,20,19,147,33,7.35,17
64,Argentina,Latin America,18,17,118,9,6.56,26
65,Kazakhstan,Asiatic Region,16,14,58,29,3.63,13
66,Latvia,Eastern Europe,15,15,53,22,3.53,10
67,Morocco,Africa,15,11,75,20,5.0,18
68,Estonia,Eastern Europe,12,10,53,4,4.42,28
69,Kuwait,Middle East,11,9,281,17,25.55,36
70,Cyprus,Western Europe,11,11,179,18,16.27,55
71,Oman,Middle East,11,9,225,5,20.45,23
72,Peru,Latin America,11,11,116,13,10.55,24
73,Puerto Rico,Latin America,10,5,204,6,20.4,19
74,Bosnia and Herzegovina,Eastern Europe,10,9,99,5,9.9,18
75,Serbia,Eastern Europe,8,7,115,10,14.38,21
76,Bahrain,Middle East,8,7,41,0,5.13,17
77,Ecuador,Latin America,8,8,71,10,8.88,14
78,Montenegro,Eastern Europe,7,7,102,6,14.57,9
79,Malta,Western Europe,7,3,23,0,3.29,23
80,Luxembourg,Western Europe,7,6,83,2,11.86,11
81,Georgia,Eastern Europe,7,7,71,2,10.14,16
82,Monaco,Western Europe,6,6,123,1,20.5,21
83,Zimbabwe,Africa,5,5,51,3,10.2,12
84,Uganda,Africa,5,5,84,9,16.8,11
85,Iraq,Middle East,5,4,18,6,3.6,10
86,Mongolia,Asiatic Region,4,4,7,2,1.75,6
87,Algeria,Africa,4,4,23,16,5.75,12
88,Kenya,Africa,4,4,21,0,5.25,14
89,Senegal,Africa,4,3,39,4,9.75,4
90,Palestine,Middle East,4,3,33,2,8.25,12
91,Ethiopia,Africa,4,4,51,4,12.75,12
92,Tanzania,Africa,4,4,23,2,5.75,13
93,Bulgaria,Eastern Europe,3,3,24,5,8.0,11
94,Trinidad and Tobago,Latin America,3,3,103,3,34.33,11
95,Armenia,Eastern Europe,3,3,42,4,14.0,5
96,Mauritius,Africa,3,3,46,0,15.33,21
97,Costa Rica,Latin America,3,3,149,5,49.67,23
98,Sri Lanka,Asiatic Region,3,3,53,4,17.67,13
99,Brunei Darussalam,Asiatic Region,3,3,28,10,9.33,15
