Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2218,2074,24687,8966,11.13,430
2,United Kingdom,Western Europe,1054,930,12914,3309,12.25,236
3,China,Asiatic Region,593,579,4908,1912,8.28,101
4,Germany,Western Europe,566,498,5685,1229,10.04,157
5,Australia,Pacific Region,515,466,6988,1308,13.57,178
6,Italy,Western Europe,413,367,2918,724,7.07,101
7,Canada,Northern America,366,336,4179,622,11.42,197
8,India,Asiatic Region,336,325,2018,661,6.01,71
9,Spain,Western Europe,312,300,2741,625,8.79,109
10,France,Western Europe,288,259,2516,345,8.74,122
11,Netherlands,Western Europe,266,246,4891,586,18.39,187
12,Russian Federation,Eastern Europe,249,244,965,530,3.88,33
13,Brazil,Latin America,179,156,668,181,3.73,43
14,Sweden,Western Europe,177,164,2041,276,11.53,98
15,South Africa,Africa,160,148,1048,210,6.55,56
16,Switzerland,Western Europe,158,135,1721,195,10.89,108
17,Thailand,Asiatic Region,157,154,548,157,3.49,37
18,Indonesia,Asiatic Region,150,150,836,336,5.57,28
19,Norway,Western Europe,139,124,1794,235,12.91,84
20,South Korea,Asiatic Region,138,137,1396,160,10.12,82
21,Finland,Western Europe,135,127,1465,194,10.85,99
22,Poland,Eastern Europe,129,105,664,209,5.15,35
23,Belgium,Western Europe,118,106,1262,157,10.69,103
24,Taiwan,Asiatic Region,107,104,699,67,6.53,80
25,Pakistan,Asiatic Region,99,92,1452,320,14.67,41
26,New Zealand,Pacific Region,98,80,838,87,8.55,94
27,Denmark,Western Europe,98,94,1018,175,10.39,85
28,Austria,Western Europe,95,80,846,109,8.91,65
29,Turkey,Middle East,95,90,631,89,6.64,56
30,Malaysia,Asiatic Region,93,90,960,216,10.32,57
31,Hong Kong,Asiatic Region,90,87,1181,70,13.12,115
32,Israel,Middle East,88,79,815,135,9.26,110
33,Ireland,Western Europe,87,81,986,121,11.33,74
34,Portugal,Western Europe,85,83,804,154,9.46,62
35,United Arab Emirates,Middle East,84,81,767,95,9.13,48
36,Japan,Asiatic Region,72,71,363,42,5.04,57
37,Singapore,Asiatic Region,62,60,934,44,15.06,100
38,Morocco,Africa,56,56,154,37,2.75,15
39,Ukraine,Eastern Europe,55,55,318,207,5.78,18
40,Saudi Arabia,Middle East,52,51,455,89,8.75,31
41,Chile,Latin America,46,45,430,46,9.35,30
42,Hungary,Eastern Europe,42,39,291,59,6.93,30
43,Iran,Middle East,40,40,276,46,6.9,27
44,Romania,Eastern Europe,40,29,194,45,4.85,26
45,Colombia,Latin America,40,39,282,59,7.05,28
