Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,4483,4117,206104,67885,45.97,697
2,United Kingdom,Western Europe,1649,1516,63610,14903,38.57,390
3,China,Asiatic Region,1181,1170,20061,6915,16.99,221
4,Canada,Northern America,707,673,33313,3506,47.12,297
5,Germany,Western Europe,671,604,23509,3903,35.04,232
6,Australia,Pacific Region,671,639,27319,4280,40.71,241
7,Spain,Western Europe,608,592,22561,4156,37.11,214
8,France,Western Europe,555,513,19026,2182,34.28,228
9,Netherlands,Western Europe,470,448,25953,2756,55.22,262
10,Taiwan,Asiatic Region,423,420,14046,1923,33.21,171
11,India,Asiatic Region,395,376,8407,2873,21.28,162
12,Italy,Western Europe,390,374,15676,2826,40.19,205
13,Hong Kong,Asiatic Region,289,278,20467,1742,70.82,231
14,Sweden,Western Europe,276,268,11551,1617,41.85,204
15,Brazil,Latin America,229,225,5218,1273,22.79,113
16,Malaysia,Asiatic Region,227,225,3813,1231,16.8,134
17,Finland,Western Europe,202,193,8374,1203,41.46,163
18,South Korea,Asiatic Region,201,199,9180,1024,45.67,169
19,Romania,Eastern Europe,186,186,532,157,2.86,46
20,Japan,Asiatic Region,183,174,3764,520,20.57,118
21,Switzerland,Western Europe,170,158,10664,650,62.73,166
22,Norway,Western Europe,158,156,6468,852,40.94,133
23,Belgium,Western Europe,156,149,7395,490,47.4,166
24,Greece,Western Europe,155,145,3674,505,23.7,105
25,Denmark,Western Europe,150,145,10380,875,69.2,172
26,Singapore,Asiatic Region,149,148,6464,352,43.38,167
27,New Zealand,Pacific Region,137,131,4217,351,30.78,131
28,Turkey,Middle East,127,126,5722,636,45.06,127
29,Austria,Western Europe,116,110,6765,438,58.32,134
30,Portugal,Western Europe,114,112,7423,596,65.11,129
31,Colombia,Latin America,108,104,747,180,6.92,59
32,Iran,Middle East,102,102,1751,318,17.17,111
33,Israel,Middle East,94,85,3676,294,39.11,131
34,South Africa,Africa,86,80,2188,335,25.44,84
35,Mexico,Latin America,84,83,808,132,9.62,74
36,Lithuania,Eastern Europe,83,82,1341,455,16.16,57
37,Ireland,Western Europe,81,72,2102,219,25.95,100
38,Poland,Eastern Europe,81,78,917,232,11.32,76
39,Thailand,Asiatic Region,68,58,1190,144,17.5,79
40,Estonia,Eastern Europe,54,54,339,81,6.28,35
41,Slovenia,Eastern Europe,47,45,2448,144,52.09,66
42,Chile,Latin America,45,45,1165,168,25.89,65
43,Czech Republic,Eastern Europe,45,45,408,231,9.07,52
44,United Arab Emirates,Middle East,44,44,1163,87,26.43,87
45,Argentina,Latin America,42,39,408,43,9.71,43
46,Hungary,Eastern Europe,41,39,503,46,12.27,62
47,Nigeria,Africa,37,36,335,81,9.05,57
48,Saudi Arabia,Middle East,35,35,507,39,14.49,88
49,Indonesia,Asiatic Region,30,29,765,129,25.5,57
50,Egypt,Africa/Middle East,28,27,3828,62,136.71,77
51,Pakistan,Asiatic Region,27,26,433,36,16.04,88
52,Slovakia,Eastern Europe,26,25,260,80,10.0,35
53,Tunisia,Africa,23,23,302,44,13.13,45
54,Cyprus,Western Europe,22,21,972,92,44.18,61
55,Russian Federation,Eastern Europe,20,20,267,39,13.35,69
56,Macao,Asiatic Region,18,18,866,52,48.11,60
57,Latvia,Eastern Europe,17,17,49,10,2.88,28
58,Croatia,Eastern Europe,17,16,272,29,16.0,46
59,Kuwait,Middle East,16,16,359,23,22.44,44
60,Philippines,Asiatic Region,15,14,264,20,17.6,46
61,Qatar,Middle East,15,15,608,15,40.53,53
62,Jordan,Middle East,15,15,153,25,10.2,43
63,Lebanon,Middle East,13,13,684,35,52.62,44
64,Oman,Middle East,12,12,224,8,18.67,40
65,Venezuela,Latin America,12,12,159,2,13.25,17
66,Serbia,Eastern Europe,11,11,90,16,8.18,43
67,Luxembourg,Western Europe,11,9,289,8,26.27,38
68,Bangladesh,Asiatic Region,11,10,234,33,21.27,55
69,Peru,Latin America,10,10,238,6,23.8,36
70,Sri Lanka,Asiatic Region,9,9,114,10,12.67,31
71,Liechtenstein,Western Europe,9,9,344,25,38.22,33
72,Iceland,Western Europe,8,8,274,29,34.25,36
73,Trinidad and Tobago,Latin America,7,7,101,9,14.43,25
74,Nepal,Asiatic Region,6,6,94,16,15.67,11
75,Bahrain,Middle East,6,6,109,6,18.17,25
76,Ecuador,Latin America,6,6,106,31,17.67,31
77,Algeria,Africa,6,6,36,17,6.0,31
78,Bulgaria,Eastern Europe,6,5,125,9,20.83,29
79,Viet Nam,Asiatic Region,6,6,101,23,16.83,61
80,Botswana,Africa,6,6,324,23,54.0,17
81,Ukraine,Eastern Europe,6,6,110,8,18.33,38
82,Kenya,Africa,5,5,140,14,28.0,30
83,Tanzania,Africa,5,5,161,4,32.2,20
84,Puerto Rico,Latin America,5,5,67,0,13.4,18
85,Georgia,Eastern Europe,4,4,476,9,119.0,26
86,Morocco,Africa,4,4,47,1,11.75,41
87,Ghana,Africa,4,4,162,42,40.5,47
88,Cuba,Latin America,4,4,31,5,7.75,21
89,Palestine,Middle East,4,4,109,19,27.25,28
90,Libya,Africa,3,3,23,5,7.67,13
91,Fiji,Pacific Region,3,3,68,4,22.67,22
92,Kazakhstan,Asiatic Region,3,3,29,1,9.67,24
93,Bosnia and Herzegovina,Eastern Europe,3,2,17,1,5.67,17
94,Uruguay,Latin America,3,3,7,1,2.33,21
95,Uganda,Africa,2,2,8,2,4.0,25
96,Iraq,Middle East,2,2,18,0,9.0,38
97,Bhutan,Asiatic Region,2,2,18,0,9.0,5
98,Swaziland,Africa,2,2,0,0,0.0,5
99,Solomon Islands,Pacific Region,2,2,17,0,8.5,2
100,Costa Rica,Latin America,2,2,0,0,0.0,21
