Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1845,1780,2835,756,1.54,244
2,China,Asiatic Region,1316,1286,2888,1455,2.19,128
3,United Kingdom,Western Europe,1143,1070,2406,564,2.1,200
4,Australia,Pacific Region,843,794,1564,358,1.86,185
5,Spain,Western Europe,592,567,1000,224,1.69,125
6,Canada,Northern America,395,382,396,97,1.0,139
7,Italy,Western Europe,379,347,671,154,1.77,99
8,India,Asiatic Region,365,356,669,141,1.83,64
9,Hong Kong,Asiatic Region,359,350,793,110,2.21,146
10,Turkey,Middle East,337,332,676,156,2.01,96
11,South Korea,Asiatic Region,327,321,653,105,2.0,126
12,South Africa,Africa,326,320,804,127,2.47,79
13,Germany,Western Europe,300,286,436,74,1.45,87
14,Malaysia,Asiatic Region,297,285,679,166,2.29,77
15,Portugal,Western Europe,284,256,384,82,1.35,77
16,New Zealand,Pacific Region,270,253,502,93,1.86,125
17,Taiwan,Asiatic Region,254,246,501,87,1.97,122
18,Indonesia,Asiatic Region,221,216,179,59,0.81,35
19,Norway,Western Europe,209,193,457,49,2.19,83
20,Netherlands,Western Europe,208,194,237,58,1.14,98
21,Brazil,Latin America,204,197,125,35,0.61,41
22,Sweden,Western Europe,202,184,342,49,1.69,91
23,France,Western Europe,196,181,332,46,1.69,73
24,Macao,Asiatic Region,194,189,313,42,1.61,57
25,Japan,Asiatic Region,181,173,248,48,1.37,52
26,Poland,Eastern Europe,173,170,204,40,1.18,41
27,Finland,Western Europe,118,110,230,34,1.95,76
28,Austria,Western Europe,116,112,222,23,1.91,76
29,Iran,Middle East,115,113,131,23,1.14,45
30,Viet Nam,Asiatic Region,108,108,208,42,1.93,35
31,Thailand,Asiatic Region,107,105,144,35,1.35,50
32,Switzerland,Western Europe,103,93,107,17,1.04,67
33,Belgium,Western Europe,94,88,101,22,1.07,59
34,Greece,Western Europe,94,89,207,32,2.2,66
35,United Arab Emirates,Middle East,90,88,151,33,1.68,44
36,Panama,Latin America,87,87,0,0,0.0,4
37,Denmark,Western Europe,83,76,222,12,2.67,74
38,Saudi Arabia,Middle East,77,76,147,29,1.91,31
39,Egypt,Africa/Middle East,72,70,204,64,2.83,39
40,Pakistan,Asiatic Region,71,68,264,57,3.72,34
41,Czech Republic,Eastern Europe,70,64,120,13,1.71,31
42,Croatia,Eastern Europe,69,67,97,13,1.41,31
43,Russian Federation,Eastern Europe,66,62,133,23,2.02,28
44,Kazakhstan,Asiatic Region,64,64,35,11,0.55,11
45,Cyprus,Western Europe,64,52,154,19,2.41,49
46,Hungary,Eastern Europe,64,62,50,19,0.78,27
47,Ireland,Western Europe,63,62,54,6,0.86,42
48,Nigeria,Africa,58,58,63,20,1.09,23
49,Israel,Middle East,56,56,70,6,1.25,84
50,Serbia,Eastern Europe,55,55,31,10,0.56,30
51,Ghana,Africa,52,52,77,10,1.48,28
52,Singapore,Asiatic Region,51,46,96,14,1.88,57
53,Jordan,Middle East,47,47,36,24,0.77,26
54,Iraq,Middle East,47,47,32,21,0.68,9
55,Mexico,Latin America,44,43,22,6,0.5,37
56,Colombia,Latin America,42,41,41,4,0.98,27
57,Qatar,Middle East,39,37,42,6,1.08,20
58,Bangladesh,Asiatic Region,35,35,55,3,1.57,18
59,Peru,Latin America,34,33,41,15,1.21,17
60,Slovenia,Eastern Europe,34,33,51,3,1.5,43
61,Oman,Middle East,33,32,114,20,3.45,22
62,Romania,Eastern Europe,28,28,113,20,4.04,23
63,Ecuador,Latin America,27,27,61,9,2.26,18
64,Ukraine,Eastern Europe,26,26,8,6,0.31,15
65,Slovakia,Eastern Europe,25,25,50,4,2.0,23
66,Fiji,Pacific Region,25,24,59,15,2.36,25
67,Philippines,Asiatic Region,23,21,66,11,2.87,20
68,Chile,Latin America,23,23,30,9,1.3,34
69,Argentina,Latin America,23,22,20,2,0.87,24
70,Sri Lanka,Asiatic Region,20,20,25,2,1.25,15
71,Bulgaria,Eastern Europe,19,18,35,5,1.84,25
72,Kenya,Africa,17,17,38,0,2.24,29
73,Estonia,Eastern Europe,17,17,57,5,3.35,22
74,Luxembourg,Western Europe,16,13,30,1,1.88,10
75,Tunisia,Africa,14,13,74,1,5.29,18
76,Zimbabwe,Africa,13,13,9,0,0.69,14
77,Lithuania,Eastern Europe,13,12,18,1,1.38,12
78,Lebanon,Middle East,12,11,24,2,2.0,27
79,Jamaica,Latin America,12,12,12,9,1.0,20
80,Mauritius,Africa,12,10,45,3,3.75,41
81,Malawi,Africa,11,11,7,3,0.64,5
82,Uzbekistan,Asiatic Region,11,11,22,3,2.0,4
83,Morocco,Africa,11,11,13,2,1.18,11
84,Bosnia and Herzegovina,Eastern Europe,11,11,3,2,0.27,10
85,Tanzania,Africa,10,10,13,1,1.3,20
86,Algeria,Africa,10,9,3,0,0.3,5
87,Brunei Darussalam,Asiatic Region,9,8,14,2,1.56,6
88,Costa Rica,Latin America,9,9,18,0,2.0,13
89,Uganda,Africa,9,9,4,0,0.44,13
90,Uruguay,Latin America,9,9,4,3,0.44,14
91,Monaco,Western Europe,8,8,4,0,0.5,11
92,Azerbaijan,Eastern Europe,8,8,14,8,1.75,8
93,Ethiopia,Africa,7,7,3,0,0.43,17
94,Albania,Eastern Europe,7,7,2,0,0.29,8
95,Kuwait,Middle East,7,7,11,1,1.57,19
96,Iceland,Western Europe,7,7,8,0,1.14,25
97,Palestine,Middle East,7,7,36,0,5.14,10
98,Bahrain,Middle East,6,6,7,0,1.17,8
99,Latvia,Eastern Europe,6,5,3,3,0.5,7
100,Botswana,Africa,6,6,5,0,0.83,28
101,Malta,Western Europe,6,4,4,1,0.67,15
102,Montenegro,Eastern Europe,5,5,0,0,0.0,9
103,Mongolia,Asiatic Region,4,4,3,0,0.75,4
104,Macedonia,Eastern Europe,4,4,1,0,0.25,6
105,Nepal,Asiatic Region,4,4,2,1,0.5,17
106,Barbados,Latin America,3,3,0,0,0.0,21
107,Rwanda,Africa,3,3,1,0,0.33,4
108,Cameroon,Africa,3,3,2,0,0.67,5
109,Faroe Islands,Western Europe,3,1,86,1,28.67,4
110,Yemen,Middle East,2,2,8,0,4.0,5
111,Kyrgyzstan,Asiatic Region,2,2,3,1,1.5,4
112,Cambodia,Asiatic Region,2,2,9,0,4.5,11
113,Bhutan,Asiatic Region,2,2,1,0,0.5,5
114,Bolivia,Latin America,2,2,5,0,2.5,5
115,Solomon Islands,Pacific Region,2,2,3,2,1.5,1
116,Dominican Republic,Latin America,2,2,3,0,1.5,7
117,Libya,Africa,2,2,4,0,2.0,6
118,Lesotho,Africa,2,2,0,0,0.0,2
119,Togo,Africa,1,1,1,0,1.0,1
120,Tajikistan,Asiatic Region,1,1,1,0,1.0,1
121,Timor-Leste,Asiatic Region,1,1,1,0,1.0,1
122,Martinique,Latin America,1,1,2,0,2.0,3
123,Tonga,Pacific Region,1,1,0,0,0.0,0
124,Laos,Asiatic Region,1,1,0,0,0.0,11
125,Liberia,Africa,1,1,1,1,1.0,1
126,Armenia,Eastern Europe,1,1,0,0,0.0,0
127,Andorra,Western Europe,1,1,0,0,0.0,5
128,Antigua and Barbuda,Latin America,1,1,2,0,2.0,2
129,Gambia,Africa,1,1,0,0,0.0,1
130,Saint Lucia,Latin America,1,1,0,0,0.0,1
131,Grenada,Latin America,1,1,0,0,0.0,2
132,Falkland Islands (Malvinas),Latin America,1,1,0,0,0.0,0
133,Guatemala,Latin America,1,1,0,0,0.0,2
134,Guyana,Latin America,1,1,1,0,1.0,5
135,Curaçao,Latin America,1,1,0,0,0.0,0
136,Cuba,Latin America,1,1,1,0,1.0,7
137,Sudan,Africa,1,1,0,0,0.0,2
138,Belarus,Eastern Europe,1,1,0,0,0.0,4
139,Namibia,Africa,1,1,2,0,2.0,5
140,Saint Helena,Africa,1,1,0,0,0.0,0
141,Sierra Leone,Africa,1,1,1,0,1.0,6
142,Senegal,Africa,1,1,4,0,4.0,2
143,El Salvador,Latin America,1,1,0,0,0.0,3
144,Syrian Arab Republic,Middle East,1,1,0,0,0.0,1
145,Swaziland,Africa,1,1,1,0,1.0,3
