Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1662,1595,82713,32197,49.77,748
2,Japan,Asiatic Region,596,589,17632,4357,29.58,308
3,United Kingdom,Western Europe,474,464,20059,3062,42.32,361
4,Germany,Western Europe,382,369,16069,3453,42.07,361
5,France,Western Europe,261,255,9226,1654,35.35,272
6,Italy,Western Europe,251,249,6279,1329,25.02,240
7,Canada,Northern America,204,200,9070,1087,44.46,282
8,India,Asiatic Region,188,188,7676,2428,40.83,287
9,China,Asiatic Region,175,175,3068,1034,17.53,397
10,Spain,Western Europe,167,166,6510,1450,38.98,244
11,Netherlands,Western Europe,146,145,7620,982,52.19,273
12,South Korea,Asiatic Region,142,142,5922,897,41.7,309
13,Taiwan,Asiatic Region,122,122,2763,400,22.65,206
14,Switzerland,Western Europe,117,113,7528,684,64.34,270
15,Australia,Pacific Region,106,106,4089,467,38.58,244
16,Sweden,Western Europe,87,85,6570,1069,75.52,220
17,Russian Federation,Eastern Europe,74,74,2345,384,31.69,137
18,Belgium,Western Europe,62,62,2548,247,41.1,184
19,Austria,Western Europe,58,56,2977,569,51.33,156
20,Brazil,Latin America,56,55,1096,408,19.57,166
21,Portugal,Western Europe,51,51,1801,265,35.31,172
22,Denmark,Western Europe,51,51,3193,283,62.61,190
23,Greece,Western Europe,49,49,861,294,17.57,121
24,Turkey,Middle East,48,47,1306,198,27.21,161
25,Israel,Middle East,39,38,2713,173,69.56,181
26,Poland,Eastern Europe,33,33,700,128,21.21,112
27,Finland,Western Europe,33,33,1193,150,36.15,141
28,Mexico,Latin America,33,33,1096,245,33.21,130
29,Ireland,Western Europe,32,32,918,80,28.69,153
30,Argentina,Latin America,27,27,623,78,23.07,87
31,Bulgaria,Eastern Europe,26,26,551,99,21.19,65
32,Czech Republic,Eastern Europe,24,24,757,152,31.54,110
33,Norway,Western Europe,23,23,1554,167,67.57,108
34,New Zealand,Pacific Region,22,22,748,58,34.0,116
35,Hong Kong,Asiatic Region,20,20,725,95,36.25,170
36,Nigeria,Africa,20,20,311,60,15.55,52
37,Egypt,Africa/Middle East,19,19,406,30,21.37,97
38,Singapore,Asiatic Region,18,18,618,70,34.33,239
39,Hungary,Eastern Europe,18,18,361,102,20.06,88
40,Cuba,Latin America,17,17,496,54,29.18,59
41,Slovakia,Eastern Europe,16,16,312,94,19.5,66
42,Romania,Eastern Europe,14,14,202,68,14.43,72
43,Chile,Latin America,12,12,426,82,35.5,85
44,Croatia,Eastern Europe,12,12,254,36,21.17,47
45,South Africa,Africa,10,10,721,69,72.1,103
46,United Arab Emirates,Middle East,7,7,2227,16,318.14,48
47,Malaysia,Asiatic Region,7,7,138,54,19.71,141
48,Slovenia,Eastern Europe,7,7,407,6,58.14,76
49,Venezuela,Latin America,7,7,195,7,27.86,33
50,Iran,Middle East,6,6,121,6,20.17,133
51,Latvia,Eastern Europe,6,6,58,11,9.67,40
52,Tunisia,Africa,5,5,218,43,43.6,77
53,Jordan,Middle East,5,5,99,21,19.8,41
54,Colombia,Latin America,5,5,170,1,34.0,67
55,Ukraine,Eastern Europe,4,4,55,10,13.75,60
56,Lithuania,Eastern Europe,4,4,50,10,12.5,42
57,Oman,Middle East,4,4,179,0,44.75,33
58,Indonesia,Asiatic Region,4,4,148,7,37.0,58
59,Thailand,Asiatic Region,3,3,327,2,109.0,110
60,Uruguay,Latin America,3,3,88,14,29.33,36
61,Pakistan,Asiatic Region,3,3,21,2,7.0,95
62,Macedonia,Eastern Europe,3,3,69,6,23.0,18
63,Puerto Rico,Latin America,3,3,200,9,66.67,36
64,Morocco,Africa,2,2,78,5,39.0,47
65,Belarus,Eastern Europe,2,2,6,1,3.0,42
66,Kuwait,Middle East,2,2,21,0,10.5,24
67,Saudi Arabia,Middle East,2,2,18,3,9.0,133
68,Serbia,Eastern Europe,2,1,15,2,7.5,63
69,Bangladesh,Asiatic Region,2,2,104,0,52.0,47
70,Sri Lanka,Asiatic Region,2,2,65,4,32.5,25
71,Honduras,Latin America,1,1,0,0,0.0,9
72,Nicaragua,Latin America,1,1,416,6,416.0,8
73,Kenya,Africa,1,1,1,0,1.0,29
74,Nepal,Asiatic Region,1,1,13,1,13.0,22
75,Panama,Latin America,1,1,8,5,8.0,16
76,Philippines,Asiatic Region,1,1,5,0,5.0,38
77,Iraq,Middle East,1,1,4,0,4.0,43
78,Malta,Western Europe,1,1,22,0,22.0,11
79,Sudan,Africa,1,1,27,0,27.0,24
80,Estonia,Eastern Europe,1,1,0,0,0.0,47
81,Cyprus,Western Europe,1,1,27,6,27.0,37
82,Armenia,Eastern Europe,1,1,27,0,27.0,15
83,Togo,Africa,1,1,27,0,27.0,6
84,Burkina Faso,Africa,1,1,27,1,27.0,13
85,Tanzania,Africa,1,1,20,0,20.0,26
86,Uganda,Africa,1,1,19,0,19.0,12
