Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,3533,3519,347165,98729,98.26,668
2,China,Asiatic Region,2571,2569,186885,106241,72.69,516
3,Germany,Western Europe,1720,1713,134263,30882,78.06,445
4,Japan,Asiatic Region,1630,1624,123809,27148,75.96,403
5,France,Western Europe,1097,1091,73768,13837,67.25,323
6,United Kingdom,Western Europe,1039,1037,73816,13407,71.05,355
7,Spain,Western Europe,790,782,54584,10184,69.09,290
8,Italy,Western Europe,679,672,42586,7428,62.72,273
9,India,Asiatic Region,648,647,28751,8071,44.37,222
10,Canada,Northern America,548,547,35220,4908,64.27,276
11,South Korea,Asiatic Region,540,537,40610,6033,75.2,309
12,Switzerland,Western Europe,422,418,33048,3955,78.31,276
13,Russian Federation,Eastern Europe,331,329,10081,2744,30.46,151
14,Netherlands,Western Europe,328,325,24057,3362,73.34,270
15,Poland,Eastern Europe,298,295,10759,2095,36.1,149
16,Australia,Pacific Region,245,244,23119,2883,94.36,257
17,Taiwan,Asiatic Region,223,223,12308,1839,55.19,188
18,Sweden,Western Europe,189,188,12795,1673,67.7,196
19,Brazil,Latin America,182,181,7245,1591,39.81,141
20,Belgium,Western Europe,163,161,12179,1570,74.72,187
21,Singapore,Asiatic Region,157,157,16702,1446,106.38,244
22,Hong Kong,Asiatic Region,147,147,15556,1988,105.82,216
23,Iran,Middle East,142,142,5346,1925,37.65,128
24,Denmark,Western Europe,135,134,8746,959,64.79,203
25,Israel,Middle East,130,129,9535,1368,73.35,183
26,Czech Republic,Eastern Europe,121,119,4855,1018,40.12,130
27,Portugal,Western Europe,121,120,6149,1175,50.82,135
28,Hungary,Eastern Europe,119,119,3731,581,31.35,108
29,Finland,Western Europe,106,104,8018,517,75.64,131
30,Austria,Western Europe,105,105,5510,704,52.48,139
31,Mexico,Latin America,96,96,4648,578,48.42,114
32,Greece,Western Europe,95,94,5784,568,60.88,143
33,Argentina,Latin America,84,84,3738,528,44.5,116
34,Turkey,Middle East,80,80,3622,821,45.28,110
35,Ireland,Western Europe,59,57,5404,453,91.59,128
36,Romania,Eastern Europe,54,54,2628,592,48.67,87
37,Norway,Western Europe,52,51,4687,422,90.13,124
38,Thailand,Asiatic Region,45,45,2209,205,49.09,82
39,New Zealand,Pacific Region,45,41,2007,271,44.6,102
40,Saudi Arabia,Middle East,45,45,1548,201,34.4,191
41,South Africa,Africa,44,44,1656,183,37.64,103
42,Ukraine,Eastern Europe,40,40,1752,408,43.8,81
43,Malaysia,Asiatic Region,39,39,2286,346,58.62,104
44,Chile,Latin America,34,34,1427,217,41.97,69
45,Bulgaria,Eastern Europe,34,34,1198,133,35.24,91
46,Egypt,Africa/Middle East,29,29,1552,235,53.52,97
47,Colombia,Latin America,25,25,1366,140,54.64,64
48,Venezuela,Latin America,21,21,787,84,37.48,66
49,Slovenia,Eastern Europe,20,20,1446,109,72.3,75
50,Slovakia,Eastern Europe,19,19,527,86,27.74,62
51,Algeria,Africa,18,18,414,49,23.0,55
52,Morocco,Africa,15,15,714,78,47.6,58
53,Serbia,Eastern Europe,15,15,375,65,25.0,53
54,Pakistan,Asiatic Region,14,14,360,33,25.71,76
55,Tunisia,Africa,13,13,529,105,40.69,56
56,Croatia,Eastern Europe,11,11,320,87,29.09,63
57,Puerto Rico,Latin America,10,10,368,40,36.8,48
58,Cyprus,Western Europe,9,9,464,53,51.56,58
59,Estonia,Eastern Europe,9,8,362,31,40.22,50
60,Uruguay,Latin America,8,8,165,25,20.63,33
61,Jordan,Middle East,7,7,129,11,18.43,33
62,Kuwait,Middle East,5,5,158,12,31.6,42
63,Nigeria,Africa,5,5,128,38,25.6,41
64,Cuba,Latin America,5,5,395,35,79.0,39
65,Lithuania,Eastern Europe,5,5,240,44,48.0,34
66,Lebanon,Middle East,4,4,262,9,65.5,39
67,Luxembourg,Western Europe,4,4,65,8,16.25,29
68,Moldova,Eastern Europe,4,4,454,7,113.5,40
69,Kazakhstan,Asiatic Region,4,4,46,14,11.5,23
70,Belarus,Eastern Europe,4,4,139,31,34.75,37
71,Indonesia,Asiatic Region,4,4,503,28,125.75,44
72,Bangladesh,Asiatic Region,4,4,403,21,100.75,46
73,Viet Nam,Asiatic Region,4,4,156,3,39.0,57
74,Kenya,Africa,3,2,51,7,17.0,17
75,Latvia,Eastern Europe,3,3,77,4,25.67,27
76,Iceland,Western Europe,3,3,230,44,76.67,30
77,Cameroon,Africa,2,2,86,5,43.0,21
78,Uzbekistan,Asiatic Region,2,2,57,3,28.5,17
79,Nepal,Asiatic Region,2,2,35,3,17.5,12
80,Iraq,Middle East,2,2,40,3,20.0,40
81,United Arab Emirates,Middle East,2,2,42,0,21.0,57
82,Trinidad and Tobago,Latin America,1,1,8,0,8.0,8
83,Azerbaijan,Eastern Europe,1,1,4,0,4.0,24
84,Tanzania,Africa,1,1,37,0,37.0,17
85,Jamaica,Latin America,1,1,12,1,12.0,10
86,Netherlands Antilles,Latin America,1,1,34,0,34.0,1
87,Qatar,Middle East,1,1,69,0,69.0,50
88,Liechtenstein,Western Europe,1,1,23,7,23.0,9
89,Fiji,Pacific Region,1,1,10,0,10.0,5
90,Georgia,Eastern Europe,1,1,30,8,30.0,19
91,Sudan,Africa,1,1,1,0,1.0,16
92,Martinique,Latin America,1,1,125,0,125.0,1
93,Sierra Leone,Africa,1,1,90,5,90.0,2
94,Syrian Arab Republic,Middle East,1,1,13,1,13.0,11
95,Mongolia,Asiatic Region,1,1,9,0,9.0,12
96,Libya,Africa,1,1,29,0,29.0,13
