Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,312,305,3887,1752,12.46,92
2,Russian Federation,Eastern Europe,107,107,57,30,0.53,15
3,United Kingdom,Western Europe,21,20,254,38,12.1,47
4,Canada,Northern America,20,19,235,58,11.75,39
5,Ukraine,Eastern Europe,14,14,5,0,0.36,8
6,France,Western Europe,11,11,362,58,32.91,41
7,Japan,Asiatic Region,10,10,299,40,29.9,34
8,Germany,Western Europe,10,10,186,51,18.6,46
9,Sweden,Western Europe,9,8,124,15,13.78,35
10,Italy,Western Europe,6,6,146,42,24.33,43
11,Netherlands,Western Europe,6,6,94,14,15.67,33
12,Belgium,Western Europe,5,5,86,24,17.2,26
13,Spain,Western Europe,4,3,75,14,18.75,32
14,South Korea,Asiatic Region,3,3,45,8,15.0,29
15,Greece,Western Europe,3,3,20,1,6.67,22
16,India,Asiatic Region,3,3,30,16,10.0,40
17,Austria,Western Europe,2,2,45,8,22.5,16
18,Australia,Pacific Region,2,2,3,0,1.5,31
19,Brazil,Latin America,2,2,123,48,61.5,27
20,Finland,Western Europe,2,2,152,24,76.0,23
21,New Zealand,Pacific Region,2,2,27,5,13.5,12
22,Venezuela,Latin America,1,1,45,0,45.0,3
23,Estonia,Eastern Europe,1,1,1,0,1.0,1
24,Algeria,Africa,1,1,2,1,2.0,7
25,Slovenia,Eastern Europe,1,1,36,2,36.0,7
26,Taiwan,Asiatic Region,1,1,14,0,14.0,23
27,China,Asiatic Region,1,1,6,1,6.0,37
28,Switzerland,Western Europe,1,1,125,14,125.0,30
29,Uzbekistan,Asiatic Region,1,1,0,0,0.0,1
30,Mexico,Latin America,1,1,2,2,2.0,16
