Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,1788,1775,139214,38627,77.86,581
2,China,Asiatic Region,1493,1491,105432,67748,70.62,399
3,Germany,Western Europe,507,498,24206,4535,47.74,291
4,Japan,Asiatic Region,459,459,23426,5228,51.04,328
5,United Kingdom,Western Europe,380,378,21452,3358,56.45,281
6,France,Western Europe,366,362,12259,2149,33.49,244
7,India,Asiatic Region,296,295,11700,3552,39.53,214
8,South Korea,Asiatic Region,251,251,15306,2173,60.98,249
9,Spain,Western Europe,219,219,11198,1555,51.13,208
10,Italy,Western Europe,194,193,7887,1253,40.65,193
11,Canada,Northern America,181,181,9851,1388,54.43,237
12,Australia,Pacific Region,176,173,9667,1400,54.93,203
13,Russian Federation,Eastern Europe,175,174,2663,1117,15.22,116
14,Poland,Eastern Europe,129,129,3328,834,25.8,119
15,Iran,Middle East,126,125,3753,1168,29.79,99
16,Switzerland,Western Europe,120,119,7121,872,59.34,203
17,Saudi Arabia,Middle East,105,105,11731,1018,111.72,143
18,Sweden,Western Europe,104,104,4384,574,42.15,171
19,Taiwan,Asiatic Region,103,102,5154,500,50.04,150
20,Brazil,Latin America,100,100,2404,661,24.04,106
21,Singapore,Asiatic Region,100,100,8440,764,84.4,178
22,Netherlands,Western Europe,98,98,5621,690,57.36,199
23,Belgium,Western Europe,84,83,2241,189,26.68,139
24,Israel,Middle East,68,68,3119,369,45.87,158
25,Portugal,Western Europe,67,65,3164,488,47.22,102
26,Austria,Western Europe,54,54,1006,62,18.63,85
27,Denmark,Western Europe,52,52,2154,171,41.42,133
28,Czech Republic,Eastern Europe,50,49,1131,172,22.62,89
29,Turkey,Middle East,44,44,1315,209,29.89,95
30,Finland,Western Europe,43,43,1491,247,34.67,101
31,Mexico,Latin America,41,41,1736,132,42.34,68
32,Hong Kong,Asiatic Region,40,40,3707,360,92.68,164
33,Argentina,Latin America,40,40,1479,232,36.98,83
34,Ukraine,Eastern Europe,38,37,959,143,25.24,75
35,Egypt,Africa/Middle East,31,31,2122,172,68.45,73
36,Bulgaria,Eastern Europe,31,29,633,70,20.42,63
37,Ireland,Western Europe,31,31,1538,124,49.61,86
38,Greece,Western Europe,30,30,1255,103,41.83,83
39,Romania,Eastern Europe,28,28,470,115,16.79,48
40,Thailand,Asiatic Region,28,28,636,124,22.71,62
41,Norway,Western Europe,28,28,399,71,14.25,84
42,South Africa,Africa,23,23,1479,96,64.3,62
43,Malaysia,Asiatic Region,21,21,559,127,26.62,64
44,Hungary,Eastern Europe,21,21,754,65,35.9,78
45,Pakistan,Asiatic Region,19,19,394,60,20.74,56
46,Slovenia,Eastern Europe,17,17,444,33,26.12,52
47,United Arab Emirates,Middle East,16,15,469,59,29.31,41
48,New Zealand,Pacific Region,15,15,427,57,28.47,72
49,Lithuania,Eastern Europe,13,13,659,64,50.69,31
50,Chile,Latin America,12,12,821,33,68.42,42
51,Viet Nam,Asiatic Region,11,11,762,50,69.27,36
52,Algeria,Africa,10,10,239,18,23.9,34
53,Croatia,Eastern Europe,9,8,28,1,3.11,46
54,Kazakhstan,Asiatic Region,8,8,178,34,22.25,29
55,Serbia,Eastern Europe,8,8,236,61,29.5,41
56,Iraq,Middle East,8,8,689,70,86.13,31
57,Qatar,Middle East,7,7,276,15,39.43,31
58,Lebanon,Middle East,7,7,260,34,37.14,22
59,Colombia,Latin America,6,6,53,14,8.83,18
60,Bangladesh,Asiatic Region,6,6,99,16,16.5,25
61,Belarus,Eastern Europe,5,5,59,18,11.8,30
62,Tunisia,Africa,5,5,182,22,36.4,41
63,Slovakia,Eastern Europe,5,5,136,12,27.2,49
64,Indonesia,Asiatic Region,4,4,134,25,33.5,24
65,Nepal,Asiatic Region,4,4,170,13,42.5,22
66,Tanzania,Africa,3,3,171,2,57.0,5
67,Luxembourg,Western Europe,3,3,65,10,21.67,14
68,Ecuador,Latin America,3,3,76,12,25.33,13
69,Venezuela,Latin America,2,2,79,5,39.5,41
70,Côte d’Ivoire,Africa,2,2,19,3,9.5,5
71,Senegal,Africa,2,2,27,2,13.5,5
72,Jordan,Middle East,2,2,41,4,20.5,17
73,Kuwait,Middle East,2,2,0,0,0.0,22
74,Armenia,Eastern Europe,2,2,14,3,7.0,10
75,Uruguay,Latin America,2,2,100,5,50.0,17
76,Montenegro,Eastern Europe,2,2,78,0,39.0,2
77,Nigeria,Africa,2,2,1,0,0.5,25
78,Ethiopia,Africa,2,2,31,1,15.5,10
79,Estonia,Eastern Europe,2,2,50,1,25.0,27
80,Latvia,Eastern Europe,2,2,24,1,12.0,16
81,Libya,Africa,2,2,38,1,19.0,5
82,Albania,Eastern Europe,1,1,0,0,0.0,3
83,North Korea,Asiatic Region,1,1,17,0,17.0,6
84,Morocco,Africa,1,1,14,3,14.0,40
85,Macedonia,Eastern Europe,1,1,6,1,6.0,11
86,Macao,Asiatic Region,1,1,0,0,0.0,14
87,Malawi,Africa,1,1,63,0,63.0,1
88,Grenada,Latin America,1,1,2,2,2.0,2
89,Namibia,Africa,1,1,11,3,11.0,4
90,Oman,Middle East,1,1,92,11,92.0,18
91,Puerto Rico,Latin America,1,1,3,0,3.0,38
92,Dominica,Latin America,1,1,51,0,51.0,1
93,Cuba,Latin America,1,1,28,3,28.0,25
94,Costa Rica,Latin America,1,1,78,6,78.0,18
95,Rwanda,Africa,1,1,63,0,63.0,4
96,Syrian Arab Republic,Middle East,1,1,2,0,2.0,9
97,Botswana,Africa,1,1,9,0,9.0,8
98,Bahrain,Middle East,1,1,20,2,20.0,12
99,Azerbaijan,Eastern Europe,1,1,7,3,7.0,9
100,Uzbekistan,Asiatic Region,1,1,0,0,0.0,10
101,Iceland,Western Europe,1,1,29,1,29.0,13
