Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,2744,2720,39424,23964,14.37,169
2,United States,Northern America,2201,2171,28509,9406,12.95,263
3,Germany,Western Europe,813,797,7907,2528,9.73,138
4,India,Asiatic Region,788,766,9805,4325,12.44,129
5,France,Western Europe,721,707,7753,1859,10.75,141
6,Japan,Asiatic Region,695,694,4650,1307,6.69,123
7,United Kingdom,Western Europe,610,596,9038,1863,14.82,152
8,South Korea,Asiatic Region,577,570,6092,1268,10.56,119
9,Russian Federation,Eastern Europe,513,493,3624,2049,7.06,80
10,Italy,Western Europe,453,440,6658,2108,14.7,119
11,Canada,Northern America,422,420,5878,1225,13.93,116
12,Iran,Middle East,352,349,8344,3078,23.7,136
13,Taiwan,Asiatic Region,347,345,3218,452,9.27,102
14,Australia,Pacific Region,331,324,4503,994,13.6,109
15,Spain,Western Europe,274,266,4150,927,15.15,100
16,Netherlands,Western Europe,213,211,2658,510,12.48,104
17,Poland,Eastern Europe,204,202,2344,862,11.49,72
18,Brazil,Latin America,200,199,1960,480,9.8,73
19,Turkey,Middle East,180,180,3144,665,17.47,100
20,Sweden,Western Europe,176,176,2132,384,12.11,84
21,Singapore,Asiatic Region,174,171,2767,301,15.9,85
22,Malaysia,Asiatic Region,154,154,3354,610,21.78,91
23,Pakistan,Asiatic Region,150,150,2780,1136,18.53,99
24,Saudi Arabia,Middle East,146,145,3422,868,23.44,98
25,Switzerland,Western Europe,131,130,2175,382,16.6,101
26,Hong Kong,Asiatic Region,128,125,1622,173,12.67,87
27,Austria,Western Europe,106,96,706,151,6.66,56
28,Algeria,Africa,99,99,609,119,6.15,46
29,Tunisia,Africa,99,99,632,106,6.38,45
30,Egypt,Africa/Middle East,98,97,1846,458,18.84,72
31,Belgium,Western Europe,93,92,1489,218,16.01,76
32,Greece,Western Europe,92,89,1342,246,14.59,71
33,Mexico,Latin America,83,83,1002,216,12.07,56
34,Czech Republic,Eastern Europe,81,81,937,323,11.57,45
35,Norway,Western Europe,80,79,711,186,8.89,61
36,Denmark,Western Europe,80,79,735,245,9.19,62
37,Portugal,Western Europe,73,70,1048,178,14.36,67
38,Israel,Middle East,72,70,604,152,8.39,71
39,Romania,Eastern Europe,60,59,761,134,12.68,75
40,Thailand,Asiatic Region,58,58,1109,149,19.12,72
41,Finland,Western Europe,56,53,572,102,10.21,62
42,South Africa,Africa,54,39,784,115,14.52,63
43,Indonesia,Asiatic Region,49,49,529,171,10.8,38
44,Morocco,Africa,39,39,279,87,7.15,42
45,United Arab Emirates,Middle East,38,38,480,58,12.63,51
46,Hungary,Eastern Europe,36,35,559,128,15.53,44
47,Ireland,Western Europe,36,36,496,70,13.78,48
48,Colombia,Latin America,32,31,151,34,4.72,27
49,Iraq,Middle East,32,32,893,144,27.91,56
50,Nigeria,Africa,29,28,696,151,24.0,47
51,Ukraine,Eastern Europe,26,26,184,105,7.08,30
52,Chile,Latin America,22,22,115,20,5.23,41
53,Slovenia,Eastern Europe,22,21,557,95,25.32,42
54,Serbia,Eastern Europe,21,13,136,26,6.48,34
55,Bangladesh,Asiatic Region,19,19,264,48,13.89,45
56,Qatar,Middle East,18,18,235,30,13.06,31
57,Cyprus,Western Europe,18,18,82,15,4.56,26
58,Jordan,Middle East,16,16,116,11,7.25,46
59,Argentina,Latin America,16,16,185,23,11.56,32
60,Viet Nam,Asiatic Region,16,16,183,54,11.44,57
61,Oman,Middle East,15,15,310,21,20.67,36
62,Croatia,Eastern Europe,14,13,547,47,39.07,32
63,Kuwait,Middle East,13,13,145,20,11.15,55
64,Lebanon,Middle East,11,11,185,76,16.82,29
65,Cameroon,Africa,11,11,97,33,8.82,20
66,Slovakia,Eastern Europe,11,10,124,19,11.27,29
67,New Zealand,Pacific Region,11,11,150,13,13.64,53
68,Belarus,Eastern Europe,10,10,66,21,6.6,27
69,Bosnia and Herzegovina,Eastern Europe,9,9,52,7,5.78,16
70,Latvia,Eastern Europe,9,9,43,17,4.78,17
71,Bulgaria,Eastern Europe,8,8,153,19,19.13,33
72,Kazakhstan,Asiatic Region,8,8,20,9,2.5,20
73,Libya,Africa,7,7,50,1,7.14,19
74,Armenia,Eastern Europe,6,6,21,2,3.5,13
75,Macao,Asiatic Region,6,6,55,20,9.17,19
76,Ecuador,Latin America,6,6,46,6,7.67,18
77,Luxembourg,Western Europe,5,5,168,22,33.6,14
78,Estonia,Eastern Europe,5,5,47,8,9.4,19
79,Lithuania,Eastern Europe,5,5,98,28,19.6,22
80,Venezuela,Latin America,5,5,75,7,15.0,17
81,Ethiopia,Africa,4,4,114,70,28.5,20
82,Sudan,Africa,4,4,37,3,9.25,13
83,Malta,Western Europe,3,3,70,0,23.33,9
84,Bolivia,Latin America,3,3,63,5,21.0,7
85,Palestine,Middle East,2,2,1,0,0.5,17
86,Bahrain,Middle East,2,2,18,4,9.0,9
