Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,656,652,23318,6158,35.55,239
2,China,Asiatic Region,563,563,9584,4510,17.02,274
3,Japan,Asiatic Region,452,450,17384,3277,38.46,172
4,Germany,Western Europe,254,252,8265,1264,32.54,148
5,France,Western Europe,213,211,11561,1373,54.28,162
6,United Kingdom,Western Europe,187,186,6825,749,36.5,148
7,Russian Federation,Eastern Europe,177,177,2491,636,14.07,89
8,India,Asiatic Region,147,147,6288,1500,42.78,160
9,Italy,Western Europe,146,142,7899,1007,54.1,155
10,Spain,Western Europe,137,136,6715,1140,49.01,159
11,South Korea,Asiatic Region,124,124,2990,590,24.11,133
12,Netherlands,Western Europe,90,89,6186,520,68.73,125
13,Taiwan,Asiatic Region,86,86,2843,371,33.06,103
14,Brazil,Latin America,64,64,3695,570,57.73,109
15,Poland,Eastern Europe,63,63,2077,380,32.97,99
16,Canada,Northern America,62,61,3140,309,50.65,118
17,Argentina,Latin America,39,39,1159,198,29.72,82
18,Turkey,Middle East,37,37,2180,280,58.92,100
19,Switzerland,Western Europe,37,37,2621,186,70.84,112
20,Sweden,Western Europe,34,34,8633,530,253.91,90
21,Belgium,Western Europe,34,34,2252,170,66.24,99
22,Portugal,Western Europe,34,34,1172,184,34.47,100
23,Mexico,Latin America,33,33,1585,227,48.03,84
24,Singapore,Asiatic Region,33,33,1054,76,31.94,107
25,Australia,Pacific Region,33,33,1475,112,44.7,125
26,Greece,Western Europe,31,31,1038,217,33.48,108
27,Hungary,Eastern Europe,30,29,1286,146,42.87,67
28,Finland,Western Europe,28,28,1046,158,37.36,79
29,Czech Republic,Eastern Europe,26,25,619,114,23.81,68
30,Egypt,Africa/Middle East,22,22,477,99,21.68,87
31,Austria,Western Europe,20,20,495,88,24.75,62
32,Croatia,Eastern Europe,20,20,174,26,8.7,39
33,Bulgaria,Eastern Europe,19,18,631,127,33.21,71
34,Norway,Western Europe,19,19,551,73,29.0,70
35,Romania,Eastern Europe,17,17,330,50,19.41,59
36,Denmark,Western Europe,16,16,1256,86,78.5,84
37,Israel,Middle East,16,16,566,40,35.38,54
38,Ukraine,Eastern Europe,15,15,93,17,6.2,42
39,Slovakia,Eastern Europe,14,12,544,35,38.86,45
40,Slovenia,Eastern Europe,13,13,544,35,41.85,54
41,Hong Kong,Asiatic Region,13,13,843,37,64.85,108
42,New Zealand,Pacific Region,12,11,336,48,28.0,46
43,Iran,Middle East,11,11,366,85,33.27,128
44,South Africa,Africa,10,10,251,51,25.1,76
45,Saudi Arabia,Middle East,9,8,199,23,22.11,102
46,Venezuela,Latin America,9,9,327,25,36.33,45
47,Qatar,Middle East,8,7,3,0,0.38,40
48,Malaysia,Asiatic Region,7,7,159,32,22.71,105
49,Ireland,Western Europe,6,6,223,18,37.17,68
50,Cuba,Latin America,6,6,159,30,26.5,28
51,Jordan,Middle East,5,5,89,3,17.8,39
52,Algeria,Africa,5,5,74,8,14.8,49
53,Morocco,Africa,5,5,238,83,47.6,54
54,Pakistan,Asiatic Region,4,4,62,12,15.5,77
55,Indonesia,Asiatic Region,4,4,7,0,1.75,42
56,Chile,Latin America,4,4,204,52,51.0,50
57,Sri Lanka,Asiatic Region,3,3,377,14,125.67,23
58,Oman,Middle East,3,3,48,5,16.0,28
59,Serbia,Eastern Europe,3,2,27,3,9.0,49
60,Colombia,Latin America,3,3,63,0,21.0,53
61,Thailand,Asiatic Region,2,2,9,1,4.5,71
62,Armenia,Eastern Europe,2,2,43,8,21.5,7
63,Tunisia,Africa,2,2,2205,31,1102.5,63
64,United Arab Emirates,Middle East,2,2,1,0,0.5,54
65,Viet Nam,Asiatic Region,2,2,78,3,39.0,57
66,Latvia,Eastern Europe,2,2,52,0,26.0,24
67,Kuwait,Middle East,2,2,3,3,1.5,35
68,Syrian Arab Republic,Middle East,1,1,421,1,421.0,12
69,Burkina Faso,Africa,1,1,14,4,14.0,8
70,Trinidad and Tobago,Latin America,1,1,0,0,0.0,5
71,Barbados,Latin America,1,1,0,0,0.0,2
72,Azerbaijan,Eastern Europe,1,1,6,5,6.0,21
73,Uruguay,Latin America,1,1,28,8,28.0,22
74,Lithuania,Eastern Europe,1,1,14,3,14.0,33
75,Iceland,Western Europe,1,1,8,3,8.0,10
76,Peru,Latin America,1,1,32,0,32.0,16
77,Palestine,Middle East,1,1,9,0,9.0,18
78,Kazakhstan,Asiatic Region,1,1,40,1,40.0,24
79,Yemen,Middle East,1,1,0,0,0.0,15
80,Nigeria,Africa,1,1,4,4,4.0,47
81,Lebanon,Middle East,1,1,0,0,0.0,29
82,Cyprus,Western Europe,1,1,20,1,20.0,41
83,Moldova,Eastern Europe,1,1,6,1,6.0,9
