Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,72269,71761,562409,418496,7.78,611
2,United States,Northern America,23643,22721,169469,46728,7.17,959
3,India,Asiatic Region,17895,17407,93162,36577,5.21,403
4,Germany,Western Europe,10728,10138,66225,16666,6.17,556
5,South Korea,Asiatic Region,10057,9954,63788,13967,6.34,428
6,United Kingdom,Western Europe,8170,7777,57966,9938,7.09,525
7,Japan,Asiatic Region,8120,7993,42022,9999,5.18,485
8,Italy,Western Europe,8023,7518,48357,13451,6.03,373
9,Russian Federation,Eastern Europe,7194,7075,24783,10490,3.44,210
10,Spain,Western Europe,6495,6219,39115,8223,6.02,388
11,France,Western Europe,6346,6113,36168,6552,5.7,428
12,Iran,Middle East,5876,5818,42392,12997,7.21,239
13,Canada,Northern America,5018,4900,34577,5577,6.89,411
14,Australia,Pacific Region,4627,4505,43662,7005,9.44,382
15,Saudi Arabia,Middle East,4592,4564,43499,14488,9.47,266
16,Poland,Eastern Europe,4213,4127,21045,5011,5.0,217
17,Brazil,Latin America,4096,4021,20426,5272,4.99,234
18,Taiwan,Asiatic Region,3737,3694,23708,4701,6.34,281
19,Malaysia,Asiatic Region,3528,3459,22690,5403,6.43,230
20,Turkey,Middle East,3327,3274,19428,5252,5.84,237
21,Egypt,Africa/Middle East,2771,2755,25201,8938,9.09,172
22,Pakistan,Asiatic Region,2517,2504,23397,8348,9.3,163
23,Netherlands,Western Europe,2514,2425,18290,2697,7.28,383
24,Switzerland,Western Europe,2114,2030,16995,2349,8.04,379
25,Mexico,Latin America,2083,2008,9369,1744,4.5,183
26,Portugal,Western Europe,2037,1907,13251,2430,6.51,237
27,Sweden,Western Europe,1984,1927,13602,2095,6.86,298
28,Belgium,Western Europe,1822,1758,12703,1900,6.97,279
29,Singapore,Asiatic Region,1750,1714,20890,2307,11.94,355
30,Czech Republic,Eastern Europe,1730,1697,8592,1616,4.97,177
31,Thailand,Asiatic Region,1582,1563,9096,1738,5.75,169
32,Hong Kong,Asiatic Region,1483,1455,18485,1948,12.46,284
33,Viet Nam,Asiatic Region,1404,1390,11013,1617,7.84,105
34,Austria,Western Europe,1396,1323,7282,1353,5.22,206
35,Indonesia,Asiatic Region,1350,1348,5710,1539,4.23,100
36,South Africa,Africa,1298,1273,8147,1332,6.28,170
37,Denmark,Western Europe,1255,1197,9297,1305,7.41,279
38,Greece,Western Europe,1202,1144,7592,1541,6.32,213
39,Romania,Eastern Europe,1100,1068,6086,1444,5.53,138
40,Finland,Western Europe,1070,1033,7394,1050,6.91,213
41,Ukraine,Eastern Europe,1048,1021,2766,1115,2.64,118
42,Iraq,Middle East,1022,1020,6246,1743,6.11,96
43,Israel,Middle East,963,929,5510,944,5.72,263
44,Norway,Western Europe,893,862,5914,861,6.62,193
45,Colombia,Latin America,868,855,3292,742,3.79,115
46,Hungary,Eastern Europe,851,824,3733,725,4.39,151
47,Nigeria,Africa,838,831,5269,1535,6.29,109
48,United Arab Emirates,Middle East,828,810,8392,1427,10.14,119
49,Ireland,Western Europe,775,739,6243,890,8.06,216
50,Chile,Latin America,751,725,3690,601,4.91,121
51,Slovakia,Eastern Europe,704,665,3333,675,4.73,103
52,Tunisia,Africa,664,661,3827,630,5.76,117
53,Algeria,Africa,652,648,4025,939,6.17,113
54,Argentina,Latin America,627,606,2725,397,4.35,158
55,Morocco,Africa,621,612,3378,971,5.44,112
56,Bangladesh,Asiatic Region,602,596,3490,866,5.8,97
57,Slovenia,Eastern Europe,578,559,3565,502,6.17,135
58,New Zealand,Pacific Region,481,467,3282,436,6.82,174
59,Serbia,Eastern Europe,467,463,2026,371,4.34,102
60,Qatar,Middle East,450,402,3800,501,8.44,103
61,Croatia,Eastern Europe,436,430,2147,464,4.92,108
62,Kazakhstan,Asiatic Region,428,425,1873,440,4.38,54
63,Bulgaria,Eastern Europe,354,331,1286,244,3.63,129
64,Jordan,Middle East,320,319,2376,791,7.43,102
65,Lithuania,Eastern Europe,290,287,1589,298,5.48,69
66,Ethiopia,Africa,287,283,1605,287,5.59,51
67,Kuwait,Middle East,240,239,1702,260,7.09,100
68,Latvia,Eastern Europe,238,238,728,192,3.06,58
69,Philippines,Asiatic Region,234,227,1395,206,5.96,73
70,Oman,Middle East,222,220,1592,175,7.17,83
71,Belarus,Eastern Europe,171,171,863,152,5.05,82
72,Azerbaijan,Eastern Europe,163,163,470,107,2.88,43
73,Ecuador,Latin America,160,156,751,118,4.69,42
74,Macao,Asiatic Region,159,148,1903,93,11.97,77
75,Bosnia and Herzegovina,Eastern Europe,158,156,223,34,1.41,36
76,Estonia,Eastern Europe,154,149,905,154,5.88,81
77,Lebanon,Middle East,151,149,1278,118,8.46,70
78,Cyprus,Western Europe,146,142,1151,129,7.88,83
79,Sri Lanka,Asiatic Region,134,132,742,94,5.54,58
80,Peru,Latin America,133,132,647,134,4.86,45
81,Yemen,Middle East,106,106,797,252,7.52,36
82,Cameroon,Africa,106,104,401,117,3.78,46
83,Brunei Darussalam,Asiatic Region,99,99,888,110,8.97,49
84,Ghana,Africa,97,97,371,64,3.82,41
85,Cuba,Latin America,96,95,349,45,3.64,86
86,Sudan,Africa,94,94,704,54,7.49,44
87,Luxembourg,Western Europe,85,82,495,47,5.82,61
88,Uzbekistan,Asiatic Region,84,83,215,110,2.56,30
89,Kenya,Africa,72,71,450,43,6.25,50
90,Palestine,Middle East,66,66,436,87,6.61,44
91,Uruguay,Latin America,62,61,239,34,3.85,50
92,Libya,Africa,61,61,430,41,7.05,39
93,Nepal,Asiatic Region,60,60,542,68,9.03,49
94,Tanzania,Africa,58,56,284,37,4.9,42
95,Venezuela,Latin America,53,53,220,25,4.15,94
96,Botswana,Africa,50,49,234,30,4.68,31
97,Iceland,Western Europe,42,41,318,44,7.57,55
98,Armenia,Eastern Europe,38,32,105,31,2.76,30
99,Uganda,Africa,38,38,199,41,5.24,25
100,Costa Rica,Latin America,37,36,206,22,5.57,41
101,Bahrain,Middle East,34,34,146,21,4.29,40
102,Malta,Western Europe,32,32,164,21,5.13,24
103,Syrian Arab Republic,Middle East,32,31,173,25,5.41,32
