Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,8542,8502,200219,123200,23.44,288
2,United States,Northern America,4005,3887,96775,31352,24.16,411
3,Spain,Western Europe,1555,1535,43622,9462,28.05,250
4,Japan,Asiatic Region,1456,1432,20852,5524,14.32,217
5,India,Asiatic Region,1395,1389,27906,10063,20.0,208
6,Germany,Western Europe,1344,1304,31797,7501,23.66,256
7,Italy,Western Europe,1259,1234,33450,8707,26.57,216
8,United Kingdom,Western Europe,1101,1071,29109,5292,26.44,269
9,Brazil,Latin America,1065,1054,24897,7064,23.38,163
10,France,Western Europe,1047,1033,23408,4149,22.36,205
11,South Korea,Asiatic Region,1042,1042,22781,4363,21.86,171
12,Iran,Middle East,1012,1010,24492,8188,24.2,156
13,Poland,Eastern Europe,868,855,17708,4167,20.4,166
14,Canada,Northern America,682,665,16158,2797,23.69,228
15,Australia,Pacific Region,600,587,17575,2951,29.29,183
16,Russian Federation,Eastern Europe,595,594,7236,2844,12.16,115
17,Turkey,Middle East,566,562,12334,2599,21.79,156
18,Egypt,Africa/Middle East,498,497,9318,3133,18.71,112
19,Belgium,Western Europe,464,457,9898,1568,21.33,174
20,Malaysia,Asiatic Region,462,458,9868,1869,21.36,139
21,Saudi Arabia,Middle East,447,447,13117,1991,29.34,108
22,Taiwan,Asiatic Region,417,414,8104,1194,19.43,154
23,Czech Republic,Eastern Europe,406,403,7930,1678,19.53,133
24,Netherlands,Western Europe,372,358,9980,1421,26.83,197
25,Portugal,Western Europe,354,352,9436,1637,26.66,142
26,Switzerland,Western Europe,347,337,8863,1538,25.54,182
27,Sweden,Western Europe,273,269,6949,782,25.45,181
28,Austria,Western Europe,271,265,5459,937,20.14,145
29,Mexico,Latin America,239,239,4945,878,20.69,100
30,Pakistan,Asiatic Region,233,232,5387,1034,23.12,96
31,Thailand,Asiatic Region,232,232,5418,824,23.35,127
32,Argentina,Latin America,219,215,4365,727,19.93,98
33,Denmark,Western Europe,197,196,4557,739,23.13,161
34,Hungary,Eastern Europe,190,188,3773,677,19.86,106
35,Romania,Eastern Europe,179,177,4289,753,23.96,91
36,Hong Kong,Asiatic Region,173,171,5315,388,30.72,122
37,Greece,Western Europe,168,164,4724,735,28.12,140
38,Singapore,Asiatic Region,167,165,5819,527,34.84,139
39,South Africa,Africa,167,167,4646,719,27.82,102
40,Ireland,Western Europe,147,145,4438,691,30.19,129
41,Slovakia,Eastern Europe,129,128,2318,369,17.97,83
42,Norway,Western Europe,122,118,3117,507,25.55,117
43,Tunisia,Africa,122,121,2652,440,21.74,79
44,Serbia,Eastern Europe,114,113,2334,450,20.47,81
45,Finland,Western Europe,114,114,2360,349,20.7,124
46,Chile,Latin America,103,102,2919,414,28.34,80
47,New Zealand,Pacific Region,101,101,2705,350,26.78,103
48,Slovenia,Eastern Europe,94,94,2786,299,29.64,99
49,Macao,Asiatic Region,84,83,2487,186,29.61,62
50,Algeria,Africa,81,81,1758,248,21.7,63
51,Israel,Middle East,73,72,1622,200,22.22,112
52,Viet Nam,Asiatic Region,69,69,1610,198,23.33,64
53,Croatia,Eastern Europe,60,60,2090,311,34.83,85
54,Colombia,Latin America,56,54,950,192,16.96,62
55,Ukraine,Eastern Europe,54,54,982,180,18.19,64
56,Morocco,Africa,53,53,3932,303,74.19,67
57,Indonesia,Asiatic Region,49,48,868,210,17.71,67
58,Bulgaria,Eastern Europe,48,48,665,93,13.85,69
59,Nigeria,Africa,39,39,650,100,16.67,65
60,Lithuania,Eastern Europe,31,31,685,157,22.1,60
61,Jordan,Middle East,30,30,366,67,12.2,58
62,Oman,Middle East,27,27,397,48,14.7,38
63,Estonia,Eastern Europe,26,26,698,74,26.85,60
64,Qatar,Middle East,24,24,1385,59,57.71,42
65,Bangladesh,Asiatic Region,23,23,657,58,28.57,54
66,Ecuador,Latin America,23,23,742,75,32.26,42
67,United Arab Emirates,Middle East,23,21,474,39,20.61,63
68,Iraq,Middle East,22,22,513,197,23.32,52
69,Cuba,Latin America,22,22,462,16,21.0,53
70,Uruguay,Latin America,20,19,371,44,18.55,45
71,Lebanon,Middle East,19,19,600,76,31.58,44
72,Luxembourg,Western Europe,19,19,451,63,23.74,47
73,Kazakhstan,Asiatic Region,17,17,738,85,43.41,28
74,Philippines,Asiatic Region,16,16,220,23,13.75,42
75,Kenya,Africa,15,15,475,44,31.67,43
76,Ethiopia,Africa,15,15,512,64,34.13,40
77,Cameroon,Africa,14,14,195,38,13.93,45
78,Peru,Latin America,14,14,285,32,20.36,39
79,Ghana,Africa,14,13,250,17,17.86,36
80,Latvia,Eastern Europe,12,12,277,15,23.08,37
81,Costa Rica,Latin America,11,11,377,15,34.27,32
82,Macedonia,Eastern Europe,11,11,128,18,11.64,39
83,Sudan,Africa,11,11,256,17,23.27,45
84,Tanzania,Africa,10,10,196,21,19.6,33
85,Belarus,Eastern Europe,10,10,210,45,21.0,38
86,Cyprus,Western Europe,9,9,112,17,12.44,40
87,Bosnia and Herzegovina,Eastern Europe,8,8,94,8,11.75,21
88,Fiji,Pacific Region,8,8,225,13,28.13,29
89,Venezuela,Latin America,8,8,115,9,14.38,48
90,Sri Lanka,Asiatic Region,7,7,149,11,21.29,36
91,Madagascar,Africa,7,6,50,6,7.14,31
92,Georgia,Eastern Europe,7,7,242,39,34.57,50
93,Mongolia,Asiatic Region,7,6,126,10,18.0,18
94,Mauritius,Africa,7,7,167,10,23.86,18
95,Brunei Darussalam,Asiatic Region,7,7,258,26,36.86,22
96,Botswana,Africa,7,7,162,8,23.14,35
97,Iceland,Western Europe,6,6,57,9,9.5,37
98,Panama,Latin America,6,6,117,4,19.5,35
99,Senegal,Africa,6,6,37,9,6.17,19
100,Uzbekistan,Asiatic Region,5,5,37,6,7.4,26
101,Bolivia,Latin America,5,5,72,7,14.4,19
102,Palestine,Middle East,5,5,110,15,22.0,38
