Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,24642,24547,1024442,611744,41.57,737
2,United States,Northern America,16120,15816,1072160,313045,66.51,1079
3,India,Asiatic Region,6585,6541,155726,52627,23.65,351
4,Germany,Western Europe,6569,6471,323660,70393,49.27,637
5,Japan,Asiatic Region,6032,5976,251517,57782,41.7,544
6,South Korea,Asiatic Region,5403,5343,214597,36747,39.72,461
7,United Kingdom,Western Europe,4284,4189,255361,40183,59.61,592
8,France,Western Europe,4057,4009,192219,33386,47.38,491
9,Spain,Western Europe,3062,3035,149981,27369,48.98,439
10,Russian Federation,Eastern Europe,3006,2918,40980,15938,13.63,227
11,Iran,Middle East,2955,2949,60508,21829,20.48,199
12,Canada,Northern America,2459,2432,126853,17835,51.59,436
13,Italy,Western Europe,2421,2387,108003,22250,44.61,404
14,Brazil,Latin America,1948,1917,38803,12933,19.92,228
15,Australia,Pacific Region,1931,1903,99895,14749,51.73,416
16,Taiwan,Asiatic Region,1914,1891,72827,9378,38.05,280
17,Poland,Eastern Europe,1805,1776,32810,8492,18.18,228
18,Switzerland,Western Europe,1473,1435,89851,10274,61.0,417
19,Malaysia,Asiatic Region,1442,1429,30571,6098,21.2,187
20,Turkey,Middle East,1285,1280,27351,5774,21.28,205
21,Netherlands,Western Europe,1211,1192,81912,8616,67.64,410
22,Saudi Arabia,Middle East,1206,1203,37309,4077,30.94,287
23,Singapore,Asiatic Region,1075,1067,99850,9305,92.88,392
24,Romania,Eastern Europe,1056,1049,13056,3960,12.36,119
25,Sweden,Western Europe,939,930,48848,6460,52.02,315
26,Belgium,Western Europe,854,849,43886,4781,51.39,300
27,Czech Republic,Eastern Europe,788,779,22372,4216,28.39,196
28,Hong Kong,Asiatic Region,741,736,44520,4948,60.08,321
29,Pakistan,Asiatic Region,738,737,9331,2322,12.64,137
30,Mexico,Latin America,731,726,15879,2642,21.72,170
31,Portugal,Western Europe,726,720,30090,5099,41.45,217
32,Egypt,Africa/Middle East,713,712,16669,3571,23.38,164
33,South Africa,Africa,611,606,11400,2123,18.66,157
34,Ukraine,Eastern Europe,533,532,8051,1989,15.11,125
35,Denmark,Western Europe,522,513,31301,3649,59.96,272
36,Austria,Western Europe,514,513,25054,3025,48.74,235
37,Finland,Western Europe,492,484,17419,2314,35.4,218
38,Thailand,Asiatic Region,475,472,11715,1752,24.66,145
39,Israel,Middle East,449,442,24055,2986,53.57,272
40,Greece,Western Europe,442,432,18801,2345,42.54,205
41,Serbia,Eastern Europe,393,391,6515,1513,16.58,103
42,Ireland,Western Europe,379,375,21707,2351,57.27,223
43,Norway,Western Europe,367,360,20062,2096,54.66,199
44,Argentina,Latin America,346,346,8413,1389,24.32,146
45,Algeria,Africa,321,320,4987,892,15.54,105
46,Slovenia,Eastern Europe,280,279,6558,1020,23.42,130
47,Hungary,Eastern Europe,270,265,7841,1134,29.04,154
48,Morocco,Africa,265,265,4668,1345,17.62,118
49,Croatia,Eastern Europe,253,239,4227,881,16.71,107
50,Chile,Latin America,247,246,7578,981,30.68,116
