Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,2931,2928,125269,72111,42.74,335
2,United States,Northern America,1883,1871,94977,28864,50.44,399
3,Japan,Asiatic Region,731,726,22149,5326,30.3,242
4,India,Asiatic Region,689,689,16183,5303,23.49,171
5,Germany,Western Europe,611,609,27423,6500,44.88,244
6,South Korea,Asiatic Region,584,583,22718,4712,38.9,213
7,France,Western Europe,502,499,19922,3686,39.69,215
8,United Kingdom,Western Europe,479,476,18742,3654,39.13,214
9,Taiwan,Asiatic Region,403,403,12754,2124,31.65,147
10,Spain,Western Europe,367,366,13483,2587,36.74,172
11,Canada,Northern America,364,362,14520,2531,39.89,208
12,Iran,Middle East,284,284,7359,2558,25.91,120
13,Italy,Western Europe,253,252,8609,1983,34.03,160
14,Australia,Pacific Region,247,246,11655,1814,47.19,193
15,Russian Federation,Eastern Europe,203,201,3287,1387,16.19,100
16,Brazil,Latin America,187,187,4350,1395,23.26,122
17,Saudi Arabia,Middle East,176,176,5196,1086,29.52,98
18,Singapore,Asiatic Region,165,164,14841,1174,89.95,171
19,Malaysia,Asiatic Region,156,156,4730,1051,30.32,78
20,Egypt,Africa/Middle East,156,156,3476,833,22.28,88
21,Poland,Eastern Europe,145,143,3465,1131,23.9,108
22,Sweden,Western Europe,144,142,5099,833,35.41,140
23,Mexico,Latin America,139,139,2404,423,17.29,77
24,Switzerland,Western Europe,129,128,6026,831,46.71,172
25,Netherlands,Western Europe,122,121,4790,805,39.26,154
26,Portugal,Western Europe,103,100,3425,602,33.25,104
27,Czech Republic,Eastern Europe,101,101,2783,784,27.55,95
28,Belgium,Western Europe,99,99,4191,538,42.33,120
29,Turkey,Middle East,89,89,2550,531,28.65,96
30,South Africa,Africa,88,88,2937,442,33.38,68
31,Ireland,Western Europe,80,79,4954,484,61.93,95
32,Denmark,Western Europe,77,77,2236,460,29.04,97
33,Hong Kong,Asiatic Region,66,66,3815,390,57.8,145
34,Greece,Western Europe,66,63,1860,244,28.18,83
35,Israel,Middle East,61,60,3027,336,49.62,133
36,Austria,Western Europe,60,60,2425,412,40.42,94
37,Morocco,Africa,58,58,2356,1220,40.62,69
38,Argentina,Latin America,53,53,1176,235,22.19,80
39,Chile,Latin America,52,52,824,229,15.85,54
40,Serbia,Eastern Europe,50,50,916,226,18.32,47
41,Finland,Western Europe,47,46,1597,290,33.98,95
42,Romania,Eastern Europe,43,43,728,159,16.93,65
43,Thailand,Asiatic Region,35,35,1194,122,34.11,62
44,Hungary,Eastern Europe,35,34,742,162,21.2,70
45,Norway,Western Europe,33,32,1022,141,30.97,72
46,Nigeria,Africa,32,32,824,156,25.75,48
47,Croatia,Eastern Europe,30,30,424,99,14.13,55
48,Slovenia,Eastern Europe,28,28,1020,208,36.43,80
49,Ukraine,Eastern Europe,27,27,463,117,17.15,63
50,Estonia,Eastern Europe,25,25,957,286,38.28,62
51,New Zealand,Pacific Region,23,23,770,131,33.48,68
52,Bulgaria,Eastern Europe,22,22,742,103,33.73,77
53,Algeria,Africa,22,22,543,76,24.68,36
54,Lithuania,Eastern Europe,19,19,440,114,23.16,60
55,Pakistan,Asiatic Region,18,18,873,65,48.5,56
56,Iraq,Middle East,17,17,369,101,21.71,31
57,Slovakia,Eastern Europe,15,15,533,92,35.53,55
58,Puerto Rico,Latin America,13,13,465,22,35.77,38
59,Tunisia,Africa,13,13,401,48,30.85,46
60,Colombia,Latin America,12,12,216,25,18.0,36
61,Indonesia,Asiatic Region,11,11,117,21,10.64,33
62,United Arab Emirates,Middle East,9,9,172,7,19.11,36
63,Oman,Middle East,9,9,195,43,21.67,24
64,Cuba,Latin America,8,8,65,5,8.13,26
65,Jordan,Middle East,8,8,164,31,20.5,28
66,Palestine,Middle East,8,8,93,2,11.63,19
67,Belarus,Eastern Europe,7,7,137,39,19.57,45
68,Viet Nam,Asiatic Region,6,6,149,24,24.83,40
69,Qatar,Middle East,6,6,38,3,6.33,33
70,Macedonia,Eastern Europe,5,5,129,53,25.8,30
71,Uruguay,Latin America,5,5,77,19,15.4,22
72,Lebanon,Middle East,3,3,55,6,18.33,22
73,Sri Lanka,Asiatic Region,3,3,79,7,26.33,26
74,Bangladesh,Asiatic Region,3,3,63,9,21.0,29
75,Kuwait,Middle East,3,3,19,1,6.33,24
76,Syrian Arab Republic,Middle East,3,3,28,1,9.33,7
77,Venezuela,Latin America,3,3,41,5,13.67,37
78,North Korea,Asiatic Region,2,2,64,0,32.0,9
79,Brunei Darussalam,Asiatic Region,2,2,106,1,53.0,13
80,Bosnia and Herzegovina,Eastern Europe,2,2,13,5,6.5,11
81,Kazakhstan,Asiatic Region,2,2,72,8,36.0,27
82,Kyrgyzstan,Asiatic Region,2,2,16,4,8.0,11
83,Azerbaijan,Eastern Europe,2,2,8,8,4.0,11
84,Philippines,Asiatic Region,2,2,19,1,9.5,17
85,Ethiopia,Africa,2,2,47,8,23.5,22
86,Macao,Asiatic Region,1,1,71,16,71.0,38
87,Moldova,Eastern Europe,1,1,10,1,10.0,18
88,Latvia,Eastern Europe,1,1,71,8,71.0,24
89,Luxembourg,Western Europe,1,1,33,5,33.0,26
90,Nepal,Asiatic Region,1,1,4,0,4.0,8
91,Kenya,Africa,1,1,5,1,5.0,9
92,Guam,Pacific Region,1,1,30,0,30.0,2
93,Georgia,Eastern Europe,1,1,4,2,4.0,12
94,Costa Rica,Latin America,1,1,0,0,0.0,8
95,Senegal,Africa,1,1,8,1,8.0,14
