Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,9823,9794,296562,161249,30.19,323
2,United States,Northern America,7208,7077,226027,68298,31.36,483
3,India,Asiatic Region,3990,3975,97081,36363,24.33,267
4,Japan,Asiatic Region,3727,3699,90438,24218,24.27,301
5,Germany,Western Europe,3301,3242,101782,24502,30.83,328
6,France,Western Europe,2158,2141,65151,14533,30.19,287
7,United Kingdom,Western Europe,1875,1831,59837,10323,31.91,302
8,Italy,Western Europe,1820,1791,60454,14217,33.22,248
9,South Korea,Asiatic Region,1812,1803,49947,9276,27.56,226
10,Spain,Western Europe,1809,1789,56267,12663,31.1,250
11,Russian Federation,Eastern Europe,1301,1289,16479,7714,12.67,149
12,Canada,Northern America,1205,1198,36784,6352,30.53,243
13,Iran,Middle East,1121,1121,28136,10479,25.1,168
14,Brazil,Latin America,1004,987,26781,7605,26.67,179
15,Poland,Eastern Europe,919,912,18234,5101,19.84,171
16,Australia,Pacific Region,887,878,35370,5314,39.88,232
17,Taiwan,Asiatic Region,783,782,19669,3038,25.12,173
18,Switzerland,Western Europe,642,638,21070,2831,32.82,203
19,Egypt,Africa/Middle East,600,597,15445,4658,25.74,138
20,Netherlands,Western Europe,590,582,22265,2886,37.74,222
21,Belgium,Western Europe,578,573,21820,2450,37.75,180
22,Turkey,Middle East,557,553,12089,3412,21.7,169
23,Saudi Arabia,Middle East,462,461,14404,2683,31.18,130
24,Portugal,Western Europe,457,449,13484,2653,29.51,151
25,Czech Republic,Eastern Europe,443,434,11750,2543,26.52,135
26,Singapore,Asiatic Region,414,411,17996,1834,43.47,170
27,Sweden,Western Europe,408,408,14432,1779,35.37,182
28,Mexico,Latin America,392,388,8681,1816,22.15,122
29,Malaysia,Asiatic Region,371,368,15002,2990,40.44,153
30,Austria,Western Europe,356,352,11476,1592,32.24,154
31,Thailand,Asiatic Region,287,287,7076,1079,24.66,124
32,South Africa,Africa,282,279,8380,1430,29.72,128
33,Hungary,Eastern Europe,278,271,6348,1383,22.83,117
34,Denmark,Western Europe,267,265,8598,1295,32.2,153
35,Ukraine,Eastern Europe,266,254,3663,1054,13.77,88
