Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,15260,15110,289568,184285,18.98,370
2,United States,Northern America,9322,9185,174509,58536,18.72,650
3,Germany,Western Europe,4291,4218,77856,20938,18.14,405
4,India,Asiatic Region,3918,3906,62362,23329,15.92,272
5,Japan,Asiatic Region,3156,3113,45514,12005,14.42,332
6,Russian Federation,Eastern Europe,2969,2955,26118,12295,8.8,187
7,France,Western Europe,2709,2676,44851,9742,16.56,321
8,United Kingdom,Western Europe,2410,2369,46448,8761,19.27,364
9,Italy,Western Europe,2228,2185,46454,12121,20.85,288
10,Spain,Western Europe,2071,2034,35595,7963,17.19,278
11,South Korea,Asiatic Region,1747,1739,36999,6923,21.18,257
12,Poland,Eastern Europe,1557,1548,25097,6045,16.12,184
13,Iran,Middle East,1548,1544,32929,11728,21.27,164
14,Canada,Northern America,1294,1266,23083,3771,17.84,290
15,Brazil,Latin America,1174,1168,16118,4867,13.73,177
16,Australia,Pacific Region,1041,1028,23272,3578,22.36,265
17,Taiwan,Asiatic Region,831,824,13827,2581,16.64,183
18,Switzerland,Western Europe,797,779,14410,2722,18.08,265
19,Sweden,Western Europe,726,716,14147,2024,19.49,223
20,Netherlands,Western Europe,688,662,12730,1828,18.5,262
21,Saudi Arabia,Middle East,679,677,20985,5275,30.91,155
22,Czech Republic,Eastern Europe,607,599,9033,1818,14.88,160
23,Mexico,Latin America,593,587,9014,1713,15.2,141
24,Turkey,Middle East,579,573,8704,2344,15.03,134
25,Belgium,Western Europe,569,563,11201,1359,19.69,184
26,Portugal,Western Europe,517,509,10332,1869,19.98,164
27,Austria,Western Europe,499,488,7748,1470,15.53,161
28,Singapore,Asiatic Region,464,462,12832,1426,27.66,202
29,Egypt,Africa/Middle East,430,428,9344,2805,21.73,111
30,Denmark,Western Europe,417,413,8646,1282,20.73,201
31,Israel,Middle East,400,393,6927,1295,17.32,199
32,Pakistan,Asiatic Region,365,364,9910,3068,27.15,105
33,South Africa,Africa,365,364,8526,1423,23.36,133
34,Hong Kong,Asiatic Region,359,353,9487,711,26.43,178
35,Hungary,Eastern Europe,351,340,4259,1034,12.13,141
36,Argentina,Latin America,316,307,3558,753,11.26,116
37,Ukraine,Eastern Europe,307,304,2865,815,9.33,108
38,Malaysia,Asiatic Region,304,300,6866,1397,22.59,131
39,Greece,Western Europe,281,275,5324,868,18.95,143
40,Finland,Western Europe,270,268,5500,772,20.37,148
41,Romania,Eastern Europe,266,264,3954,780,14.86,99
42,Chile,Latin America,252,251,3976,714,15.78,100
43,Norway,Western Europe,250,246,3653,599,14.61,155
44,Thailand,Asiatic Region,220,219,3321,534,15.1,103
45,Viet Nam,Asiatic Region,205,204,4309,916,21.02,77
46,Ireland,Western Europe,200,197,3428,467,17.14,138
47,Slovakia,Eastern Europe,197,197,2601,528,13.2,104
48,Tunisia,Africa,183,182,2760,491,15.08,65
49,Serbia,Eastern Europe,179,178,2659,488,14.85,80
50,Algeria,Africa,178,178,2370,452,13.31,68
51,Colombia,Latin America,177,177,2265,503,12.8,73
52,Slovenia,Eastern Europe,147,145,2365,388,16.09,103
53,New Zealand,Pacific Region,116,113,2262,223,19.5,134
54,United Arab Emirates,Middle East,97,97,2234,295,23.03,72
55,Morocco,Africa,95,95,2401,600,25.27,75
56,Bulgaria,Eastern Europe,91,90,1318,240,14.48,96
57,Qatar,Middle East,88,86,1829,194,20.78,59
58,Croatia,Eastern Europe,86,86,1061,205,12.34,74
59,Lithuania,Eastern Europe,86,86,1434,311,16.67,64
60,Iraq,Middle East,78,78,1575,300,20.19,55
61,Bangladesh,Asiatic Region,78,74,1873,546,24.01,65
62,Belarus,Eastern Europe,65,65,713,176,10.97,74
63,Indonesia,Asiatic Region,64,61,1157,228,18.08,57
64,Estonia,Eastern Europe,59,59,929,185,15.75,70
65,Azerbaijan,Eastern Europe,56,56,603,204,10.77,38
66,Kazakhstan,Asiatic Region,52,51,420,52,8.08,40
67,Jordan,Middle East,51,51,726,124,14.24,47
68,Nigeria,Africa,50,50,1709,259,34.18,61
69,Macao,Asiatic Region,49,49,844,51,17.22,49
70,Luxembourg,Western Europe,45,45,1422,136,31.6,44
71,Lebanon,Middle East,43,43,827,106,19.23,46
72,Oman,Middle East,35,35,432,52,12.34,56
73,Cyprus,Western Europe,35,35,435,91,12.43,60
74,Venezuela,Latin America,34,34,402,51,11.82,70
75,Kuwait,Middle East,33,32,828,86,25.09,52
76,Uruguay,Latin America,30,30,342,64,11.4,48
77,Cuba,Latin America,30,30,261,65,8.7,50
78,Ecuador,Latin America,30,30,585,62,19.5,33
79,Cameroon,Africa,25,25,627,122,25.08,37
80,Moldova,Eastern Europe,23,22,173,38,7.52,46
81,Armenia,Eastern Europe,22,22,157,36,7.14,35
82,Ethiopia,Africa,22,22,416,40,18.91,29
83,Sudan,Africa,21,21,418,17,19.9,26
84,Latvia,Eastern Europe,20,20,315,82,15.75,49
85,Iceland,Western Europe,17,17,471,45,27.71,47
86,Kenya,Africa,17,17,375,46,22.06,29
87,Philippines,Asiatic Region,15,15,204,31,13.6,38
88,Ghana,Africa,15,15,602,26,40.13,22
89,Puerto Rico,Latin America,13,13,129,13,9.92,68
90,Palestine,Middle East,13,13,294,28,22.62,39
91,Peru,Latin America,13,13,180,10,13.85,30
92,North Korea,Asiatic Region,13,12,96,13,7.38,14
93,Uzbekistan,Asiatic Region,13,13,120,23,9.23,35
94,Georgia,Eastern Europe,10,9,283,6,28.3,32
95,Costa Rica,Latin America,9,8,82,9,9.11,38
96,Tajikistan,Asiatic Region,9,9,266,24,29.56,17
97,Bosnia and Herzegovina,Eastern Europe,8,8,64,11,8.0,20
98,Sri Lanka,Asiatic Region,8,8,101,9,12.63,45
99,Bahrain,Middle East,7,7,70,4,10.0,22
100,Yemen,Middle East,7,7,116,12,16.57,26
101,Mauritius,Africa,6,6,57,11,9.5,18
102,Côte d’Ivoire,Africa,6,6,114,2,19.0,17
103,Montenegro,Eastern Europe,6,6,158,15,26.33,15
104,Jamaica,Latin America,6,6,135,15,22.5,23
105,Libya,Africa,6,6,60,8,10.0,20
106,Brunei Darussalam,Asiatic Region,5,5,324,48,64.8,33
107,Botswana,Africa,5,5,35,4,7.0,20
108,Senegal,Africa,5,5,119,6,23.8,23
109,Panama,Latin America,4,4,64,2,16.0,18
110,Fiji,Pacific Region,4,4,30,1,7.5,12
111,Nepal,Asiatic Region,4,4,164,13,41.0,29
112,Rwanda,Africa,4,4,28,4,7.0,8
113,Congo,Africa,4,4,29,3,7.25,17
114,Benin,Africa,4,4,82,8,20.5,9
115,Burkina Faso,Africa,4,4,119,4,29.75,16
116,Barbados,Latin America,4,4,29,7,7.25,20
117,Macedonia,Eastern Europe,3,3,41,1,13.67,31
118,Malta,Western Europe,3,3,31,16,10.33,23
119,French Polynesia,Pacific Region,3,3,29,2,9.67,10
120,Namibia,Africa,3,3,12,4,4.0,12
121,Monaco,Western Europe,2,2,11,3,5.5,11
122,Myanmar,Asiatic Region,2,2,16,0,8.0,12
123,Guatemala,Latin America,2,2,16,0,8.0,3
124,Madagascar,Africa,2,2,64,3,32.0,16
125,Liechtenstein,Western Europe,2,2,29,4,14.5,21
126,Democratic Republic Congo,Africa,2,2,5,2,2.5,5
127,Mongolia,Asiatic Region,2,2,48,1,24.0,24
128,Zimbabwe,Africa,2,2,21,0,10.5,13
129,Togo,Africa,1,1,9,0,9.0,5
130,Mali,Africa,1,1,53,0,53.0,6
131,Comoros,Africa,1,1,7,1,7.0,5
132,Trinidad and Tobago,Latin America,1,1,17,1,17.0,18
133,Cambodia,Asiatic Region,1,1,3,0,3.0,5
134,Tanzania,Africa,1,1,24,0,24.0,19
135,Guadeloupe,Latin America,1,1,6,2,6.0,6
136,Papua New Guinea,Pacific Region,1,1,70,0,70.0,13
137,Eritrea,Africa,1,1,13,1,13.0,3
138,Gabon,Africa,1,1,22,3,22.0,8
139,New Caledonia,Pacific Region,1,1,9,1,9.0,10
140,Mozambique,Africa,1,1,3,0,3.0,9
141,Cape Verde,Africa,1,1,1,1,1.0,4
142,Grenada,Latin America,1,1,0,0,0.0,3
143,Reunion,Africa,1,1,45,1,45.0,6
144,Malawi,Africa,1,1,11,2,11.0,7
145,Mauritania,Africa,1,1,1,0,1.0,8
146,Angola,Africa,1,1,12,0,12.0,7
147,French Guiana,Latin America,1,1,4,0,4.0,4
148,Bahamas,Latin America,1,1,5,0,5.0,5
149,Bolivia,Latin America,1,1,42,1,42.0,20
150,Syrian Arab Republic,Middle East,1,1,4,0,4.0,28
